Artist,Title,Date,Period,Description,Material,Dimensions,Collection,Classification,Signature,Accession Number,link,Alternative Title,Place Made
Alan M. Alexander,11. Ann Monotype,1959,1950s; 20th century,"Portrait of female figure positioned to right of composition, with short dark hair and a green sleeveless dress. Leaning on table with left arm under chin. Glass with flowers on table, shutter and elaborate window in background.",watercolour (paint)/paint (coating),44.3cm (W) x 57.5cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); watercolours (paintings),NA,EU3526,https://collections.ed.ac.uk/art/record/50600?highlight=*:*,NA,NA
Alan M. Alexander,Unknown,1960,1960s; 20th century,Stylised representation of purple and gold goblet containing the caduceus alongside a smaller vessel on the right and an unidentifiable object on the right. Objects are framed within a church window sill.,crayons (drawing material); watercolour (paint)/paint (coating),33cm (W) x 42cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); watercolours (paintings),NA,EU3521,https://collections.ed.ac.uk/art/record/50595?highlight=*:*,NA,NA
Alan M. Alexander,Unknown,NA,1950s; 20th century,"Full length study of controposto nude male figure with left arm raised and left foot behind right, looking down and to his left.",graphite (mineral)/inorganic material/materials (substances),22cm (W) x 49.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3525,https://collections.ed.ac.uk/art/record/50599?highlight=*:*,NA,NA
Alan M. Alexander,Still Life with Goblets,1959,20th century; 1950s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3299,https://collections.ed.ac.uk/art/record/22743?highlight=*:*,NA,NA
Alan M. Alexander,Unknown,1956,1950s; 20th century,Profile portrait of seated female figure in high-collared long dress holding a violin and facing the left of the composition.,graphite (mineral)/inorganic material/materials (substances),32.8cm (W) x 41.2cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3520,https://collections.ed.ac.uk/art/record/50594?highlight=*:*,NA,NA
Alan M. Alexander,Unknown,NA,1950s; 20th century,Full length portrait of seated female figure in long high-collared dress with wide-brimmed hat. Figure looking down and to her left with her hands resting on her thighs.,graphite (mineral)/inorganic material/materials (substances),20cm (W) x 32cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3524,https://collections.ed.ac.uk/art/record/50598?highlight=*:*,NA,NA
Alan M. Alexander,Unknown,1960,1960s; 20th century,"Still life with vase of flowers, pomegranate, goblet and stemmed bowl on table with fish patterned cloth. Landscape in background featuring large monumental arch.",graphite (mineral)/inorganic material/materials (substances),38cm (W) x 33cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3522,https://collections.ed.ac.uk/art/record/50596?highlight=*:*,NA,NA
Alan M. Alexander,Head Monotype No. 24,1959,1950s; 20th century,"Stylised head portrait of female figure with short hair, elaborate earrings and collar.",ink/coating (material)/materials (substances),28.1cm (W) x 35cm (H),Art Collection; Edinburgh College of Art,prints (visual works); monoprints (painting and printing works),NA,EU3518,https://collections.ed.ac.uk/art/record/50592?highlight=*:*,NA,NA
Alan T. Johnston (b.1945),Portrait of a Man in Red Shirt,1968,20th century; 1960s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2297,https://collections.ed.ac.uk/art/record/21423?highlight=*:*,NA,NA
Alan T. Johnston (b.1945),Seated Female Nude,1968,20th century; 1960s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2298,https://collections.ed.ac.uk/art/record/21424?highlight=*:*,NA,NA
Alan T. Johnston (b.1945),Fidelity,Unknown,NA,Abstract screen print,NA,66cm H x 91cm W (with mount) 52cm H x 79cm W (without mount),Art Collection; Edinburgh College of Art,prints (visual works); screen prints,Alan T. Johnston signature,EU2680,https://collections.ed.ac.uk/art/record/21805?highlight=*:*,NA,NA
Alan T. Johnston (b.1945),Composition with Three Figures against a Pink and Yellow Background,Circa 1968,20th century; 1960s; 1970s,NA,acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); acrylic; oil paintings (visual works),NA,EU3151,https://collections.ed.ac.uk/art/record/22596?highlight=*:*,NA,NA
Alan T. Johnston (b.1945),Composition of Two Figures on Yellow*,1968,20th century; 1960s,NA,acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); acrylic,NA,EU3179,https://collections.ed.ac.uk/art/record/22624?highlight=*:*,NA,NA
Alan T. Johnston (b.1945),Abstract,NA,NA,NA,acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Edinburgh College of Art; Art Collection,paintings (visual works); acrylic; Abstract (fine arts style),NA,EU3164,https://collections.ed.ac.uk/art/record/22609?highlight=*:*,NA,NA
Alan T. Johnston (b.1945),Seated Female Nude,Circa 1968,20th century; 1960s; 1970s,NA,oil paint (paint)/paint (coating); acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),94 x 94 cm,Art Collection; Edinburgh College of Art,NA,NA,EU1621,https://collections.ed.ac.uk/art/record/20748?highlight=*:*,NA,NA
Alastair Burns,Untitled - Sitting Nude Woman,1968,20th century; 1960s,Figure drawing in gouache with details in graphite of a nude woman sitting with ther knees pointed together and hands folded in her lap.,gouache (paint)/watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,fine art; life drawings; watercolours (paintings); gouache; paintings 1901-2000,NA,EU4239,https://collections.ed.ac.uk/art/record/99475?highlight=*:*,NA,NA
Alastair Burns,Untitled - Abstract Bridge and Ballons,1968,20th century; 1960s,Abstract painting in gouache with a bridge in the bottom centre and ballons floating above.,gouache (paint)/watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); paintings (visual works); watercolours (paintings); gouache; paintings 1901-2000,NA,EU4238,https://collections.ed.ac.uk/art/record/99474?highlight=*:*,NA,NA
Alastair Burns,Landscape,1968,20th century; 1960s,NA,paint (coating),NA,Art Collection; Edinburgh College of Art,paintings (visual works),NA,EU2146,https://collections.ed.ac.uk/art/record/21273?highlight=*:*,NA,NA
Alastair Clark (b.1968),Scaraped Bus Wheel,1990,20th century; 1990s,A rusting wheel. Artist's print,NA,58.5cm H x 59.5cm W,Art Collection; Edinburgh College of Art,NA,Alastair Clark signature,EU2777,https://collections.ed.ac.uk/art/record/21900?highlight=*:*,NA,NA
Alastair Clark (b.1968),Dispersion,1991,20th century; 1990s,Abstract lithograph. Part of the artist's Edinburgh College of Art portfolio.,NA,38cm H x 29.5cm W,Art Collection; Edinburgh College of Art,NA,Alastair Clark signature,EU2788,https://collections.ed.ac.uk/art/record/21911?highlight=*:*,NA,NA
Alastair Flattely,Interior Scene of a Bar,1950,20th century; 1950s,Drawing made during their travelling scholarship.,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,pen and wash drawings,NA,EU2247,https://collections.ed.ac.uk/art/record/21373?highlight=*:*,NA,NA
Alastair Flattely,Edinburgh Old Town Cityscape,1950,20th century; 1950s,NA,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,pen and wash drawings,NA,EU2249,https://collections.ed.ac.uk/art/record/21375?highlight=*:*,NA,NA
Alastair Flattely,Toledo,1950,20th century; 1950s,Drawing made during travelling scholarship.,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,pen and wash drawings,NA,EU2248,https://collections.ed.ac.uk/art/record/21374?highlight=*:*,NA,NA
Alastair Flattely,Unknown,1950,1950s,"Profile portrait of two seated female figures, both wearing large dresses with puffed sleeves that hang off the shoulder. Figures are looking to the right of the composition.",graphite (mineral)/inorganic material/materials (substances),33.3cm (W) x 51.3cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3511,https://collections.ed.ac.uk/art/record/50585?highlight=*:*,NA,NA
Alastair Mack,Cross Section,1987,20th century; 1980s,NA,NA,81cm H x 65.5cm W framed,Art Collection; Edinburgh College of Art,prints (visual works),Alastair Mack signature,EU2525,https://collections.ed.ac.uk/art/record/21650?highlight=*:*,NA,NA
Alastair Mack,Hibernation,1987,20th century; 1980s,Abstract series of bold shapes in block colours. Artist's print.,NA,50.5cm H x 66cm W,Art Collection; Edinburgh College of Art,NA,Alistair Mack signature,EU2719,https://collections.ed.ac.uk/art/record/21842?highlight=*:*,NA,NA
Alastair R. W. Hearsum,Seated Figure in Striped Top,Circa 1981,20th century; 1970s; 1980s,NA,acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); acrylic,NA,EU3081,https://collections.ed.ac.uk/art/record/22527?highlight=*:*,NA,NA
Alastair R. W. Hearsum,Composition with Black Square,1981,20th century; 1980s,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3107,https://collections.ed.ac.uk/art/record/22552?highlight=*:*,NA,NA
Alavte Clad?,Two Traffic Lights at Blue,1989,20th century; 1980s,"Mixed media, screen printed blue background with two traffic lights using lithograph plates.",NA,62cm H x 82cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2770,https://collections.ed.ac.uk/art/record/21893?highlight=*:*,NA,NA
Albert Robson,Drawing of a Man in a Suit seated on a stool,1959,20th century; 1950s,Robson gained his Diploma in 1959 and PG in 1960 from ECA. This is a diploma work.,NA,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1658,https://collections.ed.ac.uk/art/record/20785?highlight=*:*,NA,NA
Albert Robson,Drawing of a Man in a Suit (head and shoulders only),1959,20th century; 1950s,Robson gained his Diploma in 1959 and PG in 1960 from ECA. This is a diploma work.,NA,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1657,https://collections.ed.ac.uk/art/record/20784?highlight=*:*,NA,NA
Albert Robson,Seated Nude Woman,1957-1959,20th century; 1950s,NA,chalk,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1686,https://collections.ed.ac.uk/art/record/20813?highlight=*:*,NA,NA
Albert Robson,Portrait of a Standing Woman,07 Feb 1957,20th century; 1950s,NA,paper (fibre product); watercolour (paint)/paint (coating); ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,pen and wash drawings,NA,EU1687,https://collections.ed.ac.uk/art/record/20814?highlight=*:*,NA,NA
Alejandro B. Brasó,Unknown,1955,1950s; 20th century,"Studies of human skeletal structure, with full length standing skeleton in centre of composition. Surrounding this clockwise are a study of the hand and forearm, a study of the pelvis and thigh, a study of the foot, and a study of the shoulder.",graphite (mineral)/inorganic material/materials (substances),38.2cm (W) x 50.8cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3529,https://collections.ed.ac.uk/art/record/50603?highlight=*:*,NA,NA
Alejandro B. Brasó,Unknown,1957,1950s; 20th century,"Head portrait in three quarter view of a figure with shoulder-length hair, turned to their left and looking toward left of composition.",graphite (mineral)/inorganic material/materials (substances),18cm (W) x 22.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3528,https://collections.ed.ac.uk/art/record/50602?highlight=*:*,NA,NA
Alex Sutherland,Reclining Male Nude,1954,20th century; 1950s,Drawing for ECA Diploma examination.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2121,https://collections.ed.ac.uk/art/record/21248?highlight=*:*,NA,NA
Alexander Cree,St Pauls at Night,1950,1950s,View of St Pauls through fog and darkness with wheeled cart in left foreground.,watercolour (paint)/paint (coating); graphite (mineral)/inorganic material/materials (substances),38.5cm (W) x 26.3cm (H),Art Collection; Edinburgh College of Art,watercolours (paintings); pencil drawings,NA,EU3472,https://collections.ed.ac.uk/art/record/50546?highlight=*:*,NA,NA
Alexander Cree,Costume Study,1948,1940s,"Profile full-length portrait of elderly man in traditional hat, shirt, trousers and boots and holding an accordian.",graphite (mineral)/inorganic material/materials (substances),30cm (W) x 49cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3468,https://collections.ed.ac.uk/art/record/50542?highlight=*:*,NA,NA
Alexander Cree,Unknown,1950,1950s,"Full length portrait of standing nude female figure, controposto with left hand behind back",graphite (mineral)/inorganic material/materials (substances),26.5cm (W) x 39.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3470,https://collections.ed.ac.uk/art/record/50544?highlight=*:*,NA,NA
Alexander Cree,Unknown,1949,1940s,"Full length portrait of standing nude male, looking down with arms partially obscuring chest and face as they are raised holding a long cane.",graphite (mineral)/inorganic material/materials (substances),14cm (W) x 39.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3469,https://collections.ed.ac.uk/art/record/50543?highlight=*:*,NA,NA
