title,artist,link
Fidelity (Unknown),Alan T. Johnston,https://collections.ed.ac.uk/art/record/21805?highlight=*:*
Composition with Three Figures against a Pink and Yellow Background (Circa 1968),Alan T. Johnston,https://collections.ed.ac.uk/art/record/22596?highlight=*:*
Composition of Two Figures on Yellow* (1968),Alan T. Johnston,https://collections.ed.ac.uk/art/record/22624?highlight=*:*
Abstract,Alan T. Johnston,https://collections.ed.ac.uk/art/record/22609?highlight=*:*
Seated Female Nude (Circa 1968),Alan T. Johnston,https://collections.ed.ac.uk/art/record/20748?highlight=*:*
Untitled - Sitting Nude Woman (1968),Alastair Burns,https://collections.ed.ac.uk/art/record/99475?highlight=*:*
Untitled - Abstract Bridge and Ballons (1968),Alastair Burns,https://collections.ed.ac.uk/art/record/99474?highlight=*:*
Landscape (1968),Alastair Burns,https://collections.ed.ac.uk/art/record/21273?highlight=*:*
Scaraped Bus Wheel (1990),Alastair Clark,https://collections.ed.ac.uk/art/record/21900?highlight=*:*
Dispersion (1991),Alastair Clark,https://collections.ed.ac.uk/art/record/21911?highlight=*:*
Interior Scene of a Bar (1950),Alastair Flattely,https://collections.ed.ac.uk/art/record/21373?highlight=*:*
Edinburgh Old Town Cityscape (1950),Alastair Flattely,https://collections.ed.ac.uk/art/record/21375?highlight=*:*
Toledo (1950),Alastair Flattely,https://collections.ed.ac.uk/art/record/21374?highlight=*:*
Unknown (1950),Alastair Flattely,https://collections.ed.ac.uk/art/record/50585?highlight=*:*
Cross Section (1987),Alastair Mack,https://collections.ed.ac.uk/art/record/21650?highlight=*:*
Hibernation (1987),Alastair Mack,https://collections.ed.ac.uk/art/record/21842?highlight=*:*
Seated Figure in Striped Top (Circa 1981),Alastair R. W. Hearsum,https://collections.ed.ac.uk/art/record/22527?highlight=*:*
Composition with Black Square (1981),Alastair R. W. Hearsum,https://collections.ed.ac.uk/art/record/22552?highlight=*:*
Two Traffic Lights at Blue (1989),Alavte Clad?,https://collections.ed.ac.uk/art/record/21893?highlight=*:*
Drawing of a Man in a Suit seated on a stool (1959),Albert Robson,https://collections.ed.ac.uk/art/record/20785?highlight=*:*
Drawing of a Man in a Suit (head and shoulders only) (1959),Albert Robson,https://collections.ed.ac.uk/art/record/20784?highlight=*:*
Seated Nude Woman (1957-1959),Albert Robson,https://collections.ed.ac.uk/art/record/20813?highlight=*:*
Portrait of a Standing Woman (07 Feb 1957),Albert Robson,https://collections.ed.ac.uk/art/record/20814?highlight=*:*
Unknown (1955),Alejandro B. Brasó,https://collections.ed.ac.uk/art/record/50603?highlight=*:*
Unknown (1957),Alejandro B. Brasó,https://collections.ed.ac.uk/art/record/50602?highlight=*:*
Reclining Male Nude (1954),Alex Sutherland,https://collections.ed.ac.uk/art/record/21248?highlight=*:*
St Pauls at Night (1950),Alexander Cree,https://collections.ed.ac.uk/art/record/50546?highlight=*:*
Costume Study (1948),Alexander Cree,https://collections.ed.ac.uk/art/record/50542?highlight=*:*
Unknown (1950),Alexander Cree,https://collections.ed.ac.uk/art/record/50544?highlight=*:*
Unknown (1949),Alexander Cree,https://collections.ed.ac.uk/art/record/50543?highlight=*:*
Unknown,Alexander Cree,https://collections.ed.ac.uk/art/record/50549?highlight=*:*
Unknown,Alexander Cree,https://collections.ed.ac.uk/art/record/50547?highlight=*:*
Portrait - Male,Alexander Cree,https://collections.ed.ac.uk/art/record/22697?highlight=*:*
Unknown (1950),Alexander Cree,https://collections.ed.ac.uk/art/record/50541?highlight=*:*
"Vale of Health, Hampstead Heath (1950)",Alexander Cree,https://collections.ed.ac.uk/art/record/50545?highlight=*:*
Unknown,Alexander Cree,https://collections.ed.ac.uk/art/record/50550?highlight=*:*
Unknown,Alexander Cree,https://collections.ed.ac.uk/art/record/50548?highlight=*:*
Male Model with Towel (1950),Alexander Cree,https://collections.ed.ac.uk/art/record/22661?highlight=*:*
Agricultural Tools,Alexander Curtis,https://collections.ed.ac.uk/art/record/21505?highlight=*:*
Sleeping Female Nude (1950),Alexander F Mitchell,https://collections.ed.ac.uk/art/record/21057?highlight=*:*
Portrait of a Seated Woman (1950),Alexander F Mitchell,https://collections.ed.ac.uk/art/record/21053?highlight=*:*
Striding Male Nude (1950),Alexander F Mitchell,https://collections.ed.ac.uk/art/record/21054?highlight=*:*
Portrait of a Woman (1950),Alexander F Mitchell,https://collections.ed.ac.uk/art/record/21055?highlight=*:*
Portrait of a Young Man (1950),Alexander F Mitchell,https://collections.ed.ac.uk/art/record/21056?highlight=*:*
Seated Female Nude (Circa 1964),Alexander Moffat,https://collections.ed.ac.uk/art/record/21337?highlight=*:*
Picnic at the New Bridge (1963),Alexander Moffat,https://collections.ed.ac.uk/art/record/22473?highlight=*:*
Still Life with Garden Fork (1964),Alexander Moffat,https://collections.ed.ac.uk/art/record/93355?highlight=*:*
Portrait of a Man (1955),Alexander S Campbell,https://collections.ed.ac.uk/art/record/21316?highlight=*:*
Unknown,Alexander S Campbell,https://collections.ed.ac.uk/art/record/50632?highlight=*:*
Bull Fight (1956),Alexander S Campbell,https://collections.ed.ac.uk/art/record/21417?highlight=*:*
Man in Spanish Costume (1955),Alexander S Campbell,https://collections.ed.ac.uk/art/record/21317?highlight=*:*
Unknown (1963),Alexander Wilson,https://collections.ed.ac.uk/art/record/53592?highlight=*:*
Portrait of a Woman Wearing a Hat (1951),Alexandra Bennett,https://collections.ed.ac.uk/art/record/21232?highlight=*:*
Untitled - Figure Drawing of A Man with Crossed Arms (1968),Alfons B. Jasinski,https://collections.ed.ac.uk/art/record/99273?highlight=*:*
Winter Fence (1977),Alfons Bytautas,https://collections.ed.ac.uk/art/record/21549?highlight=*:*
Man and Basket (1950),Alfred Hackney,https://collections.ed.ac.uk/art/record/21030?highlight=*:*
Man and Cauldron (1950),Alfred Hackney,https://collections.ed.ac.uk/art/record/21029?highlight=*:*
Copper Engraving (1949),Alfred Hackney,https://collections.ed.ac.uk/art/record/21826?highlight=*:*
Untitled (1982),Alice Carter,https://collections.ed.ac.uk/art/record/21579?highlight=*:*
Untitled (Unknown),Alice Crombie,https://collections.ed.ac.uk/art/record/21712?highlight=*:*
Portrait of a Woman,Alice Henderson,https://collections.ed.ac.uk/art/record/21528?highlight=*:*
Unknown (1964),Alice Howell (née Bold),https://collections.ed.ac.uk/art/record/53579?highlight=*:*
Tombstone 1693 (1989-1990),Aline McLeod,https://collections.ed.ac.uk/art/record/21470?highlight=*:*
Untitled (Dec 1972),Alison Duncan,https://collections.ed.ac.uk/art/record/21581?highlight=*:*
Head of a Young Man (1950),Alison E. H. Stuart,https://collections.ed.ac.uk/art/record/22689?highlight=*:*
Unknown (1949),Alison E. H. Stuart,https://collections.ed.ac.uk/art/record/50482?highlight=*:*
Landscape (1968),Alison Hutton,https://collections.ed.ac.uk/art/record/21272?highlight=*:*
Untitled - View From a Bath (1968),Alison Hutton,https://collections.ed.ac.uk/art/record/99272?highlight=*:*
Untitled (1963),Alison Keith,https://collections.ed.ac.uk/art/record/22007?highlight=*:*
Untitled (Unknown),Alison Williams,https://collections.ed.ac.uk/art/record/21944?highlight=*:*
Orange Abstract (1987),Alistair Banks,https://collections.ed.ac.uk/art/record/22724?highlight=*:*
Untitled - Portrait of a Man (1968),Alistair Bell,https://collections.ed.ac.uk/art/record/99378?highlight=*:*
Untitled - Portrait of a Woman in Red (1967),Alistair Bell,https://collections.ed.ac.uk/art/record/99379?highlight=*:*
Still Life with Fish (1949),Alistair F. Flattely,https://collections.ed.ac.uk/art/record/22700?highlight=*:*
Unknown,Alistair Fairweather,https://collections.ed.ac.uk/art/record/50424?highlight=*:*
Unknown,Alistair Fairweather,https://collections.ed.ac.uk/art/record/50425?highlight=*:*
Unknown,Alistair Fairweather,https://collections.ed.ac.uk/art/record/50426?highlight=*:*
Portrait of Molly Langlands (1952),Alistair Fairweather,https://collections.ed.ac.uk/art/record/22668?highlight=*:*
Unknown (1952),Alistair Fairweather,https://collections.ed.ac.uk/art/record/50423?highlight=*:*
Unknown (1952),Alistair Fairweather,https://collections.ed.ac.uk/art/record/50421?highlight=*:*
Unknown (1952),Alistair Fairweather,https://collections.ed.ac.uk/art/record/50422?highlight=*:*
Sean Connery as a Life Model (1952),Alistair Fairweather,https://collections.ed.ac.uk/art/record/22598?highlight=*:*
Graveyard and Church Ruins,Alistair Hartleby (?),https://collections.ed.ac.uk/art/record/21498?highlight=*:*
Abstract with White Paper Strips,Alistair J. Magee,https://collections.ed.ac.uk/art/record/22540?highlight=*:*
Seascape from a Boat (1952),Alistair M Park,https://collections.ed.ac.uk/art/record/21349?highlight=*:*
Harbour (1953-1954),Alistair M Park,https://collections.ed.ac.uk/art/record/21348?highlight=*:*
Study for Composition (1949),Alistair Smart,https://collections.ed.ac.uk/art/record/50477?highlight=*:*
Untitled (1966),Alistair T Hamilton,https://collections.ed.ac.uk/art/record/99843?highlight=*:*
Falling Figure in an Autumn Valley (1968),Alistair T. B. Burns,https://collections.ed.ac.uk/art/record/22589?highlight=*:*
Seated Female Nude (Circa 1939),Alistair W McCheyne,https://collections.ed.ac.uk/art/record/21139?highlight=*:*
Standing Male Nude (Circa 1939),Alistair W McCheyne,https://collections.ed.ac.uk/art/record/21085?highlight=*:*
Standing Male Nude (1953),Allan Sutherland,https://collections.ed.ac.uk/art/record/20979?highlight=*:*
Standing Female Nude (1953),Allan Sutherland,https://collections.ed.ac.uk/art/record/20978?highlight=*:*
Untitled (1948),Allan W. Robson,https://collections.ed.ac.uk/art/record/21744?highlight=*:*
Stately Dance (1947),Allan W. Robson,https://collections.ed.ac.uk/art/record/21741?highlight=*:*
The Potato-Sorters (1947),Allan W. Robson,https://collections.ed.ac.uk/art/record/21742?highlight=*:*
Untitled (Mar 1949),Allan W. Robson,https://collections.ed.ac.uk/art/record/21743?highlight=*:*
Untitled (1947),Allan W. Robson,https://collections.ed.ac.uk/art/record/21745?highlight=*:*
Landscape (01 May 1985),Allison E Sharpe,https://collections.ed.ac.uk/art/record/21466?highlight=*:*
Pylons in the Landscape (01 May 1985),Allison E Sharpe,https://collections.ed.ac.uk/art/record/21468?highlight=*:*
Farm Building (01 May 1985),Allison E Sharpe,https://collections.ed.ac.uk/art/record/21467?highlight=*:*
Posts in the Landscape (01 May 1985),Allison E Sharpe,https://collections.ed.ac.uk/art/record/21469?highlight=*:*
Simon and Simon (1986),Amanda Lebus,https://collections.ed.ac.uk/art/record/21585?highlight=*:*
Untitled (2006),Amelia Smith,https://collections.ed.ac.uk/art/record/99863?highlight=*:*
"Unknown, abstract (2004)",Amy Marshall,https://collections.ed.ac.uk/art/record/99486?highlight=*:*
"Unknown, abstract (2004)",Amy Marshall,https://collections.ed.ac.uk/art/record/99487?highlight=*:*
Untitled (2003),Andrea Bain,https://collections.ed.ac.uk/art/record/99928?highlight=*:*
Untitled (2003),Andrea Bain,https://collections.ed.ac.uk/art/record/99938?highlight=*:*
"3,500 Men (May 1986)",Andrew Arnott,https://collections.ed.ac.uk/art/record/99470?highlight=*:*
Untitled (1986),Andrew Arnott,https://collections.ed.ac.uk/art/record/21626?highlight=*:*
Untitled (1983),Andrew Arnott,https://collections.ed.ac.uk/art/record/21824?highlight=*:*
For Sanfrancisco (Unknown),Andrew Arnott,https://collections.ed.ac.uk/art/record/21606?highlight=*:*
Edinburgh College of Art Postgraduate Degree Show 1986 (1986),Andrew Arnott,https://collections.ed.ac.uk/art/record/21583?highlight=*:*
"fig.1 Destination, fig 2 Time - 10.35 pm (1984)",Andrew Binnie,https://collections.ed.ac.uk/art/record/99466?highlight=*:*
Kneeling Female Nude (1957),Andrew Conkie,https://collections.ed.ac.uk/art/record/20925?highlight=*:*
Three Standing Female Nudes (1957),Andrew Conkie,https://collections.ed.ac.uk/art/record/20926?highlight=*:*
Portrait Male (1975),Andrew J. Neil,https://collections.ed.ac.uk/art/record/22726?highlight=*:*
Composition with Red Sprouting Beans (Circa 1975),Andrew J. Neil,https://collections.ed.ac.uk/art/record/22643?highlight=*:*
Portrait of a Woman (1951),Andrew Kidd,https://collections.ed.ac.uk/art/record/21235?highlight=*:*
Blue Waterfall,Andrew Mackenzie,https://collections.ed.ac.uk/art/record/20751?highlight=*:*
Portrait of a Woman (1957),Andrew McPhee,https://collections.ed.ac.uk/art/record/21064?highlight=*:*
Unknown (1958),Andrew P. W. Conkie,https://collections.ed.ac.uk/art/record/50527?highlight=*:*
Unknown (1958),Andrew P. W. Conkie,https://collections.ed.ac.uk/art/record/50526?highlight=*:*
Unknown (1958),Andrew P. W. Conkie,https://collections.ed.ac.uk/art/record/50525?highlight=*:*
Standing Male Nude (1958),Andrew P. W. Conkie,https://collections.ed.ac.uk/art/record/22716?highlight=*:*
Unknown (1957),Andrew P. W. Conkie,https://collections.ed.ac.uk/art/record/50522?highlight=*:*
Unknown (1957),Andrew P. W. Conkie,https://collections.ed.ac.uk/art/record/50523?highlight=*:*
Unknown (1958),Andrew P. W. Conkie,https://collections.ed.ac.uk/art/record/50524?highlight=*:*
Unknown,Andrew Parkinson,https://collections.ed.ac.uk/art/record/50410?highlight=*:*
Untitled (Unknown),Andrew Parkinson,https://collections.ed.ac.uk/art/record/21632?highlight=*:*
Untitled (1963),Andrew Raeburn,https://collections.ed.ac.uk/art/record/22018?highlight=*:*
Seated Female Nude (1953),Andrew Restall,https://collections.ed.ac.uk/art/record/20946?highlight=*:*
Portrait of a Man (1953),Andrew Restall,https://collections.ed.ac.uk/art/record/20945?highlight=*:*
Portrait of a Woman (1958),Andrew Smith,https://collections.ed.ac.uk/art/record/21148?highlight=*:*
Study for Life Painting (1958),Andrew Smith,https://collections.ed.ac.uk/art/record/21149?highlight=*:*
Untitled - Two Chefs (1984-1985),Angus C. A. Hood,https://collections.ed.ac.uk/art/record/99429?highlight=*:*
Seated Figure Reading Newspaper,Angus C. A. Hood,https://collections.ed.ac.uk/art/record/22610?highlight=*:*
Untitled - Print of Figures Lying in a Garden (1962),Ann F Ward,https://collections.ed.ac.uk/art/record/99337?highlight=*:*
Prendre la clef des Chaps (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99346?highlight=*:*
Untitled - Two Apes Sun Bathing (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99347?highlight=*:*
Sweden - boats tied up at quayside (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99348?highlight=*:*
Untitled - Birdcage and Baby (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99349?highlight=*:*
Untitled - Abstract Still Life of Flowers and Fruit (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99351?highlight=*:*
Untitled - Cubist Guitar Player (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99350?highlight=*:*
Untitled - Semi-Nude Woman Combing Her Hair (1961-1962),Ann F Ward,https://collections.ed.ac.uk/art/record/99353?highlight=*:*
Untitled - Scene with Figures Relaxing in the Sun (1961-1962),Ann F Ward,https://collections.ed.ac.uk/art/record/99352?highlight=*:*
Seated Woman (Circa 1961),Ann F Ward,https://collections.ed.ac.uk/art/record/21354?highlight=*:*
Untitled - Three Figures At the Opera (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99344?highlight=*:*
Untitled - Men and Fishing Nets (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99345?highlight=*:*
Reflections on métro at 7.13 am (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99339?highlight=*:*
La Messe de Minuit - Église St Eustache (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99342?highlight=*:*
Sweden - Fishing for Str⁯ömming (1962),Ann F Ward,https://collections.ed.ac.uk/art/record/99338?highlight=*:*
Untitled - Paris cityscape with Two Cranes (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99343?highlight=*:*
Aux cinq billiards (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99340?highlight=*:*
"Marché, rue Mouffetard (1963)",Ann F Ward,https://collections.ed.ac.uk/art/record/99341?highlight=*:*
Untitled - Print of Dining Table with Window (1962),Ann F Ward,https://collections.ed.ac.uk/art/record/99336?highlight=*:*
Portrait of a Seated Woman (1958),Ann Forbes,https://collections.ed.ac.uk/art/record/21112?highlight=*:*
Portrait of a Woman (1958),Ann Forbes,https://collections.ed.ac.uk/art/record/21113?highlight=*:*
Portrait of a Young Man (1960),Ann Macmillan,https://collections.ed.ac.uk/art/record/20988?highlight=*:*
Sienna Cathedral (1982),Ann Oram,https://collections.ed.ac.uk/art/record/102660?highlight=*:*
Untitled (Unknown),Anna Bjorkman,https://collections.ed.ac.uk/art/record/99963?highlight=*:*
Untitled (Unknown),Anna Chapman,https://collections.ed.ac.uk/art/record/21603?highlight=*:*
Black Bodice (1996),Anna Millar,https://collections.ed.ac.uk/art/record/22612?highlight=*:*
Mannequin,Anna Millar,https://collections.ed.ac.uk/art/record/22628?highlight=*:*
Nude in Veil,Anna Millar,https://collections.ed.ac.uk/art/record/22637?highlight=*:*
Untitled (Unknown),Anna Richardson,https://collections.ed.ac.uk/art/record/21937?highlight=*:*
Aerial (2007),Anna Warsop,https://collections.ed.ac.uk/art/record/99904?highlight=*:*
Untitled (Unknown),Annabel Keatley,https://collections.ed.ac.uk/art/record/21609?highlight=*:*
Untitled (May 1987),Annabel Keatley,https://collections.ed.ac.uk/art/record/21568?highlight=*:*
Unknown (1947),Anne Anderson,https://collections.ed.ac.uk/art/record/50529?highlight=*:*
Untitled - Wheatfield in Ink (1963),Anne E Jones,https://collections.ed.ac.uk/art/record/99257?highlight=*:*
Untitled (1969),Anne Lynch,https://collections.ed.ac.uk/art/record/22492?highlight=*:*
Still Life with Peonies,Anne Redpath,https://collections.ed.ac.uk/art/record/20746?highlight=*:*
Life Painting (1918),Anne Redpath,https://collections.ed.ac.uk/art/record/20735?highlight=*:*
Untitled (Unknown),Anne Slater,https://collections.ed.ac.uk/art/record/21797?highlight=*:*
Untitled (1990-1991),Anne Weddell,https://collections.ed.ac.uk/art/record/21977?highlight=*:*
Reclining Male Nude (1952),Annette G B Ronald,https://collections.ed.ac.uk/art/record/20817?highlight=*:*
Portrait of a Woman in a Green-Checked Blouse (1952),Annette G B Ronald,https://collections.ed.ac.uk/art/record/22698?highlight=*:*
Face Value (2007),Annette Kierulf,https://collections.ed.ac.uk/art/record/99902?highlight=*:*
3.a Clarendon serif,Anthony Benjamin,https://collections.ed.ac.uk/art/record/21670?highlight=*:*
2. (a) Baskerville Serif (Unknown),Anthony Benjamin,https://collections.ed.ac.uk/art/record/21669?highlight=*:*
1.(a) Meccarama Serif (Unknown),Anthony Benjamin,https://collections.ed.ac.uk/art/record/21668?highlight=*:*
1. Meccarama (Unknown),Anthony Benjamin,https://collections.ed.ac.uk/art/record/21667?highlight=*:*
Goats Feeding (1974),Anthony Gross,https://collections.ed.ac.uk/art/record/21748?highlight=*:*
Untitled - Portrait of a Man in a Hat (1963),Anthony J Valentine,https://collections.ed.ac.uk/art/record/99441?highlight=*:*
"Untitled - Abstract Orange, Blue, and Brown Shapes (1963)",Anthony J Valentine,https://collections.ed.ac.uk/art/record/99442?highlight=*:*
Untitled (2001),Antonio Marcos Martin,https://collections.ed.ac.uk/art/record/21921?highlight=*:*
Untitled (1995-1996),Arabella Harvey,https://collections.ed.ac.uk/art/record/21722?highlight=*:*
Untitled (1995-1996),Arabella Harvey,https://collections.ed.ac.uk/art/record/21724?highlight=*:*
Head of Lorenzo de' Medici (Circa 1836),Aristodemo Costoli,https://collections.ed.ac.uk/art/record/20541?highlight=*:*
Untitled - Abstract Collage with Spheres (1988-1990),Arlene Isbister,https://collections.ed.ac.uk/art/record/99471?highlight=*:*
Landscape (Circa 1988),Arlene Isbister,https://collections.ed.ac.uk/art/record/22604?highlight=*:*
Untitled - Self-Portrait (1968),Arthur J Baglee,https://collections.ed.ac.uk/art/record/99381?highlight=*:*
Untitled - Two Portraits of Girls (1967),Arthur J Baglee,https://collections.ed.ac.uk/art/record/99380?highlight=*:*
Woodland #4 (2007),Asbjorn Hollerud,https://collections.ed.ac.uk/art/record/99898?highlight=*:*
Life Float and Boat,Ashley McCormick,https://collections.ed.ac.uk/art/record/21478?highlight=*:*
Birds & Peonies (2002),Asuka Ohsawa,https://collections.ed.ac.uk/art/record/99940?highlight=*:*
Unknown,Audry Redpath,https://collections.ed.ac.uk/art/record/50434?highlight=*:*
Standing Female Nude with a Stool (1959),B Clapperton,https://collections.ed.ac.uk/art/record/20912?highlight=*:*
Standing Male Nude (1959),B Clapperton,https://collections.ed.ac.uk/art/record/20911?highlight=*:*
Standing Female Nude (1959),B Clapperton,https://collections.ed.ac.uk/art/record/20910?highlight=*:*
Portrait of a Man (1959),B Clapperton,https://collections.ed.ac.uk/art/record/20909?highlight=*:*
Unknown (1950),B. J. Chambers Crabtree,https://collections.ed.ac.uk/art/record/50513?highlight=*:*
Charlotte (1984),B.R. Coode-Adams,https://collections.ed.ac.uk/art/record/21600?highlight=*:*
Portrait of Seated Man (1956),Ballantyne,https://collections.ed.ac.uk/art/record/21180?highlight=*:*
Reclining Male Nude (1956),Ballantyne,https://collections.ed.ac.uk/art/record/21244?highlight=*:*
Self Portrait (1951),Barbara C. Balmer,https://collections.ed.ac.uk/art/record/22708?highlight=*:*
Studies for a Man and Woman (1949),Barbara Hepworth,https://collections.ed.ac.uk/art/record/20769?highlight=*:*
Portrait of a Seated Woman,Barbara Mackie,https://collections.ed.ac.uk/art/record/20999?highlight=*:*
Portrait of a Young Woman (03 Nov 1958),Barbara Strachan,https://collections.ed.ac.uk/art/record/20867?highlight=*:*
Portrait of an Old Woman (1959),Barbara Strachan,https://collections.ed.ac.uk/art/record/20868?highlight=*:*
Portrait of a Woman (1959),Barbara Strachan,https://collections.ed.ac.uk/art/record/20869?highlight=*:*
Seated Female Nude (03 Feb 1959),Barbara Strachan,https://collections.ed.ac.uk/art/record/20870?highlight=*:*
