president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Adults,9/24/2020,41.107704,45.355172,36.860235,54.154437,58.899929,49.408945,24/09/2020 19:13
Donald Trump,All polls,9/24/2020,43.110742,48.06779,38.153693,53.109894,57.650334,48.569453,24/09/2020 19:12
Donald Trump,Adults,9/23/2020,41.009062,45.177027,36.841097,54.184102,58.894265,49.47394,23/09/2020 16:52
Donald Trump,Voters,9/23/2020,43.47008,48.465376,38.474784,53.022982,57.439696,48.606268,23/09/2020 16:55
Donald Trump,All polls,9/23/2020,42.761416,47.641407,37.881425,53.243399,57.743442,48.743356,23/09/2020 16:51
Donald Trump,Adults,9/22/2020,41.036704,45.435317,36.638091,53.759231,58.438549,49.079914,22/09/2020 21:39
Donald Trump,Voters,9/22/2020,43.139061,48.485577,37.792546,53.221237,57.827952,48.614523,22/09/2020 21:41
Donald Trump,All polls,9/22/2020,42.688312,47.934439,37.442184,52.965374,57.482701,48.448047,22/09/2020 21:37
Donald Trump,Voters,9/21/2020,43.095794,48.459904,37.731684,53.228666,57.87032,48.587012,21/09/2020 18:34
Donald Trump,Adults,9/21/2020,40.775537,44.978246,36.572828,53.972509,58.493194,49.451823,21/09/2020 18:31
Donald Trump,All polls,9/21/2020,42.57555,47.828786,37.322314,53.066262,57.560418,48.572106,21/09/2020 18:30
Donald Trump,Voters,9/20/2020,43.971201,48.608643,39.333759,52.776949,57.042102,48.511797,20/09/2020 09:21
Donald Trump,All polls,9/20/2020,43.187736,47.899827,38.475644,52.709411,56.958258,48.460564,20/09/2020 09:11
Donald Trump,Adults,9/20/2020,41.624382,45.032591,38.216172,53.32548,57.52299,49.12797,20/09/2020 09:17
Donald Trump,Adults,9/19/2020,41.624382,45.032564,38.216199,53.32548,57.522978,49.127983,20/09/2020 09:18
Donald Trump,Voters,9/19/2020,43.879983,48.688097,39.07187,52.68666,57.108162,48.265159,20/09/2020 09:25
Donald Trump,All polls,9/19/2020,43.035685,47.85492,38.21645,52.572065,56.930147,48.213983,20/09/2020 09:15
Donald Trump,Voters,9/18/2020,43.879983,48.688115,39.071852,52.68666,57.108159,48.265162,18/09/2020 17:05
Donald Trump,Adults,9/18/2020,41.624382,45.032564,38.216199,53.32548,57.522998,49.127963,18/09/2020 17:02
Donald Trump,All polls,9/18/2020,43.035685,47.854919,38.21645,52.572065,56.930151,48.213978,18/09/2020 17:01
Donald Trump,Voters,9/17/2020,43.707177,48.468271,38.946084,52.925473,57.362082,48.488865,17/09/2020 15:36
Donald Trump,Adults,9/17/2020,41.96297,45.426689,38.49925,53.515044,58.027474,49.002613,17/09/2020 15:33
Donald Trump,All polls,9/17/2020,43.266375,47.942169,38.590582,52.74611,57.204431,48.28779,17/09/2020 15:32
Donald Trump,Adults,9/16/2020,41.472472,45.037797,37.907146,53.886346,58.47644,49.296252,16/09/2020 16:29
Donald Trump,Voters,9/16/2020,43.81705,48.607103,39.026996,52.856107,57.435302,48.276913,16/09/2020 16:32
Donald Trump,All polls,9/16/2020,43.129773,47.950124,38.309422,52.826338,57.369767,48.282909,16/09/2020 16:28
Donald Trump,Voters,9/15/2020,43.807024,48.524316,39.089732,52.79834,57.146089,48.450591,15/09/2020 14:51
Donald Trump,Adults,9/15/2020,41.303258,45.018877,37.587639,53.71976,58.516135,48.923386,15/09/2020 14:48
Donald Trump,All polls,9/15/2020,43.067052,47.893876,38.240227,52.705759,57.150365,48.261153,15/09/2020 14:47
Donald Trump,Adults,9/14/2020,41.432106,45.112462,37.75175,53.577168,58.406955,48.747381,14/09/2020 16:22
Donald Trump,Voters,9/14/2020,43.844448,48.505782,39.183114,52.784307,57.089993,48.47862,14/09/2020 16:25
Donald Trump,All polls,9/14/2020,43.167115,47.94376,38.390469,52.618746,57.053026,48.184466,14/09/2020 16:21
Donald Trump,Voters,9/13/2020,43.784654,48.279123,39.290185,52.836578,57.036704,48.636452,13/09/2020 09:13
Donald Trump,Adults,9/13/2020,41.340194,45.022121,37.658268,53.498731,58.426636,48.570825,13/09/2020 09:10
Donald Trump,All polls,9/13/2020,43.030614,47.682813,38.378415,52.676725,57.090379,48.263071,13/09/2020 09:09
Donald Trump,Adults,09/12/2020,41.340194,45.022109,37.65828,53.498731,58.426618,48.570844,12/09/2020 16:21
Donald Trump,Voters,09/12/2020,43.021278,47.448862,38.593695,53.228217,57.533925,48.922509,12/09/2020 16:24
Donald Trump,All polls,09/12/2020,42.491375,47.027999,37.954752,52.874831,57.417313,48.332349,12/09/2020 16:20
Donald Trump,Adults,09/11/2020,41.35091,45.024668,37.677152,53.518576,58.409881,48.627271,11/09/2020 18:08
Donald Trump,Voters,09/11/2020,43.021278,47.448846,38.593711,53.228217,57.533931,48.922503,11/09/2020 18:11
Donald Trump,All polls,09/11/2020,42.511746,47.034068,37.989424,52.880054,57.418742,48.341366,11/09/2020 18:07
Donald Trump,Voters,09/10/2020,43.022355,47.420798,38.623912,53.225414,57.519636,48.931192,10/09/2020 14:15
Donald Trump,Adults,09/10/2020,41.512838,45.199282,37.826394,53.947723,58.484771,49.410675,10/09/2020 14:12
Donald Trump,All polls,09/10/2020,42.672291,47.149559,38.195024,53.099652,57.488707,48.710597,10/09/2020 14:11
Donald Trump,Voters,09/09/2020,43.194505,47.602994,38.786016,53.188114,57.60292,48.773307,09/09/2020 19:41
Donald Trump,Adults,09/09/2020,41.145925,44.687634,37.604217,54.123225,58.77634,49.47011,09/09/2020 19:39
Donald Trump,All polls,09/09/2020,42.604792,47.169576,38.040008,53.200969,57.741138,48.6608,09/09/2020 19:37
Donald Trump,Voters,09/08/2020,43.900108,48.475908,39.324308,52.18123,56.625704,47.736757,08/09/2020 20:43
Donald Trump,Adults,09/08/2020,41.436258,45.197357,37.67516,53.670444,58.777512,48.563375,08/09/2020 20:41
Donald Trump,All polls,09/08/2020,43.097588,47.807094,38.388083,52.726564,57.461756,47.991372,08/09/2020 20:39
Donald Trump,Adults,09/07/2020,41.478483,45.233769,37.723196,53.612054,58.9045,48.319607,07/09/2020 11:12
Donald Trump,Voters,09/07/2020,44.052782,48.59798,39.507585,52.080897,56.578412,47.583381,07/09/2020 11:14
Donald Trump,All polls,09/07/2020,43.272162,47.98153,38.562794,52.622892,57.494042,47.751743,07/09/2020 11:10
Donald Trump,Voters,09/06/2020,43.992693,48.452696,39.53269,52.120935,56.594512,47.647357,07/09/2020 09:49
Donald Trump,All polls,09/06/2020,43.494878,48.192868,38.796889,52.272335,57.182987,47.361682,07/09/2020 09:37
Donald Trump,Adults,09/06/2020,41.52114,45.386639,37.65564,53.357716,58.849489,47.865942,07/09/2020 09:43
Donald Trump,Adults,09/05/2020,41.52114,45.386623,37.655656,53.357716,58.849488,47.865943,07/09/2020 09:45
Donald Trump,All polls,09/05/2020,43.494878,48.192869,38.796888,52.272335,57.182979,47.36169,07/09/2020 09:40
Donald Trump,Voters,09/05/2020,43.992693,48.452663,39.532722,52.120935,56.59449,47.647379,07/09/2020 09:52
Donald Trump,Adults,09/04/2020,41.52114,45.386635,37.655644,53.357716,58.849472,47.865959,04/09/2020 16:54
Donald Trump,Voters,09/04/2020,43.992693,48.452656,39.532729,52.120935,56.594487,47.647382,04/09/2020 16:56
Donald Trump,All polls,09/04/2020,43.494878,48.192873,38.796884,52.272335,57.182984,47.361685,04/09/2020 16:52
Donald Trump,Voters,09/03/2020,43.901355,48.273981,39.528728,52.202635,56.687346,47.717925,03/09/2020 21:06
Donald Trump,Adults,09/03/2020,41.52114,45.386642,37.655637,53.357716,58.849472,47.865959,03/09/2020 21:04
Donald Trump,All polls,09/03/2020,43.461772,48.073091,38.850453,52.306716,57.238153,47.375278,03/09/2020 21:02
Donald Trump,Adults,09/02/2020,41.393013,45.225544,37.560483,53.415751,58.917035,47.914466,02/09/2020 18:41
Donald Trump,Voters,09/02/2020,43.889747,48.256287,39.523206,52.30807,56.841664,47.774476,02/09/2020 18:43
Donald Trump,All polls,09/02/2020,43.407911,48.028675,38.787148,52.374033,57.379437,47.368629,02/09/2020 18:39
Donald Trump,Adults,09/01/2020,40.710184,45.138349,36.282019,55.451356,60.690337,50.212376,01/09/2020 19:18
Donald Trump,Voters,09/01/2020,44.523388,49.1445,39.902276,52.066883,57.329501,46.804265,01/09/2020 19:20
Donald Trump,All polls,09/01/2020,43.314204,48.38384,38.244569,53.046381,58.626651,47.46611,01/09/2020 19:16
Donald Trump,Voters,8/31/2020,44.347452,49.060381,39.634523,52.253319,57.730651,46.775987,31/08/2020 20:55
Donald Trump,Adults,8/31/2020,40.523852,44.844114,36.203591,55.680858,60.811207,50.550509,31/08/2020 20:53
Donald Trump,All polls,8/31/2020,43.021424,48.210979,37.831868,53.36512,59.147262,47.582977,31/08/2020 20:51
Donald Trump,Adults,8/30/2020,40.545451,44.786562,36.304341,55.667372,60.759547,50.575197,31/08/2020 09:33
Donald Trump,Voters,8/30/2020,42.931703,47.373531,38.489874,53.351105,58.366182,48.336028,31/08/2020 09:37
Donald Trump,All polls,8/30/2020,42.036055,46.898272,37.173838,54.198489,59.581606,48.815372,31/08/2020 09:30
Donald Trump,Adults,8/29/2020,40.545451,44.786582,36.30432,55.667372,60.759561,50.575184,29/08/2020 13:40
Donald Trump,Voters,8/29/2020,42.931703,47.373563,38.489843,53.351105,58.366185,48.336026,29/08/2020 13:42
Donald Trump,All polls,8/29/2020,42.036055,46.898264,37.173847,54.198489,59.581611,48.815367,29/08/2020 13:38
Donald Trump,Voters,8/28/2020,42.93757,47.38771,38.48743,53.354962,58.361432,48.348493,28/08/2020 18:01
Donald Trump,Adults,8/28/2020,40.591327,44.826777,36.355876,55.610336,60.709961,50.51071,28/08/2020 17:59
Donald Trump,All polls,8/28/2020,42.060781,46.918242,37.203319,54.14054,59.518721,48.762358,28/08/2020 17:57
Donald Trump,Voters,8/27/2020,43.345831,47.902745,38.788917,53.374763,58.128778,48.620748,27/08/2020 17:33
Donald Trump,Adults,8/27/2020,40.520656,44.652455,36.388857,55.620215,60.62971,50.61072,27/08/2020 17:31
Donald Trump,All polls,8/27/2020,42.233647,47.227699,37.239594,54.277735,59.514319,49.041152,27/08/2020 17:29
Donald Trump,Adults,8/26/2020,40.520656,44.65244,36.388871,55.620215,60.629714,50.610716,26/08/2020 17:29
Donald Trump,Voters,8/26/2020,43.226579,47.839297,38.613861,53.317282,58.132563,48.502,26/08/2020 17:31
Donald Trump,All polls,8/26/2020,42.139262,47.176033,37.102492,54.25688,59.583139,48.930621,26/08/2020 17:27
Donald Trump,Voters,8/25/2020,42.550279,46.984719,38.115839,53.830702,58.743811,48.917592,25/08/2020 16:43
Donald Trump,Adults,8/25/2020,40.24987,44.428584,36.071157,55.959876,61.050813,50.868938,25/08/2020 16:41
Donald Trump,All polls,8/25/2020,41.588443,46.417004,36.759882,54.665913,60.06966,49.262167,25/08/2020 16:39
Donald Trump,Adults,8/24/2020,40.208898,44.333412,36.084384,56.024279,61.160535,50.888023,24/08/2020 17:43
Donald Trump,Voters,8/24/2020,42.553595,47.078586,38.028603,53.855702,58.854469,48.856935,24/08/2020 17:45
Donald Trump,All polls,8/24/2020,41.645388,46.534465,36.756311,54.678561,60.172039,49.185083,24/08/2020 17:41
Donald Trump,Voters,8/23/2020,42.072002,46.526756,37.617247,54.114714,59.215001,49.014427,23/08/2020 10:55
Donald Trump,Adults,8/23/2020,40.820818,44.505996,37.135639,55.17111,59.040993,51.301226,23/08/2020 10:53
Donald Trump,All polls,8/23/2020,41.808292,46.310897,37.305687,54.1396,58.985399,49.293802,23/08/2020 10:51
Donald Trump,Adults,8/22/2020,40.890804,44.532328,37.24928,55.074371,58.91448,51.234263,22/08/2020 09:05
Donald Trump,Voters,8/22/2020,42.178473,46.589984,37.766961,53.992381,59.041411,48.943351,22/08/2020 09:07
Donald Trump,All polls,8/22/2020,41.864666,46.321063,37.408269,54.053787,58.863764,49.243811,22/08/2020 09:03
Donald Trump,Adults,8/21/2020,40.890804,44.532335,37.249273,55.074371,58.91447,51.234273,21/08/2020 19:14
Donald Trump,Voters,8/21/2020,42.109292,46.584747,37.633837,54.201881,59.187569,49.216193,21/08/2020 19:16
Donald Trump,All polls,8/21/2020,41.802282,46.3133,37.291263,54.186957,58.940967,49.432948,21/08/2020 19:12
Donald Trump,Voters,8/20/2020,42.37188,46.572617,38.171143,53.92032,58.701359,49.139281,20/08/2020 14:07
Donald Trump,Adults,8/20/2020,41.195789,44.732425,37.659152,54.683667,58.136434,51.2309,20/08/2020 14:05
Donald Trump,All polls,8/20/2020,42.002667,46.328614,37.67672,53.95199,58.491538,49.412441,20/08/2020 14:03
Donald Trump,Voters,8/19/2020,42.224615,46.156532,38.292699,53.990748,58.666214,49.315282,19/08/2020 17:10
Donald Trump,Adults,8/19/2020,41.218221,44.739027,37.697414,54.618022,58.072182,51.163863,19/08/2020 17:08
Donald Trump,All polls,8/19/2020,41.91564,46.009185,37.822096,53.920024,58.312913,49.527136,19/08/2020 17:06
Donald Trump,Voters,8/18/2020,42.186708,46.18561,38.187805,54.096482,58.852112,49.340851,18/08/2020 14:14
Donald Trump,Adults,8/18/2020,41.311415,44.842138,37.780693,54.543188,58.042752,51.043624,18/08/2020 14:12
Donald Trump,All polls,8/18/2020,42.011622,46.094411,37.928833,53.879314,58.330641,49.427987,18/08/2020 14:10
Donald Trump,Adults,8/17/2020,41.355919,44.795055,37.916784,54.578043,58.09687,51.059215,17/08/2020 18:40
Donald Trump,Voters,8/17/2020,42.110153,46.051328,38.168978,54.191626,58.908161,49.475091,17/08/2020 18:43
Donald Trump,All polls,8/17/2020,41.969554,45.988766,37.950343,53.975612,58.430007,49.521216,17/08/2020 18:38
Donald Trump,Adults,8/16/2020,40.793108,44.231798,37.354419,54.771434,58.555481,50.987388,16/08/2020 21:56
Donald Trump,Voters,8/16/2020,42.393737,46.422574,38.364901,54.262631,58.07314,50.452121,16/08/2020 21:58
Donald Trump,All polls,8/16/2020,41.853066,46.002465,37.703667,54.39747,58.138063,50.656877,16/08/2020 21:54
Donald Trump,Voters,8/15/2020,42.010432,46.25046,37.770404,54.57737,58.553219,50.60152,15/08/2020 12:49
Donald Trump,Adults,8/15/2020,40.470256,43.983991,36.95652,55.079899,59.006495,51.153302,15/08/2020 12:47
Donald Trump,All polls,8/15/2020,41.535963,45.860097,37.211829,54.646939,58.533084,50.760794,15/08/2020 12:45
Donald Trump,Adults,8/14/2020,40.465576,43.972657,36.958496,55.045725,58.972665,51.118785,14/08/2020 15:11
Donald Trump,Voters,8/14/2020,41.996961,46.232105,37.761817,54.561362,58.533824,50.588899,14/08/2020 15:13
Donald Trump,All polls,8/14/2020,41.530297,45.843326,37.217269,54.626762,58.513319,50.740205,14/08/2020 15:09
Donald Trump,Voters,8/13/2020,42.20424,46.317415,38.091065,54.554212,58.641883,50.466541,13/08/2020 18:43
Donald Trump,Adults,8/13/2020,40.544764,44.167379,36.922149,55.067581,59.153609,50.981554,13/08/2020 18:41
Donald Trump,All polls,8/13/2020,41.659756,46.004791,37.314722,54.609248,58.589905,50.628591,13/08/2020 18:39
Donald Trump,Adults,08/12/2020,40.51487,44.326385,36.703354,55.077561,59.258111,50.897011,12/08/2020 16:11
Donald Trump,Voters,08/12/2020,42.414112,46.859366,37.968859,54.353929,58.708017,49.999841,12/08/2020 16:13
Donald Trump,All polls,08/12/2020,41.801725,46.419073,37.184376,54.483312,58.744767,50.221857,12/08/2020 16:09
Donald Trump,Adults,08/11/2020,40.43112,44.422592,36.439648,55.254182,59.639578,50.868786,11/08/2020 14:42
Donald Trump,Voters,08/11/2020,42.086772,46.817338,37.356205,54.395714,59.060012,49.731416,11/08/2020 14:44
Donald Trump,All polls,08/11/2020,41.479006,46.255874,36.702139,54.699452,59.240323,50.158581,11/08/2020 14:40
Donald Trump,Voters,08/10/2020,41.988932,46.622562,37.355302,54.359047,59.014051,49.704044,10/08/2020 15:16
Donald Trump,Adults,08/10/2020,40.3861,44.349949,36.422251,55.366146,59.767797,50.964494,10/08/2020 15:13
Donald Trump,All polls,08/10/2020,41.417654,46.123559,36.711749,54.769188,59.345789,50.192587,10/08/2020 15:12
Donald Trump,Voters,08/09/2020,41.954913,46.743416,37.166409,54.403005,59.298093,49.507918,10/08/2020 09:49
Donald Trump,All polls,08/09/2020,41.420104,46.225048,36.615159,54.682292,59.418451,49.946133,10/08/2020 09:37
Donald Trump,Adults,08/09/2020,40.426433,44.32992,36.522945,55.224679,59.546505,50.902853,10/08/2020 09:43
Donald Trump,Adults,08/08/2020,40.426433,44.32991,36.522956,55.224679,59.546499,50.902859,10/08/2020 09:45
Donald Trump,Voters,08/08/2020,41.954913,46.743393,37.166433,54.403005,59.298089,49.507922,10/08/2020 09:51
Donald Trump,All polls,08/08/2020,41.420104,46.225049,36.615158,54.682292,59.41845,49.946134,10/08/2020 09:40
Donald Trump,Voters,08/07/2020,41.954913,46.743428,37.166398,54.403005,59.298109,49.507902,07/08/2020 14:10
Donald Trump,Adults,08/07/2020,40.426433,44.329909,36.522956,55.224679,59.546493,50.902865,07/08/2020 14:08
Donald Trump,All polls,08/07/2020,41.420104,46.225049,36.615158,54.682292,59.418451,49.946133,07/08/2020 14:06
Donald Trump,Voters,08/06/2020,41.782422,46.43538,37.129465,54.515465,59.385565,49.645366,06/08/2020 14:34
Donald Trump,Adults,08/06/2020,40.392858,44.265548,36.520168,55.190094,59.499973,50.880214,06/08/2020 14:31
Donald Trump,All polls,08/06/2020,41.269261,45.915336,36.623186,54.74455,59.45141,50.03769,06/08/2020 14:30
Donald Trump,Adults,08/05/2020,40.506257,44.415847,36.596666,55.13284,59.337391,50.92829,05/08/2020 15:07
Donald Trump,Voters,08/05/2020,41.865495,46.57451,37.156479,54.492144,59.414447,49.569842,05/08/2020 15:09
Donald Trump,All polls,08/05/2020,41.417384,46.116664,36.718104,54.660481,59.361012,49.95995,05/08/2020 15:05
Donald Trump,Voters,08/04/2020,42.254478,47.063303,37.445654,53.97219,58.768517,49.175863,04/08/2020 17:39
Donald Trump,Adults,08/04/2020,40.113621,44.104764,36.122479,55.351746,59.843198,50.860293,04/08/2020 17:36
Donald Trump,All polls,08/04/2020,41.295444,46.240184,36.350703,54.705724,59.531903,49.879546,04/08/2020 17:35
Donald Trump,Voters,08/03/2020,42.296033,47.166869,37.425197,53.944971,58.804183,49.08576,03/08/2020 18:45
Donald Trump,Adults,08/03/2020,39.902188,43.655039,36.149337,55.518688,59.932603,51.104772,03/08/2020 18:42
Donald Trump,All polls,08/03/2020,41.211291,46.197254,36.225328,54.783806,59.660432,49.90718,03/08/2020 18:41
Donald Trump,All polls,08/02/2020,41.224245,46.008288,36.440203,54.762345,59.471405,50.053285,03/08/2020 09:37
Donald Trump,Voters,08/02/2020,42.200055,46.907652,37.492458,54.114457,58.811334,49.41758,03/08/2020 09:49
Donald Trump,Adults,08/02/2020,40.016978,43.761581,36.272375,55.25875,59.649539,50.867961,03/08/2020 09:44
Donald Trump,All polls,08/01/2020,41.224245,46.008292,36.440199,54.762345,59.471399,50.053291,03/08/2020 09:41
Donald Trump,Adults,08/01/2020,40.016978,43.761587,36.272369,55.25875,59.649541,50.86796,03/08/2020 09:45
Donald Trump,Voters,08/01/2020,42.200055,46.907653,37.492457,54.114457,58.811341,49.417572,03/08/2020 09:52
Donald Trump,Adults,7/31/2020,40.016978,43.76159,36.272366,55.25875,59.649555,50.867945,31/07/2020 15:39
Donald Trump,Voters,7/31/2020,42.200055,46.907683,37.492428,54.114457,58.811336,49.417578,31/07/2020 15:42
Donald Trump,All polls,7/31/2020,41.224245,46.008285,36.440205,54.762345,59.4714,50.05329,31/07/2020 15:38
Donald Trump,Voters,7/30/2020,41.296759,45.898139,36.695378,54.677211,59.105049,50.249373,30/07/2020 13:38
Donald Trump,Adults,7/30/2020,40.017417,43.737135,36.297699,55.253604,59.614481,50.892728,30/07/2020 13:35
Donald Trump,All polls,7/30/2020,40.62825,45.177509,36.07899,55.140089,59.548849,50.731329,30/07/2020 13:34
Donald Trump,Voters,7/29/2020,41.138476,45.814868,36.462084,55.346823,59.592524,51.101122,29/07/2020 16:36
Donald Trump,Adults,7/29/2020,39.967624,43.865135,36.070113,55.69492,60.176485,51.213355,29/07/2020 16:33
Donald Trump,All polls,7/29/2020,40.448063,45.003827,35.892299,55.628655,60.104481,51.15283,29/07/2020 16:32
Donald Trump,Voters,7/28/2020,40.344463,45.052991,35.635935,55.964711,60.424563,51.504859,28/07/2020 09:38
Donald Trump,Adults,7/28/2020,39.671966,43.567686,35.776247,55.809461,60.283327,51.335596,28/07/2020 09:35
Donald Trump,All polls,7/28/2020,40.134218,44.806196,35.46224,55.78471,60.44435,51.12507,28/07/2020 09:34
Donald Trump,Adults,7/27/2020,39.617738,43.425516,35.80996,55.872736,60.381657,51.363816,27/07/2020 19:50
Donald Trump,Voters,7/27/2020,40.383729,45.125706,35.641753,55.894016,60.4195,51.368531,27/07/2020 19:53
Donald Trump,All polls,7/27/2020,40.15045,44.850599,35.450302,55.752922,60.490697,51.015147,27/07/2020 19:49
Donald Trump,Voters,7/26/2020,40.77583,45.708341,35.84332,55.596234,60.385737,50.806731,26/07/2020 08:20
Donald Trump,All polls,7/26/2020,40.211451,45.107019,35.315883,55.765339,60.683655,50.847023,26/07/2020 08:12
Donald Trump,Adults,7/26/2020,39.158068,42.847857,35.46828,56.383385,60.737147,52.029623,26/07/2020 08:17
Donald Trump,Adults,7/25/2020,39.153046,42.957153,35.34894,56.344261,60.464506,52.224017,26/07/2020 08:18
Donald Trump,All polls,7/25/2020,40.245284,45.217397,35.273171,55.690004,60.519208,50.8608,26/07/2020 08:15
Donald Trump,Voters,7/25/2020,40.77583,45.708314,35.843347,55.596234,60.385729,50.80674,26/07/2020 08:22
Donald Trump,Adults,7/24/2020,39.153046,42.957168,35.348924,56.344261,60.464509,52.224013,24/07/2020 16:52
Donald Trump,Voters,7/24/2020,40.77583,45.708338,35.843322,55.596234,60.385723,50.806745,24/07/2020 16:55
Donald Trump,All polls,7/24/2020,40.245284,45.217382,35.273185,55.690004,60.519213,50.860795,24/07/2020 16:51
Donald Trump,Voters,7/23/2020,40.931297,45.747514,36.115081,55.482465,60.182722,50.782208,23/07/2020 17:19
Donald Trump,Adults,7/23/2020,39.071247,42.823707,35.318788,56.438804,60.454175,52.423433,23/07/2020 17:16
Donald Trump,All polls,7/23/2020,40.32437,45.210426,35.438315,55.638868,60.339448,50.938288,23/07/2020 17:15
Donald Trump,Adults,7/22/2020,39.085916,42.828046,35.343785,56.389319,60.41809,52.360549,22/07/2020 15:16
Donald Trump,Voters,7/22/2020,40.849557,45.566311,36.132803,55.620706,60.177363,51.064049,22/07/2020 15:19
Donald Trump,All polls,7/22/2020,40.277373,45.057842,35.496904,55.707955,60.301266,51.114643,22/07/2020 15:15
Donald Trump,Adults,7/21/2020,39.140021,42.922642,35.3574,56.532695,60.5715,52.493891,21/07/2020 14:43
Donald Trump,Voters,7/21/2020,40.844588,45.560877,36.128299,55.502363,60.012595,50.992132,21/07/2020 14:46
Donald Trump,All polls,7/21/2020,40.293817,44.987755,35.599879,55.733866,60.234991,51.232741,21/07/2020 14:42
Donald Trump,Voters,7/20/2020,41.109678,45.430458,36.788898,55.407245,59.759944,51.054547,20/07/2020 17:13
Donald Trump,Adults,7/20/2020,39.474642,42.852349,36.096936,56.303323,60.033582,52.573064,20/07/2020 17:11
Donald Trump,All polls,7/20/2020,40.512997,44.882076,36.143918,55.591419,59.917832,51.265006,20/07/2020 17:09
Donald Trump,Adults,7/19/2020,39.497713,42.892635,36.10279,56.197452,59.946554,52.44835,19/07/2020 09:09
Donald Trump,Voters,7/19/2020,41.139075,45.363966,36.914184,55.354458,59.676214,51.032702,19/07/2020 09:12
Donald Trump,All polls,7/19/2020,40.532876,44.823736,36.242016,55.531515,59.860842,51.202188,19/07/2020 09:08
Donald Trump,Adults,7/18/2020,39.566988,43.139126,35.994851,56.265487,60.194562,52.336412,19/07/2020 00:23
