score,rank,ethnicity,gender,language,age,cls_perc_eval,cls_did_eval,cls_students,cls_level,cls_profs,cls_credits,bty_f1lower,bty_f1upper,bty_f2upper,bty_m1lower,bty_m1upper,bty_m2upper
4.3,teaching,not minority,male,english,47,75,12,16,upper,multiple,multi credit,5,7,6,3,6,6
4.4,teaching,not minority,male,english,47,93.33334,14,15,upper,single,multi credit,5,7,6,3,6,6
4.5,teaching,not minority,male,english,47,95.65218,22,23,upper,single,multi credit,5,7,6,3,6,6
5,teaching,not minority,male,english,47,90.90909,10,11,lower,multiple,multi credit,5,7,6,3,6,6
4.9,teaching,not minority,male,english,47,58.62069,17,29,lower,multiple,multi credit,5,7,6,3,6,6
4.6,teaching,not minority,male,english,47,76.19048,16,21,upper,multiple,multi credit,5,7,6,3,6,6
5,teaching,not minority,male,english,47,83.33334,15,18,lower,multiple,multi credit,5,7,6,3,6,6
4.7,teaching,not minority,male,english,47,84.21053,16,19,upper,single,multi credit,5,7,6,3,6,6
5,teaching,not minority,male,english,47,80,16,20,lower,multiple,multi credit,5,7,6,3,6,6
3.6,tenure track,minority,male,non-english,35,72,18,25,upper,single,multi credit,5,7,4,2,4,7
3.7,tenure track,minority,male,non-english,35,90.90909,30,33,upper,single,multi credit,5,7,4,2,4,7
4.3,tenure track,minority,male,non-english,35,95.83334,23,24,upper,single,multi credit,5,7,4,2,4,7
4.1,teaching,not minority,male,english,37,88.23529,30,34,upper,multiple,multi credit,4,5,5,3,5,4
4.2,teaching,not minority,male,english,37,61.90476,13,21,upper,single,multi credit,4,5,5,3,5,4
4.7,teaching,not minority,male,english,37,80,24,30,upper,multiple,multi credit,4,5,5,3,5,4
4.7,teaching,not minority,male,english,37,96,24,25,upper,multiple,multi credit,4,5,5,3,5,4
3.5,teaching,not minority,male,english,37,71.42857,25,35,upper,multiple,multi credit,4,5,5,3,5,4
4.1,tenured,not minority,male,english,42,70,28,40,upper,multiple,multi credit,4,7,5,4,4,5
4.2,tenured,not minority,male,english,42,60,18,30,upper,multiple,multi credit,4,7,5,4,4,5
4,tenured,not minority,male,english,42,66.66666,28,42,upper,multiple,multi credit,4,7,5,4,4,5
4,tenured,not minority,male,english,42,43.85965,25,57,upper,single,multi credit,4,7,5,4,4,5
3.9,tenured,not minority,male,english,42,70.17544,40,57,upper,single,multi credit,4,7,5,4,4,5
4.4,tenured,not minority,male,english,42,78.43137,40,51,upper,single,multi credit,4,7,5,4,4,5
3.8,tenured,not minority,male,english,42,60,18,30,upper,multiple,multi credit,4,7,5,4,4,5
3.5,tenured,not minority,male,non-english,49,83.33334,30,36,upper,multiple,multi credit,3,3,5,1,7,5
4.2,tenured,not minority,male,non-english,49,83.78378,31,37,upper,single,multi credit,3,3,5,1,7,5
3.5,tenured,not minority,male,non-english,49,51.72414,15,29,upper,multiple,multi credit,3,3,5,1,7,5
3.6,tenured,not minority,male,non-english,49,85.18519,23,27,upper,single,multi credit,3,3,5,1,7,5
2.9,tenure track,not minority,female,english,37,82.14286,23,28,upper,single,multi credit,6,7,7,5,4,4
3.3,tenure track,not minority,female,english,37,65.38461,34,52,upper,multiple,multi credit,6,7,7,5,4,4
3.3,tenure track,not minority,female,english,37,80.76923,21,26,upper,single,multi credit,6,7,7,5,4,4
3.2,tenure track,not minority,female,english,37,96.66666,29,30,upper,single,multi credit,6,7,7,5,4,4
4.6,tenured,not minority,male,english,45,69.69697,23,33,upper,single,multi credit,2,4,3,5,4,7
4.2,tenured,not minority,male,english,45,25.42373,45,177,lower,single,multi credit,2,4,3,5,4,7
4.3,tenured,not minority,male,english,45,45.22613,90,199,lower,single,multi credit,2,4,3,5,4,7
4.4,tenured,not minority,male,english,45,84.375,27,32,upper,single,multi credit,2,4,3,5,4,7
4.1,tenured,not minority,male,english,45,94.5946,35,37,upper,single,multi credit,2,4,3,5,4,7
4.6,tenured,not minority,male,english,45,74.53416,120,161,lower,single,multi credit,2,4,3,5,4,7
4.4,teaching,not minority,female,english,56,65.85366,27,41,upper,single,multi credit,3,4,1,2,2,3
4.8,teaching,not minority,female,english,56,88.63636,39,44,upper,single,multi credit,3,4,1,2,2,3
4.3,teaching,not minority,female,english,56,66.03773,35,53,upper,multiple,multi credit,3,4,1,2,2,3
3.6,teaching,not minority,female,english,56,69.38776,34,49,upper,multiple,multi credit,3,4,1,2,2,3
4.3,teaching,not minority,female,english,56,84.375,27,32,upper,single,multi credit,3,4,1,2,2,3
4,teaching,not minority,male,english,48,74.07407,100,135,lower,multiple,multi credit,3,5,6,4,4,4
4.2,teaching,not minority,male,english,48,60.60606,20,33,upper,multiple,multi credit,3,5,6,4,4,4
4.1,teaching,not minority,male,english,48,73.68421,14,19,upper,multiple,multi credit,3,5,6,4,4,4
4.1,teaching,not minority,male,english,48,58.55856,65,111,lower,multiple,multi credit,3,5,6,4,4,4
4.4,teaching,not minority,male,english,48,63.75839,95,149,lower,multiple,multi credit,3,5,6,4,4,4
4.3,teaching,not minority,male,english,48,66.66666,18,27,upper,multiple,multi credit,3,5,6,4,4,4
4.4,teaching,not minority,male,english,48,62.5,85,136,lower,multiple,multi credit,3,5,6,4,4,4
4.4,teaching,not minority,male,english,48,80.71429,113,140,lower,multiple,multi credit,3,5,6,4,4,4
4.9,tenured,not minority,female,english,46,80.64516,25,31,upper,multiple,multi credit,4,4,5,2,6,5
5,tenured,not minority,female,english,46,93.33334,14,15,lower,multiple,multi credit,4,4,5,2,6,5
4.4,tenured,not minority,female,english,46,79.31035,23,29,upper,multiple,multi credit,4,4,5,2,6,5
4.8,tenured,not minority,female,english,46,92,23,25,upper,multiple,multi credit,4,4,5,2,6,5
4.9,tenured,not minority,female,english,46,50,9,18,upper,multiple,multi credit,4,4,5,2,6,5
4.3,tenured,not minority,female,english,46,66.66666,30,45,upper,multiple,multi credit,4,4,5,2,6,5
5,tenured,not minority,female,english,46,100,15,15,lower,multiple,multi credit,4,4,5,2,6,5
4.7,tenured,not minority,female,english,46,81.57895,31,38,upper,multiple,multi credit,4,4,5,2,6,5
4.5,tenured,not minority,female,english,46,80,12,15,lower,multiple,multi credit,4,4,5,2,6,5
3.5,teaching,not minority,female,english,57,60.71429,17,28,upper,multiple,multi credit,5,4,4,5,2,6
3.9,teaching,not minority,female,english,57,43.47826,10,23,upper,multiple,multi credit,5,4,4,5,2,6
4,teaching,not minority,female,english,57,78.94736,15,19,upper,multiple,multi credit,5,4,4,5,2,6
4,teaching,not minority,female,english,57,30.43478,7,23,upper,multiple,multi credit,5,4,4,5,2,6
3.7,teaching,not minority,female,english,57,31.81818,7,22,upper,multiple,multi credit,5,4,4,5,2,6
3.4,teaching,not minority,female,english,57,70,14,20,upper,multiple,multi credit,5,4,4,5,2,6
3.3,teaching,not minority,female,english,57,42.10526,8,19,upper,multiple,multi credit,5,4,4,5,2,6
3.8,teaching,not minority,female,english,57,73.91304,17,23,upper,multiple,multi credit,5,4,4,5,2,6
3.9,teaching,not minority,female,english,57,45.45454,10,22,upper,multiple,multi credit,5,4,4,5,2,6
3.4,teaching,not minority,female,english,57,80,12,15,upper,multiple,multi credit,5,4,4,5,2,6
3.7,teaching,not minority,female,english,52,86.36364,19,22,upper,single,multi credit,6,6,4,2,4,7
4.1,teaching,not minority,female,english,52,87.09677,27,31,upper,multiple,multi credit,6,6,4,2,4,7
3.7,teaching,not minority,female,english,52,95.2381,20,21,upper,multiple,multi credit,6,6,4,2,4,7
3.5,teaching,not minority,female,english,52,86.11111,31,36,upper,multiple,multi credit,6,6,4,2,4,7
3.5,teaching,not minority,female,english,52,89.47369,17,19,upper,multiple,one credit,6,6,4,2,4,7
4.4,teaching,not minority,female,english,52,62.16216,23,37,upper,single,multi credit,6,6,4,2,4,7
3.4,tenure track,minority,female,non-english,29,73.07692,19,26,upper,single,multi credit,3,3,4,2,3,2
4.3,tenured,not minority,male,english,62,76.92308,30,39,upper,single,multi credit,4,3,4,1,2,4
3.7,tenured,not minority,male,english,62,51.08696,94,184,lower,single,multi credit,4,3,4,1,2,4
4.7,tenured,not minority,male,english,62,92,46,50,upper,single,multi credit,4,3,4,1,2,4
3.9,tenured,not minority,male,english,62,50.95541,80,157,lower,single,multi credit,4,3,4,1,2,4
3.6,tenured,not minority,male,english,62,37.19512,61,164,lower,single,multi credit,4,3,4,1,2,4
4.5,tenured,not minority,male,english,64,62.5,15,24,upper,multiple,multi credit,5,4,5,3,3,5
4.5,tenured,not minority,male,english,64,75,51,68,upper,multiple,multi credit,5,4,5,3,3,5
4.8,tenured,not minority,male,english,64,46.80851,22,47,upper,multiple,multi credit,5,4,5,3,3,5
4.8,tenured,not minority,male,english,64,71.42857,10,14,upper,multiple,multi credit,5,4,5,3,3,5
4.7,tenured,not minority,male,english,64,73.33334,11,15,upper,multiple,multi credit,5,4,5,3,3,5
4.5,tenured,not minority,male,english,64,62.5,15,24,upper,multiple,multi credit,5,4,5,3,3,5
4.3,tenured,not minority,male,english,64,53.84615,21,39,upper,multiple,multi credit,5,4,5,3,3,5
4.8,tenure track,not minority,female,english,34,76.92308,20,26,upper,multiple,multi credit,8,9,8,6,8,8
4.1,tenure track,not minority,female,english,34,82.5,33,40,upper,multiple,multi credit,8,9,8,6,8,8
4.4,tenured,not minority,male,english,58,52.83019,84,159,upper,single,multi credit,4,4,5,2,4,4
4.3,tenured,not minority,male,english,58,47.01987,71,151,upper,single,multi credit,4,4,5,2,4,4
3.6,tenured,not minority,male,english,58,76.59574,36,47,lower,single,multi credit,4,4,5,2,4,4
4.5,tenured,not minority,male,english,58,59.83607,73,122,upper,single,multi credit,4,4,5,2,4,4
4.3,tenured,not minority,male,english,58,68.88889,31,45,lower,single,multi credit,4,4,5,2,4,4
4.4,tenured,minority,male,non-english,52,81.25,13,16,upper,single,multi credit,4,5,7,5,4,4
4.7,tenured,minority,male,non-english,52,100,23,23,upper,single,multi credit,4,5,7,5,4,4
4.8,tenured,minority,male,non-english,52,75,12,16,upper,single,multi credit,4,5,7,5,4,4
3.5,tenured,minority,male,non-english,52,83.33334,15,18,upper,single,multi credit,4,5,7,5,4,4
3.8,tenured,minority,male,non-english,52,68.75,11,16,upper,single,multi credit,4,5,7,5,4,4
3.6,tenured,minority,male,non-english,52,80,12,15,upper,single,multi credit,4,5,7,5,4,4
4.2,tenured,minority,male,non-english,52,64.28571,18,28,upper,multiple,multi credit,4,5,7,5,4,4
3.6,tenured,not minority,male,english,73,70.58823,12,17,upper,single,multi credit,1,3,6,2,1,5
4.4,tenured,not minority,male,english,73,76.92308,10,13,upper,single,multi credit,1,3,6,2,1,5
3.7,tenured,not minority,male,english,73,76.19048,16,21,upper,multiple,multi credit,1,3,6,2,1,5
4.3,tenured,not minority,male,english,73,76.47059,13,17,upper,single,multi credit,1,3,6,2,1,5
4.6,tenured,not minority,male,english,70,35.07463,47,134,upper,single,multi credit,5,3,2,3,3,2
4.6,tenured,not minority,male,english,70,10.41667,5,48,upper,single,multi credit,5,3,2,3,3,2
4.1,tenured,not minority,male,english,70,53.125,34,64,upper,single,multi credit,5,3,2,3,3,2
3.6,tenured,not minority,male,english,70,34.78261,24,69,upper,single,multi credit,5,3,2,3,3,2
2.3,tenure track,not minority,female,english,41,83.33334,10,12,upper,single,multi credit,3,6,7,4,4,7
4.3,teaching,not minority,male,english,63,65.11628,28,43,upper,single,multi credit,5,4,6,4,2,5
4.4,teaching,not minority,male,english,63,78.57143,11,14,upper,multiple,multi credit,5,4,6,4,2,5
3.6,teaching,not minority,male,english,63,66.66666,10,15,upper,single,multi credit,5,4,6,4,2,5
4.4,teaching,not minority,male,english,63,77.77778,14,18,upper,multiple,multi credit,5,4,6,4,2,5
3.9,teaching,not minority,male,english,63,75,12,16,upper,multiple,multi credit,5,4,6,4,2,5
3.8,teaching,not minority,male,english,63,80,8,10,upper,multiple,multi credit,5,4,6,4,2,5
3.4,teaching,not minority,male,english,63,48.93617,23,47,upper,multiple,multi credit,5,4,6,4,2,5
4.9,tenured,not minority,male,english,47,66.66666,10,15,upper,multiple,multi credit,1,4,3,2,3,3
4.1,tenured,not minority,male,english,47,71.42857,10,14,upper,multiple,multi credit,1,4,3,2,3,3
3.2,tenured,not minority,male,english,47,83.33334,10,12,upper,single,multi credit,1,4,3,2,3,3
4.2,tenured,not minority,male,english,39,34.95935,86,246,lower,multiple,multi credit,5,6,6,6,5,5
3.9,tenured,not minority,male,english,39,48.73418,154,316,lower,multiple,multi credit,5,6,6,6,5,5
4.9,tenured,not minority,male,english,39,80,12,15,upper,multiple,multi credit,5,6,6,6,5,5
4.7,tenured,not minority,male,english,39,93.33334,14,15,upper,multiple,multi credit,5,6,6,6,5,5
4.4,tenured,not minority,male,english,39,93.10345,27,29,upper,single,multi credit,5,6,6,6,5,5
4.2,tenure track,minority,female,english,47,100,21,21,lower,single,multi credit,2,6,6,3,5,4
4,tenure track,minority,female,english,47,100,8,8,upper,multiple,multi credit,2,6,6,3,5,4
4.4,tenure track,minority,female,english,47,100,16,16,lower,single,one credit,2,6,6,3,5,4
3.9,tenure track,minority,female,english,47,92.30769,24,26,lower,single,multi credit,2,6,6,3,5,4
4.4,tenure track,minority,female,english,47,70,7,10,upper,multiple,multi credit,2,6,6,3,5,4
3,tenure track,minority,female,english,47,96.15385,25,26,lower,single,multi credit,2,6,6,3,5,4
3.5,tenure track,minority,female,english,47,92.30769,24,26,lower,single,multi credit,2,6,6,3,5,4
2.8,tenure track,minority,female,english,47,92.30769,24,26,lower,single,multi credit,2,6,6,3,5,4
4.6,tenure track,minority,female,english,47,95.2381,20,21,lower,single,one credit,2,6,6,3,5,4
4.3,tenure track,minority,female,english,47,100,12,12,lower,single,multi credit,2,6,6,3,5,4
3.4,tenure track,minority,female,english,47,92.59259,25,27,lower,single,multi credit,2,6,6,3,5,4
3,tenure track,minority,female,english,47,96.2963,26,27,lower,single,multi credit,2,6,6,3,5,4
4.2,tenure track,minority,female,english,47,96,24,25,lower,single,multi credit,2,6,6,3,5,4
4.3,tenured,not minority,male,english,54,100,15,15,upper,single,multi credit,1,2,4,1,2,4
4.1,tenured,not minority,male,english,54,66.66666,10,15,upper,single,multi credit,1,2,4,1,2,4
4.6,tenured,not minority,male,english,54,94.11765,16,17,upper,single,multi credit,1,2,4,1,2,4
3.9,tenured,minority,female,english,44,54.54546,30,55,upper,multiple,multi credit,6,8,8,5,7,5
3.5,tenured,minority,female,english,44,72.91666,35,48,upper,single,multi credit,6,8,8,5,7,5
4,tenured,minority,female,english,44,100,21,21,upper,multiple,multi credit,6,8,8,5,7,5
4,tenured,minority,female,english,44,89.74359,35,39,upper,multiple,multi credit,6,8,8,5,7,5
3.9,tenured,minority,male,english,47,74.07407,20,27,upper,single,multi credit,2,2,2,2,2,4
3.3,tenured,minority,male,english,47,64.28571,9,14,upper,single,multi credit,2,2,2,2,2,4
4,tenured,minority,male,english,47,80.76923,21,26,upper,single,multi credit,2,2,2,2,2,4
3.8,tenured,minority,male,english,47,81.25,13,16,upper,multiple,multi credit,2,2,2,2,2,4
4.2,tenured,minority,male,english,47,81.25,13,16,upper,multiple,multi credit,2,2,2,2,2,4
4,tenured,minority,male,english,47,92.30769,12,13,upper,multiple,multi credit,2,2,2,2,2,4
3.8,tenured,minority,male,english,47,100,14,14,upper,single,multi credit,2,2,2,2,2,4
3.3,tenured,minority,male,english,47,88.23529,15,17,upper,multiple,multi credit,2,2,2,2,2,4
4.1,tenured,not minority,male,english,62,92.30769,12,13,upper,multiple,multi credit,3,2,5,3,2,3
4.7,tenured,not minority,male,english,62,86.66666,13,15,upper,single,multi credit,3,2,5,3,2,3
4.4,tenured,not minority,male,english,62,70,7,10,upper,multiple,multi credit,3,2,5,3,2,3
4.8,tenured,not minority,male,english,60,73.52941,25,34,upper,multiple,multi credit,4,4,6,2,2,4
4.8,tenured,not minority,male,english,60,75,12,16,upper,single,multi credit,4,4,6,2,2,4
4.6,tenured,not minority,male,english,60,78.57143,11,14,upper,single,multi credit,4,4,6,2,2,4
4.6,tenured,not minority,male,english,60,66.66666,8,12,upper,single,multi credit,4,4,6,2,2,4
4.8,tenured,not minority,male,english,60,61.53846,24,39,upper,single,multi credit,4,4,6,2,2,4
4.4,tenured,not minority,male,english,60,42.85714,15,35,upper,single,multi credit,4,4,6,2,2,4
4.7,tenured,not minority,male,english,60,68.88889,31,45,upper,multiple,multi credit,4,4,6,2,2,4
4.7,tenured,not minority,male,english,60,80,36,45,lower,multiple,multi credit,4,4,6,2,2,4
3.3,tenure track,not minority,male,english,37,88.23529,15,17,upper,single,multi credit,4,8,7,5,5,8
4.4,tenure track,not minority,male,english,42,92.85714,13,14,upper,multiple,multi credit,3,5,3,3,6,4
4.3,tenure track,not minority,male,english,42,100,14,14,upper,multiple,multi credit,3,5,3,3,6,4
4.9,tenure track,not minority,male,english,42,92.85714,13,14,upper,multiple,multi credit,3,5,3,3,6,4
4.4,tenure track,not minority,male,english,42,100,12,12,upper,multiple,multi credit,3,5,3,3,6,4
4.7,tenure track,not minority,male,english,42,86.66666,13,15,upper,multiple,multi credit,3,5,3,3,6,4
4.3,tenured,not minority,male,english,35,82.35294,42,51,upper,single,multi credit,4,7,2,6,4,6
4.8,tenured,not minority,male,english,35,91.30434,21,23,lower,multiple,multi credit,4,7,2,6,4,6
4.5,tenured,not minority,male,english,35,85.96491,49,57,upper,single,multi credit,4,7,2,6,4,6
4.7,tenured,not minority,male,english,35,88,44,50,lower,multiple,multi credit,4,7,2,6,4,6
3.3,teaching,not minority,female,english,39,91.66666,22,24,lower,single,multi credit,8,8,8,7,9,9
4.7,teaching,not minority,female,english,39,78.26087,18,23,upper,multiple,multi credit,8,8,8,7,9,9
4.6,teaching,not minority,female,english,39,86.95652,20,23,upper,multiple,multi credit,8,8,8,7,9,9
3.6,teaching,not minority,female,english,39,96.42857,27,28,lower,single,multi credit,8,8,8,7,9,9
4,tenured,not minority,male,english,49,62.22222,28,45,upper,single,multi credit,6,6,7,6,9,5
4.1,tenured,not minority,male,english,49,64.28571,27,42,upper,single,multi credit,6,6,7,6,9,5
4,tenured,not minority,male,english,49,85.96491,49,57,upper,single,multi credit,6,6,7,6,9,5
4.5,tenured,not minority,male,english,61,81.48148,22,27,lower,single,multi credit,5,5,4,4,5,6
4.6,tenured,not minority,male,english,61,81.57895,31,38,upper,multiple,multi credit,5,5,4,4,5,6
4.8,tenured,not minority,male,english,61,86.36364,19,22,lower,single,multi credit,5,5,4,4,5,6
4.6,tenured,not minority,male,english,61,62.7907,27,43,upper,multiple,multi credit,5,5,4,4,5,6
4.9,tenure track,not minority,male,english,33,96.77419,30,31,upper,single,multi credit,7,8,7,6,7,7
3.1,tenure track,not minority,male,english,33,92.30769,12,13,upper,single,multi credit,7,8,7,6,7,7
3.7,tenure track,not minority,male,english,33,86.66666,13,15,upper,single,multi credit,7,8,7,6,7,7
3.7,tenured,not minority,female,english,58,76.47059,26,34,upper,single,multi credit,3,6,7,2,4,6
3.9,tenured,not minority,female,english,56,63.15789,12,19,upper,single,multi credit,2,4,4,4,3,6
3.9,tenured,not minority,female,english,56,80,16,20,upper,single,multi credit,2,4,4,4,3,6
3.2,tenured,not minority,female,english,56,73.91304,17,23,upper,single,multi credit,2,4,4,4,3,6
4.4,teaching,not minority,female,english,50,81.48148,22,27,lower,single,multi credit,2,3,5,2,3,4
4.2,teaching,not minority,female,english,50,75,24,32,lower,single,one credit,2,3,5,2,3,4
4.7,teaching,not minority,female,english,50,66.66666,14,21,lower,single,one credit,2,3,5,2,3,4
3.9,teaching,not minority,female,english,50,95.83334,23,24,upper,multiple,multi credit,2,3,5,2,3,4
3.6,teaching,not minority,female,english,50,90.47619,19,21,upper,multiple,multi credit,2,3,5,2,3,4
3.4,teaching,not minority,female,english,50,64.28571,18,28,upper,multiple,multi credit,2,3,5,2,3,4
4.4,teaching,not minority,female,english,50,79.31035,23,29,upper,multiple,multi credit,2,3,5,2,3,4
4.4,tenured,not minority,male,english,52,85.07462,57,67,upper,multiple,multi credit,4,3,5,2,2,3
4.1,tenured,not minority,male,english,52,91.01124,81,89,upper,multiple,multi credit,4,3,5,2,2,3
3.6,tenured,not minority,male,english,52,90.2439,74,82,upper,multiple,multi credit,4,3,5,2,2,3
3.5,tenured,not minority,male,english,52,83.60656,102,122,upper,multiple,multi credit,4,3,5,2,2,3
4.1,tenured,not minority,male,english,52,71.75572,94,131,upper,multiple,multi credit,4,3,5,2,2,3
3.8,tenured,not minority,male,english,52,78.07018,89,114,upper,multiple,multi credit,4,3,5,2,2,3
4,tenured,not minority,male,english,52,89.26174,133,149,upper,multiple,multi credit,4,3,5,2,2,3
4.8,tenured,not minority,male,english,52,95.65218,22,23,upper,single,multi credit,4,3,5,2,2,3
4.2,tenured,not minority,male,english,52,79.59184,78,98,upper,multiple,multi credit,4,3,5,2,2,3
4.6,tenured,not minority,male,english,52,81.48148,22,27,upper,single,multi credit,4,3,5,2,2,3
4.3,tenured,not minority,male,english,52,90,27,30,upper,single,multi credit,4,3,5,2,2,3
4.8,tenured,not minority,male,english,52,90,27,30,upper,single,multi credit,4,3,5,2,2,3
3.8,tenured,not minority,male,english,52,86.95652,60,69,upper,multiple,multi credit,4,3,5,2,2,3
4.5,tenure track,not minority,female,english,33,66.66666,10,15,upper,multiple,multi credit,3,7,9,4,5,7
4.9,tenure track,not minority,female,english,33,100,10,10,upper,multiple,multi credit,3,7,9,4,5,7
4.9,tenure track,not minority,female,english,33,90.90909,10,11,upper,multiple,multi credit,3,7,9,4,5,7
4.8,tenure track,not minority,female,english,33,71.42857,10,14,upper,multiple,multi credit,3,7,9,4,5,7
4.7,tenure track,not minority,female,english,33,63.63636,7,11,upper,multiple,multi credit,3,7,9,4,5,7
4.6,tenure track,not minority,female,english,33,100,14,14,upper,multiple,multi credit,3,7,9,4,5,7
4.3,tenured,not minority,male,english,57,89.61039,69,77,upper,multiple,multi credit,5,6,6,5,7,5
4.4,tenured,not minority,male,english,57,87.80488,36,41,upper,single,multi credit,5,6,6,5,7,5
4.5,tenured,not minority,male,english,57,81.81818,72,88,upper,multiple,multi credit,5,6,6,5,7,5
4.2,tenured,not minority,male,english,57,80.76923,63,78,upper,multiple,multi credit,5,6,6,5,7,5
4.8,tenured,not minority,female,english,38,70.76923,46,65,upper,single,multi credit,6,8,9,4,5,7
4.6,tenured,not minority,female,english,38,69.42675,109,157,lower,multiple,multi credit,6,8,9,4,5,7
4.9,tenured,not minority,female,english,38,79.41177,54,68,upper,single,multi credit,6,8,9,4,5,7
4.8,tenured,not minority,female,english,38,76.1194,51,67,upper,single,multi credit,6,8,9,4,5,7
4.8,tenured,not minority,female,english,38,76.25,61,80,upper,single,multi credit,6,8,9,4,5,7
