name,country_parent,total,dems,repubs,year
Burns International Services (Securitas AB),Sweden/Securitas AB,$500,$0,$500,2000
Burson-Marsteller (WPP Group),UK/WPP Group,"$83,500","$46,500","$37,000",2000
Business Men's Assurance Co,Italy/Assicurazioni Generali,"$4,000","$2,000","$2,000",2000
Cable & Wireless USA,UK/Cable & Wireless PLC,"$67,000","$27,000","$40,000",2000
Case New Holland,Italy/Fiat SPA,"$59,000","$8,500","$50,500",2000
Celanese Americas Corp,Germany/Celanese AG,"$43,850","$16,500","$26,850",2000
Central Soya Co,Italy/Montedison,"$10,500","$1,000","$9,500",2000
CGU Corp,UK/CGU PLC,$500,$500,$0,2000
Ciba Specialty Chemicals,Switzerland/Ciba Specialty Chemicals Holding,"$19,500","$4,000","$15,500",2000
CIBC Oppenheimer,Canada/Canadian Imperial Bank of Commerce,$0,$0,$0,2000
Coral Energy (Royal Dutch/Shell Group of Companies),Netherlands/Royal Dutch Shell,"$27,500","$3,500","$23,500",2000
Credit Suisse First Boston (Credit Suisse Group),Switzerland/Credit Suisse Group,"$18,500",$500,"$18,000",2000
Credit Suisse First Boston (Credit Suisse Group),Switzerland/Credit Suisse Group,"$225,857","$99,857","$126,000",2000
CSR America,Australia/CSR Ltd,"$102,750","$9,000","$93,750",2000
DaimlerChrysler (DaimlerChrysler),Germany/DaimlerChrysler AG,"$450,100","$166,650","$283,450",2000
Deutsche Bank North America,Germany/Deutsche Bank AG,"$144,000","$67,000","$77,000",2000
Equitable Life Assurance Society (AXA),France/AXA,"$133,000","$62,000","$71,000",2000
Equitable of Iowa Companies (ING Group),Netherlands/ING Group,"$8,200","$3,700","$4,500",2000
Essroc Corp,Italy/Italcementi Group,"$2,500",$0,"$2,500",2000
Experian (GUS plc),UK/GUS plc,"$5,250",$750,"$4,500",2000
Farmers Group (Zurich Financial Services),Switzerland/Zurich Financial Services,"$52,594","$4,000","$48,594",2000
Fireman's Fund Insurance (Allianz),Germany/Allianz AG Holding,"$63,900","$17,050","$46,850",2000
Food Lion,Belgium/Delhaize Group,"$25,000","$13,750","$11,250",2000
Fortis Inc,Belgium/Fortis AG,"$8,500","$2,500","$6,000",2000
GEC-Marconi Hazeltine (BAE Systems),UK/BAE Systems,$0,$0,$0,2000
Genentech Inc (Roche Holdings),Switzerland/Roche Group,"$123,250","$62,750","$60,500",2000
Gilman Paper,Mexico/Grupo Industrial Durango,"$12,412",$0,"$12,412",2000
GKN Corp,UK/GKN PLC,"$4,775",$0,"$4,775",2000
GlaxoSmithKline (GlaxoSmithKline),UK/GlaxoSmithKline,"$604,759","$109,998","$494,761",2000
GlaxoSmithKline (GlaxoSmithKline),UK/GlaxoSmithKline,"$135,500","$35,750","$99,750",2000
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$12,065","$7,315","$4,750",2000
Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,"$46,000","$5,000","$41,000",2000
Greyhound Lines,Canada/Laidlaw,"$36,500","$20,000","$16,500",2000
Guinness/UDV North America (Diageo PLC),UK/Diageo PLC,"$97,500","$48,500","$49,000",2000
Heublein Distributors,UK/Diageo PLC,"$1,500",$500,"$1,000",2000
Hill & Knowlton (WPP Group),UK/WPP Group,"$42,500","$21,000","$21,500",2000
Hoffmann-La Roche (Roche Holdings),Switzerland/Roche Holdings,"$143,249","$48,000","$95,249",2000
Holnam Inc,Switzerland/Holderbank Financiere Glaris,"$52,250","$12,000","$40,250",2000
HSBC USA,UK/HSBC Holdings,"$7,160","$3,500","$3,660",2000
ING US (ING Group),Netherlands/ING Group,"$86,500","$25,000","$61,500",2000
Instinet Corp,UK/Reuters Group,"$47,800","$17,250","$30,550",2000
JA Jones Construction (Philipp Holzmann AG),Germany/Philipp Holzmann AG,"$1,250","$1,000",$250,2000
Jackson National Life Insurance,UK/Prudential PLC,"$77,100","$19,500","$57,600",2000
Joseph E Seagram & Sons (Vivendi Universal),France/Vivendi Universal,"$117,822","$50,000","$67,822",2000
Kennecott Energy,UK/Rio Tinto PLC,"$71,045","$12,000","$59,045",2000
LaFarge Corp,France/Lafarge SA,"$21,550","$10,100","$11,450",2000
LaSalle National Corp (ABN AMRO),Netherlands/ABN Amro Holding,"$23,075","$12,375","$10,700",2000
Learjet Inc (Bombardier Inc),Canada/Bombardier Inc,"$13,500","$2,000","$11,500",2000
Lehigh Portland Cement,Germany/HeidelbergCement AG,"$11,500","$3,000","$8,500",2000
Lone Star Industries,Germany/Dyckerfhoff,"$7,000","$1,000","$6,000",2000
Loral Space & Communications,UK/Loral Space & Communications,"$107,000","$86,000","$21,000",2000
Louisville Gas & Electric,UK/PowerGen,"$5,000",$0,"$5,000",2000
Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$37,000","$7,500","$29,500",2000
Mallinckrodt Pharmaceuticals (Tyco International),Ireland/Tyco International,"$149,400","$55,500","$93,900",2000
Massachusetts Financial Services,Canada/Sun Life Financial Services,"$21,000","$11,500","$9,500",2000
Master Builders Inc,Germany/E.ON AG,"$2,000",$0,"$2,000",2000
Michigan National Bank,Australia/National Australia Bank,"$16,500","$1,000","$15,500",2000
National Grid USA (National Grid plc),UK/National Grid plc,"$52,000","$33,000","$19,000",2000
National Steel Corp,Japan/NKK Corp,$0,$0,$0,2000
NCS Pearson (Pearson PLC),UK/Pearson PLC,$600,$300,$300,2000
Nestle USA (Nestle SA),Switzerland/Nestle,"$52,000","$13,000","$37,500",2000
News America Publishing,Australia/News Corp,"$82,500","$31,000","$51,500",2000
Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$157,969","$33,733","$124,236",2000
Oldcastle Materials,Ireland/CRH PLC,"$81,841","$28,000","$53,841",2000
ONDEO Nalco (SUEZ SA),France/Suez Lyonnaise des Eaux,"$35,750","$4,750","$31,000",2000
Oppenheimer Capital (Allianz),Germany/Allianz AG Holding,$0,$0,$0,2000
Organon Inc,Netherlands/Akzo Nobel,"$2,250",$250,"$2,000",2000
PacifiCorp,UK/Scottish Power,"$11,500","$4,250","$7,250",2000
PaineWebber,Switzerland/UBS AG,"$85,950","$29,950","$56,000",2000
Peter Pan Seafoods,Japan/Nichiro Corp,"$1,700",$0,"$1,700",2000
Philips Electronics North America,Netherlands/Philips Electronics,"$55,700","$6,500","$49,200",2000
Pilkington North America,UK/Pilkington Group,"$13,500","$1,000","$12,500",2000
Pillsbury Co (Diageo PLC),UK/Diageo PLC,"$33,000","$8,500","$24,500",2000
Pinkerton Tobacco,Sweden/Swedish Match AB,"$49,750","$8,000","$40,750",2000
Reed Elsevier Inc,UK/Reed Elsevier Group,"$10,250","$4,250","$6,000",2000
Reliastar Financial (ING Group),Netherlands/ING Group,"$54,096","$21,715","$32,381",2000
Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce International,"$54,629","$15,218","$39,411",2000
Roquette America,France/Roquette Freres,"$3,750","$3,000",$750,2000
Sagem Morpho Inc,France/Sagem SA,"$2,000","$2,000",$0,2000
Sea-Land Service (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$74,100","$24,500","$49,350",2000
Security Life of Denver (ING Group),Netherlands/ING Group,"$13,600","$4,100","$9,500",2000
Serono Inc,Switzerland/Serono SA,"$7,000","$5,000","$2,000",2000
Shaklee Corp (Yamanouchi Consumer),Japan/Yamanouchi Pharmaceutical,$0,$0,$0,2000
Shell Oil (Royal Dutch/Shell Group of Companies),Netherlands/Royal Dutch/Shell Group of Companies,"$118,600","$29,500","$89,100",2000
Siemens Corp (Siemens AG),Germany/Siemans AG,"$10,000","$4,000","$6,000",2000
Siemens ElectroCom (Siemens AG),Germany/Siemens AG,"$4,500","$1,000","$3,500",2000
Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$78,750","$50,000","$28,750",2000
Standard Federal Bank (ABN AMRO),Netherlands/ABN Amro Holding,"$2,750",$0,"$2,750",2000
Syngenta Corp,Switzerland/Syngenta AG,$0,$0,$0,2000
Syntex (USA) Inc (Roche Holdings),Switzerland/Roche Holdings,"$8,750","$6,250","$2,500",2000
Tate & Lyle North American Sugars (Tate & Lyle),UK/Tate & Lyle,"$2,100","$2,100",$0,2000
Timex Corp,Netherlands/Timex Group,$0,$0,$0,2000
Tractebel,Belgium/Tractabel,"$2,000",$0,"$2,000",2000
TransAmerica (Aegon NV),Netherlands/Aegon NV,"$31,000","$8,000","$23,000",2000
UnionBanCal Corp,Japan/Mitsubishi UFJ Financial Group,"$9,750","$7,750","$2,000",2000
United Water Resources (SUEZ SA),France/SUEZ SA,"$9,035","$7,450","$1,585",2000
Universal Studios (Vivendi Universal),France/Vivendi Universal,"$148,750","$65,500","$83,250",2000
US Surgical Corp (Tyco International),Ireland/Tyco International,"$7,100",$0,"$7,100",2000
USFilter Corp (Vivendi Universal),France/Vivendi Universal,"$17,250","$15,000","$2,250",2000
Vodafone Group,UK/Vodafone Group,"$49,850","$14,600","$35,250",2000
Westfield Corp,Australia/Westfield Group of Australia,"$29,850","$19,350","$10,500",2000
Westinghouse Electric (BNFL PLC),UK/BNFL PLC,"$27,000","$8,000","$19,000",2000
Westinghouse Electric (BNFL PLC),UK/British Nuclear Fuels PLC,$250,$250,$0,2000
Wexler Group (WPP Group),UK/WPP Group,"$121,093","$53,000","$68,093",2000
Zenith Electronics,South Korea/LG Electronics,$0,$0,$0,2000
Zurich Insurance (Zurich Financial Services),Switzerland/Zurich Financial Services,"$80,787","$25,250","$55,537",2000
7-Eleven,Japan/Ito-Yokado,"$7,070","$2,528","$4,542",2002
ABB Group,Switzerland/Asea Brown Boveri,"$34,500","$18,750","$15,750",2002
Accenture,UK/Accenture plc,"$220,947","$94,242","$126,705",2002
ACE INA,UK/ACE Group,"$77,250","$31,500","$45,750",2002
Acuson Corp (Siemens AG),Germany/Siemens AG,$0,$0,$0,2002
AE Staley Manufacturing (Tate & Lyle),UK/Tate & Lyle,"$28,500","$12,500","$16,000",2002
AEGON USA (AEGON NV),Netherlands/Aegon NV,"$164,500","$73,500","$91,000",2002
AIM Management Group,UK/AMVESCAP,"$24,500","$8,500","$16,000",2002
Air Liquide America,France/L'Air Liquide SA,"$2,650","$2,000",$650,2002
Alcatel USA,France/Alcatel,"$13,750","$4,500","$9,250",2002
Alcon Laboratories (Nestle SA),Switzerland/Nestle,"$2,000","$1,000","$1,000",2002
Allfirst Financial,Ireland/Allied Irish Banks,"$6,320","$3,820","$2,500",2002
Allianz of America (Allianz),Germany/Allianz AG Holding,"$60,750","$19,100","$41,650",2002
Allied Domecq Spirits & Wine,UK/Allied Domecq,"$32,250","$6,000","$26,250",2002
American Water Works Co (RWE AG),Germany/RWE AG,"$32,900","$12,850","$20,050",2002
AMP Inc (Tyco International),Ireland/Tyco International,$0,$0,$0,2002
Anglogold Ltd,UK/Anglo American PLC,"$11,850","$3,000","$8,850",2002
APL Ltd,Singapore/Neptune Orient Lines Ltd,"$15,360","$5,250","$10,110",2002
Aqua-Chem Inc,France/Lyonnaise des Eaux-Dumez Group,$0,$0,$0,2002
ASARCO LLC,Mexico/Nueva Grupo Mexico,"$2,000",$0,"$2,000",2002
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca,"$125,800","$38,050","$87,750",2002
ATOFINA Chemicals (TotalFinaElf),France/TOTAL FINA ELF,"$26,600","$7,100","$19,500",2002
ATOFINA Petrochemicals (TotalFinaElf),France/TotalFinaElf,"$2,500","$1,000","$1,500",2002
"Austin, Nichols & Co",France/Pernod Ricard SA,$0,$0,$0,2002
Aventis Pasteur USA (Aventis),France/Aventis,"$137,040","$75,790","$61,250",2002
Aventis Pharmaceuticals (Aventis),France/Aventis,"$116,000","$24,500","$91,500",2002
Aventis Pharmaceuticals Products (Aventis),France/Aventis,"$15,267",$0,"$15,267",2002
Babcock & Wilcox (McDermott International),Panama/McDermott International,"$30,500","$10,000","$20,500",2002
Bacardi USA,UK/Bacardi Ltd,$0,$0,$0,2002
BAE Systems North America (BAE Systems),UK/BAE Systems,"$390,276","$149,028","$241,248",2002
Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$75,000","$33,500","$41,500",2002
BASF Corp,Germany/BASF Group,"$204,500","$41,500","$163,000",2002
Bayer Corp (Bayer AG),Germany/Bayer AG,"$260,500","$73,000","$187,500",2002
Bayer CropScience (Bayer AG),Germany/Bayer AG,"$36,000","$15,500","$20,500",2002
Bear Creek Corp (Yamanouchi Consumer),Japan/Yamanouchi Consumer,"$10,150","$5,050","$5,100",2002
BHP Holdings,Australia/BHP Billiton,"$1,023",$400,$623,2002
Bird-Johnson Co (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$3,000",$500,"$2,500",2002
Blue Circle America,UK/Blue Circle Industries,"$8,500","$1,000","$7,500",2002
BOC Group,UK/BOC Group,$0,$0,$0,2002
Bombardier Transportation USA,Canada/Bombardier Inc,"$24,000","$10,500","$13,500",2002
BP North America,UK/BP PLC,"$175,000","$65,750","$109,250",2002
Bridgestone Americas,Japan/Bridgestone Corp,"$60,200","$24,200","$36,000",2002
Brown & Williamson Tobacco,UK/British American Tobacco,"$242,324","$44,000","$198,324",2002
Budd Co,Germany/ThyssenKrupp AG,"$1,000","$1,000",$0,2002
Burns International Services (Securitas AB),Sweden/Securitas AB,$0,$0,$0,2002
Burson-Marsteller (WPP Group),UK/WPP Group,"$91,540","$38,040","$52,500",2002
Business Men's Assurance Co,Italy/Assicurazioni Generali,"$2,500","$1,500","$1,000",2002
BWX Technologies (McDermott International),Panama/McDermott International,"$38,650","$10,050","$28,600",2002
Cable & Wireless USA,UK/Cable & Wireless PLC,"$52,100","$24,000","$28,100",2002
Case New Holland,Italy/Fiat SPA,"$46,500","$4,500","$42,000",2002
Celanese Americas Corp,Germany/Celanese AG,"$74,500","$22,500","$52,000",2002
Central Soya Co,France/Cereol,"$11,300","$2,000","$9,300",2002
CGU Corp,UK/CGNU PLC,$0,$0,$0,2002
Ciba Specialty Chemicals,Switzerland/Ciba Specialty Chemicals Holding,"$29,500","$7,500","$22,000",2002
CIBC Oppenheimer,Canada/Canadian Imperial Bank of Commerce,$0,$0,$0,2002
Cooper Industries,Ireland/Cooper Industries Ltd,"$187,500",$0,"$187,500",2002
Coral Energy (Royal Dutch/Shell Group of Companies),Netherlands/Royal Dutch Shell,$0,$0,$0,2002
Credit Suisse First Boston (Credit Suisse Group),Switzerland/Credit Suisse Group,"$298,312","$135,812","$162,500",2002
Credit Suisse First Boston (Credit Suisse Group),Switzerland/Credit Suisse Group,$0,$0,$0,2002
DaimlerChrysler (DaimlerChrysler),Germany/DaimlerChrysler AG,"$483,090","$196,590","$286,500",2002
Diageo North America (Diageo PLC),UK/Diageo PLC,"$61,000","$24,000","$37,000",2002
E ON US,Germany/Eon AG,"$4,850",$500,"$4,350",2002
Equitable Life Assurance Society (AXA),France/AXA,"$104,500","$39,500","$65,000",2002
Essroc Corp,Italy/Italcementi Group,"$2,600","$1,500","$1,100",2002
Experian (GUS plc),UK/GUS plc,"$1,000",$0,"$1,000",2002
Experian (GUS Plc),UK/GUS plc,$0,$0,$0,2002
Farmers Group (Zurich Financial Services),Switzerland/Zurich Financial Services,"$36,650","$7,300","$29,350",2002
First Hawaiian Bank (BNP Paribas),France/BNP Paribas,"$5,200","$5,200",$0,2002
Food Lion,Belgium/Delhaize Group,"$37,750","$10,000","$27,750",2002
Fortis Inc,Belgium/Fortis AG,"$79,000","$21,000","$58,000",2002
Foster Wheeler,Switzerland/Foster Wheeler PLC,"$8,800","$1,000","$7,800",2002
Gambro Healthcare,Sweden/Gambro AB,"$4,000",$0,"$4,000",2002
Genentech Inc (Roche Holdings),Switzerland/Roche Group,"$128,250","$71,500","$56,750",2002
GKN Corp,UK/GKN PLC,$630,$0,$630,2002
GlaxoSmithKline (GlaxoSmithKline),UK/GlaxoSmithKline,"$769,042","$193,923","$575,119",2002
GlaxoSmithKline (GlaxoSmithKline),UK/GlaxoSmithKline,"-$4,000",-$500,"-$3,500",2002
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$21,825","$12,675","$9,150",2002
Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,"$35,550","$4,050","$31,500",2002
Greyhound Lines,Canada/Laidlaw,"$39,500","$24,500","$15,000",2002
Heineken USA (Heineken NV),Netherlands/Heineken NV,"$12,000","$8,000","$4,000",2002
Hill & Knowlton (WPP Group),UK/WPP Group,"$30,000","$17,500","$12,500",2002
Hoffmann-La Roche (Roche Holdings),Switzerland/Roche Holdings,"$101,800","$60,300","$41,500",2002
Holcim US,Switzerland/Holcim Ltd,"$71,838","$24,213","$47,625",2002
HSBC USA,UK/HSBC Holdings,"$5,330","$3,000","$2,330",2002
ING US (ING Group),Netherlands/ING Group,"$149,395","$52,000","$97,395",2002
Instinet Corp,UK/Reuters Group,"$67,500","$23,500","$44,000",2002
JA Jones Construction (Philipp Holzmann AG),Germany/Philipp Holzmann AG,"$2,900","$1,400","$1,500",2002
Jackson National Life Insurance,UK/Prudential PLC,"$71,821","$21,000","$50,821",2002
Joseph E Seagram & Sons (Diageo PLC),UK/Diageo PLC,"$26,300","$10,300","$16,000",2002
Kennecott Energy,UK/Rio Tinto PLC,"$85,246","$21,000","$64,246",2002
LaFarge North America,France/Lafarge SA,"$42,500","$15,000","$27,500",2002
LaSalle Bank (ABN AMRO),Netherlands/ABN Amro Holding,"$32,250","$18,000","$14,250",2002
Learjet Inc (Bombardier Inc),Canada/Bombardier Inc,"$1,000",$500,$500,2002
Lehigh Cement,Germany/HeidelbergCement AG,"$16,250","$3,500","$12,750",2002
Lone Star Industries,Germany/Dyckerfhoff,"$10,500","$4,000","$6,500",2002
Loral Space & Communications,UK/Loral Space & Communications,"$96,600","$74,600","$22,000",2002
Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$53,500","$16,500","$37,000",2002
Mallinckrodt Pharmaceuticals (Tyco International),Ireland/Tyco International,"$24,000","$9,000","$15,000",2002
Massachusetts Financial Services,Canada/Sun Life Financial Services,"$1,000","$1,000",$0,2002
Master Builders Inc,Germany/E.ON AG,$0,$0,$0,2002
McDermott International (McDermott International),Panama/McDermott International,"$20,500","$4,500","$16,000",2002
Michigan National Bank,Australia/National Australia Bank,$500,$0,$500,2002
Miller Brewing (SABMiller),UK/SABMiller PLC,"$4,000","$4,000",$0,2002
National Grid USA (National Grid plc),UK/National Grid plc,"$61,450","$33,500","$27,950",2002
National Steel Corp,Japan/NKK Corp,$0,$0,$0,2002
Nestle Purina PetCare (Nestle SA),Switzerland/Nestle SA,"$26,500","$5,500","$21,000",2002
Nestle USA (Nestle SA),Switzerland/Nestle,"$49,250","$15,000","$34,250",2002
Nestle Waters North America (Nestle SA),Switzerland/Nestle,"$7,900","$3,000","$4,900",2002
News America Publishing (News Corporation),Australia/News Corp,"$87,710","$48,000","$39,710",2002
Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$175,555","$43,250","$132,305",2002
Oldcastle Materials,Ireland/CRH PLC,"$109,600","$57,300","$52,300",2002
ONDEO Nalco (SUEZ SA),France/Suez Lyonnaise des Eaux,"$13,100","$3,000","$10,100",2002
Oppenheimer Capital (Allianz),Germany/Allianz AG Holding,$0,$0,$0,2002
Organon Inc,Netherlands/Akzo Nobel,$0,$0,$0,2002
PacifiCorp,UK/Scottish Power,"$10,000","$2,500","$7,500",2002
Pennsylvania-American Water Co (RWE AG),Germany/RWE AG,$0,$0,$0,2002
Peter Pan Seafoods,Japan/Nichiro Corp,"$3,850",$350,"$3,500",2002
Philips Electronics North America,Netherlands/Philips Electronics,"$69,858","$10,100","$59,758",2002
Pilkington North America,UK/Pilkington Group,"$2,500","$1,000","$1,500",2002
Pinkerton Tobacco,Sweden/Swedish Match AB,"$40,495","$6,500","$33,995",2002
RBC Centura Banks,Canada/Royal Bank of Canada,"$13,500","$5,750","$7,750",2002
Reed Elsevier Inc,UK/Reed Elsevier Group,"$34,500","$14,500","$20,000",2002
Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce International,"$125,449","$42,750","$82,699",2002
Roquette America,France/Roquette Freres,$125,$125,$0,2002
Sagem Morpho Inc,France/Sagem SA,"$7,500","$7,500",$0,2002
SAP America,Germany/SAP AG,"$20,100","$9,000","$11,100",2002
Sensormatic Electronics (Tyco International),Ireland/Tyco International,"$2,328",$0,"$2,328",2002
Serono Inc,Switzerland/Serono SA,"$7,000","$2,000","$5,000",2002
SES Americom (SES Global),Luxembourg/SES Global,"$5,500","$3,000","$2,500",2002
Shaklee Corp (Yamanouchi Consumer),Japan/Yamanouchi Pharmaceutical,"$1,000","$1,000",$0,2002
Shell Oil (Royal Dutch/Shell Group of Companies),Netherlands/Royal Dutch-Shell,"$127,790","$31,290","$96,500",2002
Siemens Corp (Siemens AG),Germany/Siemans AG,"$116,998","$31,999","$84,999",2002
Siemens Dematic Postal Automation (Siemens AG),Germany/Siemens AG,"$2,500","$1,500","$1,000",2002
Smith & Nephew,UK/Smith & Nephew Plc,"$19,000","$9,000","$10,000",2002
Sodexho Inc,France/Sodexho Alliance,"$3,350","$2,250","$1,100",2002
Solvay Pharmaceuticals,Belgium/Solvay SA,$0,$0,$0,2002
Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$128,500","$73,500","$55,000",2002
Standard Federal Bank (ABN AMRO),Netherlands/ABN Amro Holding,"$13,100","$3,250","$9,850",2002
Syngenta Corp,Switzerland/Syngenta AG,"$34,500","$14,000","$20,500",2002
Syntex (USA) Inc (Roche Holdings),Switzerland/Roche Holdings,"$10,000","$8,000","$2,000",2002
T-Mobile USA,Germany/Deutsche Telekom AG,"$87,000","$50,000","$37,000",2002
Timex Corp,Netherlands/Timex Group,$0,$0,$0,2002
Tractebel (Tractebel),Belgium/Tractabel,$0,$0,$0,2002
Tractebel North America (Tractebel),Belgium/Tractabel,"$1,000",$0,"$1,000",2002
TransAmerica (Aegon NV),Netherlands/Aegon NV,$0,$0,$0,2002
UBS Americas,Switzerland/UBS AG,"$111,400","$58,400","$52,000",2002
UnionBanCal Corp,Japan/Mitsubishi UFJ Financial Group,"$13,500","$3,500","$10,000",2002
United Water Resources (SUEZ SA),France/SUEZ SA,"$18,150","$14,650","$3,500",2002
Universal Studios (Vivendi Universal),France/Vivendi Universal,"$136,500","$65,500","$71,000",2002
US Surgical Corp (Tyco International),Ireland/Tyco International,$0,$0,$0,2002
Wackenhut Corp (Group 4 Falck),Denmark/Group 4 Falck,"$20,250","$4,250","$16,000",2002
Wackenhut Corp (Group 4 Falck),Denmark/Group 4 Falck,$0,$0,$0,2002
Westfield Corp,Australia/Westfield Group of Australia,"$23,619","$21,619","$2,000",2002
Westinghouse Electric (BNFL PLC),UK/British Nuclear Fuels PLC,"$5,250",$500,"$4,750",2002
Wexler & Walker Public Policy Assoc (WPP Group),UK/WPP Group,"$93,500","$34,000","$59,500",2002
Zurich Insurance (Zurich Financial Services),Switzerland/Zurich Financial Services,"$98,182","$32,000","$66,182",2002
7-Eleven,Japan/Ito-Yokado,$750,$0,$750,2004
ABB Group,Switzerland/Asea Brown Boveri,"$16,500","$6,500","$10,000",2004
Accenture,UK/Accenture plc,"$197,071","$54,124","$142,947",2004
ACE INA,UK/ACE Ltd,"$169,900","$39,500","$130,400",2004
AE Staley Manufacturing (Tate & Lyle),UK/Tate & Lyle,"$11,500",$500,"$11,000",2004
AEGON USA,Netherlands/Aegon NV,"$174,500","$72,000","$102,500",2004
AIM Management Group,UK/AMVESCAP,"$18,500","$5,000","$13,500",2004
Air Liquide America,France/L'Air Liquide SA,"$12,925","$4,750","$8,175",2004
Alcatel USA,France/Alcatel,"$12,500","$1,000","$11,500",2004
Alcon Laboratories (Nestle SA),Switzerland/Nestle,"$32,220","$8,500","$23,720",2004
Allfirst Financial,Ireland/Allied Irish Banks,$0,$0,$0,2004
Allianz of America (Allianz),Germany/Allianz AG Holding,"$116,750","$40,400","$76,350",2004
Allied Domecq Spirits & Wine,UK/Allied Domecq,"$43,500","$12,000","$31,500",2004
American Medical Response,Canada/Onex Corp,$0,$0,$0,2004
