ID,Price,neighbourhood,accommodates,Number of bathrooms,Number of Bedrooms,n beds,Review Scores Rating,Number of reviews,listing_url
395349,130,NA,4,2,2,3,98,21,https://www.airbnb.com/rooms/395349
399593,200,New Town,4,1,1,2,60,1,https://www.airbnb.com/rooms/399593
404888,100,Old Town,2,1,1,1,96,15,https://www.airbnb.com/rooms/404888
405790,165,Old Town,4,1,2,3,90,87,https://www.airbnb.com/rooms/405790
408831,25,NA,2,1,1,1,97,75,https://www.airbnb.com/rooms/408831
410181,35,Leith,2,1,1,1,98,80,https://www.airbnb.com/rooms/410181
410413,30,Leith,2,1,1,1,98,249,https://www.airbnb.com/rooms/410413
419487,85,New Town,2,1,0,1,94,102,https://www.airbnb.com/rooms/419487
426766,60,NA,2,1,1,1,95,74,https://www.airbnb.com/rooms/426766
426770,45,NA,1,1,1,1,97,44,https://www.airbnb.com/rooms/426770
428822,69,NA,4,1,2,3,99,193,https://www.airbnb.com/rooms/428822
439136,60,NA,3,2,1,2,87,30,https://www.airbnb.com/rooms/439136
442465,80,Leith,2,NA,1,1,95,5,https://www.airbnb.com/rooms/442465
447206,30,Old Town,2,1,1,1,94,593,https://www.airbnb.com/rooms/447206
448055,275,West End,8,2,3,4,NA,0,https://www.airbnb.com/rooms/448055
449075,140,Newington,4,1,2,2,100,2,https://www.airbnb.com/rooms/449075
449083,50,Leith,1,1,1,1,98,37,https://www.airbnb.com/rooms/449083
450745,90,Newington,4,1,2,2,98,91,https://www.airbnb.com/rooms/450745
458510,85,New Town,2,1,1,1,97,172,https://www.airbnb.com/rooms/458510
477901,85,Old Town,2,1,1,1,98,137,https://www.airbnb.com/rooms/477901
480324,112,Leith,6,2.5,3,5,97,39,https://www.airbnb.com/rooms/480324
481841,95,Stockbridge,4,1,2,2,97,6,https://www.airbnb.com/rooms/481841
485856,99,Old Town,6,1,2,4,94,305,https://www.airbnb.com/rooms/485856
493689,65,Leith,2,1,1,2,95,8,https://www.airbnb.com/rooms/493689
493769,65,Old Town,3,1,1,1,98,355,https://www.airbnb.com/rooms/493769
497140,67,Haymarket,4,1,1,2,93,54,https://www.airbnb.com/rooms/497140
500696,67,Tollcross,3,1,1,2,93,183,https://www.airbnb.com/rooms/500696
505153,80,Leith,3,1,1,2,95,21,https://www.airbnb.com/rooms/505153
506390,20,NA,2,0.5,1,1,78,176,https://www.airbnb.com/rooms/506390
506407,15,NA,2,1,1,2,83,311,https://www.airbnb.com/rooms/506407
509191,45,Leith,2,NA,1,1,85,9,https://www.airbnb.com/rooms/509191
513895,125,West End,4,1.5,2,2,96,42,https://www.airbnb.com/rooms/513895
514978,150,Stockbridge,6,2.5,3,3,93,71,https://www.airbnb.com/rooms/514978
516445,150,Old Town,4,2,2,3,94,164,https://www.airbnb.com/rooms/516445
517230,35,Leith,2,1,1,1,97,153,https://www.airbnb.com/rooms/517230
517409,200,Old Town,4,1,2,2,100,2,https://www.airbnb.com/rooms/517409
520802,160,Old Town,6,2,3,3,99,39,https://www.airbnb.com/rooms/520802
521385,150,Old Town,4,1,1,1,99,218,https://www.airbnb.com/rooms/521385
522004,65,Southside,2,1,1,1,98,92,https://www.airbnb.com/rooms/522004
523134,95,Leith,6,1,2,4,86,196,https://www.airbnb.com/rooms/523134
523395,59,Leith,4,1,1,3,84,98,https://www.airbnb.com/rooms/523395
530628,56,West End,16,NA,5,16,87,109,https://www.airbnb.com/rooms/530628
531292,102,Old Town,5,1,2,3,97,363,https://www.airbnb.com/rooms/531292
545821,39,NA,4,1,2,3,98,267,https://www.airbnb.com/rooms/545821
551401,33,Southside,1,1,1,1,96,136,https://www.airbnb.com/rooms/551401
551652,65,NA,3,1,1,1,93,79,https://www.airbnb.com/rooms/551652
551686,59,NA,3,1,1,1,94,70,https://www.airbnb.com/rooms/551686
558907,121,Old Town,5,1,2,4,96,40,https://www.airbnb.com/rooms/558907
562350,189,New Town,5,1,2,2,92,29,https://www.airbnb.com/rooms/562350
568026,55,Haymarket,4,1,2,3,99,317,https://www.airbnb.com/rooms/568026
569604,182,Old Town,4,1,1,2,88,115,https://www.airbnb.com/rooms/569604
573745,75,Leith,6,1,2,3,93,142,https://www.airbnb.com/rooms/573745
579038,170,Leith,5,1,2,4,91,10,https://www.airbnb.com/rooms/579038
591360,100,New Town,5,1.5,3,4,97,245,https://www.airbnb.com/rooms/591360
592226,45,Old Town,2,1,1,1,88,44,https://www.airbnb.com/rooms/592226
595335,27,Leith,2,1,1,1,98,138,https://www.airbnb.com/rooms/595335
603443,435,Old Town,6,1,1,5,100,2,https://www.airbnb.com/rooms/603443
603446,315,Old Town,5,1,2,4,96,6,https://www.airbnb.com/rooms/603446
603493,200,Old Town,3,1,1,2,100,2,https://www.airbnb.com/rooms/603493
603497,229,Old Town,3,1,1,2,100,2,https://www.airbnb.com/rooms/603497
603498,229,Old Town,3,1,1,2,94,1,https://www.airbnb.com/rooms/603498
603501,190,Old Town,3,1,1,2,90,3,https://www.airbnb.com/rooms/603501
603502,229,Old Town,3,1,1,2,100,1,https://www.airbnb.com/rooms/603502
603671,515,Old Town,10,3,4,10,98,13,https://www.airbnb.com/rooms/603671
603672,599,Old Town,12,3,4,12,96,11,https://www.airbnb.com/rooms/603672
603674,880,Old Town,16,4,4,20,94,22,https://www.airbnb.com/rooms/603674
603726,245,Old Town,6,2.5,3,6,92,5,https://www.airbnb.com/rooms/603726
603996,200,Leith,4,2,2,4,92,48,https://www.airbnb.com/rooms/603996
604418,35,Leith,2,1,1,1,97,38,https://www.airbnb.com/rooms/604418
605856,150,Cannonmills,8,2,3,8,97,154,https://www.airbnb.com/rooms/605856
607248,99,Cannonmills,2,1,1,1,90,371,https://www.airbnb.com/rooms/607248
610600,160,New Town,4,1,1,2,98,29,https://www.airbnb.com/rooms/610600
610637,80,Leith,4,1,1,2,92,14,https://www.airbnb.com/rooms/610637
611124,45,Leith,2,1,1,1,100,48,https://www.airbnb.com/rooms/611124
612137,40,Marchmont,2,1,1,1,97,256,https://www.airbnb.com/rooms/612137
613382,130,Morningside,4,1,2,2,92,180,https://www.airbnb.com/rooms/613382
614851,65,Tollcross,2,1,1,1,97,266,https://www.airbnb.com/rooms/614851
615726,159,Morningside,8,1.5,4,4,97,47,https://www.airbnb.com/rooms/615726
615913,35,Southside,2,1,1,1,96,50,https://www.airbnb.com/rooms/615913
619888,70,Old Town,2,1,1,1,96,196,https://www.airbnb.com/rooms/619888
619889,80,Old Town,2,1,1,1,96,207,https://www.airbnb.com/rooms/619889
619891,70,Old Town,2,1,1,1,94,247,https://www.airbnb.com/rooms/619891
619892,90,Old Town,4,1,2,3,91,202,https://www.airbnb.com/rooms/619892
620293,80,Stockbridge,2,1,1,2,97,111,https://www.airbnb.com/rooms/620293
622225,100,Newington,4,1,2,2,95,18,https://www.airbnb.com/rooms/622225
622466,300,Haymarket,6,2,2,5,94,43,https://www.airbnb.com/rooms/622466
622487,300,West End,6,2,2,6,84,18,https://www.airbnb.com/rooms/622487
622500,150,West End,6,2,2,5,91,96,https://www.airbnb.com/rooms/622500
622532,300,Cannonmills,9,2,3,7,87,124,https://www.airbnb.com/rooms/622532
622930,85,Southside,2,1,1,1,89,8,https://www.airbnb.com/rooms/622930
623963,50,Leith,3,1,1,1,98,8,https://www.airbnb.com/rooms/623963
624492,220,Old Town,4,1,2,2,94,34,https://www.airbnb.com/rooms/624492
627527,55,Cannonmills,2,1,1,1,99,242,https://www.airbnb.com/rooms/627527
633029,80,Stockbridge,4,1,2,2,97,107,https://www.airbnb.com/rooms/633029
633590,65,West End,3,1.5,1,1,97,55,https://www.airbnb.com/rooms/633590
639079,75,Old Town,4,1,1,2,97,177,https://www.airbnb.com/rooms/639079
639942,90,New Town,6,1,2,4,95,101,https://www.airbnb.com/rooms/639942
640071,54,Leith,4,1,2,2,99,189,https://www.airbnb.com/rooms/640071
640398,46,Marchmont,2,1.5,1,2,96,91,https://www.airbnb.com/rooms/640398
641377,60,NA,2,1,1,2,96,28,https://www.airbnb.com/rooms/641377
641458,200,Leith,5,2,2,5,91,9,https://www.airbnb.com/rooms/641458
641460,300,Leith,5,2,2,5,91,64,https://www.airbnb.com/rooms/641460
641461,250,Leith,4,2,2,4,93,96,https://www.airbnb.com/rooms/641461
642048,38,Stockbridge,1,1,1,1,93,51,https://www.airbnb.com/rooms/642048
642252,35,Stockbridge,1,1,1,1,93,153,https://www.airbnb.com/rooms/642252
642378,79,Marchmont,6,1.5,2,2,91,16,https://www.airbnb.com/rooms/642378
643693,75,Southside,4,1,1,3,98,80,https://www.airbnb.com/rooms/643693
645247,70,West End,2,1.5,1,1,99,600,https://www.airbnb.com/rooms/645247
645365,75,Leith,6,1,2,2,88,81,https://www.airbnb.com/rooms/645365
647855,146,Newington,10,1,3,7,90,6,https://www.airbnb.com/rooms/647855
651278,65,Leith,6,2,2,3,94,155,https://www.airbnb.com/rooms/651278
659483,70,Old Town,4,1,2,3,89,81,https://www.airbnb.com/rooms/659483
662778,NA,Old Town,4,1,2,2,94,251,https://www.airbnb.com/rooms/662778
662990,103,Cannonmills,2,1,1,1,80,5,https://www.airbnb.com/rooms/662990
663405,221,Haymarket,10,2,4,8,60,5,https://www.airbnb.com/rooms/663405
663409,230,Haymarket,12,2,5,12,90,10,https://www.airbnb.com/rooms/663409
668407,43,Leith,4,1,1,2,93,210,https://www.airbnb.com/rooms/668407
675104,60,Marchmont,2,1,1,1,96,20,https://www.airbnb.com/rooms/675104
681634,54,Leith,2,1,1,2,97,109,https://www.airbnb.com/rooms/681634
682325,54,Leith,2,1,1,1,98,145,https://www.airbnb.com/rooms/682325
685743,50,Marchmont,2,1,1,1,99,36,https://www.airbnb.com/rooms/685743
692353,130,West End,6,1,3,3,97,127,https://www.airbnb.com/rooms/692353
693466,49,Southside,2,1,1,1,98,396,https://www.airbnb.com/rooms/693466
702800,60,NA,6,2,2,6,99,266,https://www.airbnb.com/rooms/702800
705751,80,Haymarket,4,1,1,2,97,168,https://www.airbnb.com/rooms/705751
706832,220,Leith,9,2,4,5,97,140,https://www.airbnb.com/rooms/706832
707097,128,Old Town,10,2,3,9,90,57,https://www.airbnb.com/rooms/707097
713446,161,Leith,4,1,2,3,88,5,https://www.airbnb.com/rooms/713446
715666,27,Morningside,2,1,1,2,96,427,https://www.airbnb.com/rooms/715666
728199,50,Haymarket,3,1,1,1,96,231,https://www.airbnb.com/rooms/728199
732008,160,Haymarket,10,2,4,8,93,159,https://www.airbnb.com/rooms/732008
732018,160,Haymarket,10,2,4,8,93,91,https://www.airbnb.com/rooms/732018
735521,45,Leith,2,1,1,1,93,8,https://www.airbnb.com/rooms/735521
738118,90,NA,3,1,1,2,96,9,https://www.airbnb.com/rooms/738118
742986,129,Tollcross,7,1.5,3,5,88,162,https://www.airbnb.com/rooms/742986
744710,160,New Town,6,1,2,2,99,163,https://www.airbnb.com/rooms/744710
748646,149,New Town,6,1,3,5,85,26,https://www.airbnb.com/rooms/748646
749042,26,NA,1,1,1,1,95,55,https://www.airbnb.com/rooms/749042
751798,88,Old Town,4,1,2,2,94,209,https://www.airbnb.com/rooms/751798
751841,45,Leith,5,1,3,3,96,37,https://www.airbnb.com/rooms/751841
751842,50,Leith,4,1,2,2,95,4,https://www.airbnb.com/rooms/751842
753623,60,NA,10,1.5,4,8,85,5,https://www.airbnb.com/rooms/753623
754100,150,Old Town,6,1,2,3,96,165,https://www.airbnb.com/rooms/754100
759010,150,New Town,8,1,3,5,85,69,https://www.airbnb.com/rooms/759010
764513,50,Leith,2,1,1,1,95,65,https://www.airbnb.com/rooms/764513
767532,102,Old Town,4,1,1,1,93,67,https://www.airbnb.com/rooms/767532
768834,60,NA,2,1,1,2,97,7,https://www.airbnb.com/rooms/768834
768875,60,NA,3,1,1,2,98,13,https://www.airbnb.com/rooms/768875
769648,102,Leith,5,1.5,2,2,97,36,https://www.airbnb.com/rooms/769648
772843,60,Old Town,5,1,1,2,85,85,https://www.airbnb.com/rooms/772843
773926,161,NA,4,2,2,2,92,5,https://www.airbnb.com/rooms/773926
774042,50,Tollcross,3,1,1,2,96,39,https://www.airbnb.com/rooms/774042
790170,160,Leith,6,2.5,2,3,99,57,https://www.airbnb.com/rooms/790170
793577,47,New Town,2,1,1,1,99,241,https://www.airbnb.com/rooms/793577
794859,70,Stockbridge,4,1,1,1,100,1,https://www.airbnb.com/rooms/794859
804238,100,NA,4,1,2,3,95,177,https://www.airbnb.com/rooms/804238
804641,199,Leith,6,1.5,2,4,95,6,https://www.airbnb.com/rooms/804641
821573,75,Old Town,6,1,2,1,100,1,https://www.airbnb.com/rooms/821573
822829,245,New Town,8,3,3,7,95,127,https://www.airbnb.com/rooms/822829
823772,92,Old Town,2,1,1,1,93,9,https://www.airbnb.com/rooms/823772
834777,217,New Town,5,2,2,3,98,20,https://www.airbnb.com/rooms/834777
835396,140,Marchmont,5,1,3,4,97,150,https://www.airbnb.com/rooms/835396
835921,236,Marchmont,8,1,4,4,87,3,https://www.airbnb.com/rooms/835921
838551,60,Marchmont,2,1,1,2,96,57,https://www.airbnb.com/rooms/838551
839192,40,Marchmont,2,1.5,1,2,94,18,https://www.airbnb.com/rooms/839192
847909,45,NA,4,1,1,2,84,79,https://www.airbnb.com/rooms/847909
850755,145,New Town,4,1,2,2,100,9,https://www.airbnb.com/rooms/850755
853803,165,Leith,6,1,4,6,92,18,https://www.airbnb.com/rooms/853803
856588,70,Cannonmills,2,1,1,1,95,59,https://www.airbnb.com/rooms/856588
860170,122,Old Town,2,1,0,1,100,612,https://www.airbnb.com/rooms/860170
862797,28,NA,3,2,1,2,99,58,https://www.airbnb.com/rooms/862797
864416,30,Old Town,2,1,1,1,95,346,https://www.airbnb.com/rooms/864416
867520,60,West End,2,1,1,1,100,19,https://www.airbnb.com/rooms/867520
868144,195,New Town,6,1.5,3,5,95,77,https://www.airbnb.com/rooms/868144
877223,104,Old Town,4,1,1,2,98,274,https://www.airbnb.com/rooms/877223
883026,125,New Town,6,2,3,5,97,215,https://www.airbnb.com/rooms/883026
886208,100,NA,4,1,2,1,100,11,https://www.airbnb.com/rooms/886208
893085,190,Old Town,6,2,2,2,100,1,https://www.airbnb.com/rooms/893085
897444,220,Old Town,10,2,4,8,94,69,https://www.airbnb.com/rooms/897444
897845,175,New Town,5,1,3,3,99,124,https://www.airbnb.com/rooms/897845
899294,110,Leith,6,1,3,4,97,136,https://www.airbnb.com/rooms/899294
904137,40,Leith,4,1,1,2,92,356,https://www.airbnb.com/rooms/904137
904992,136,Leith,6,1,2,3,80,1,https://www.airbnb.com/rooms/904992
907058,78,Old Town,3,1,1,2,96,85,https://www.airbnb.com/rooms/907058
925636,50,Leith,2,1.5,1,1,96,64,https://www.airbnb.com/rooms/925636
926679,100,Cannonmills,4,1,2,2,94,172,https://www.airbnb.com/rooms/926679
929522,32,Leith,1,NA,1,1,99,16,https://www.airbnb.com/rooms/929522
931452,85,NA,4,1,2,2,96,64,https://www.airbnb.com/rooms/931452
931908,45,Leith,2,1,1,1,95,110,https://www.airbnb.com/rooms/931908
954594,84,Old Town,4,1,2,2,96,196,https://www.airbnb.com/rooms/954594
955005,95,Old Town,5,1.5,2,4,92,176,https://www.airbnb.com/rooms/955005
958069,55,Southside,1,1,1,1,97,102,https://www.airbnb.com/rooms/958069
959221,69,Southside,2,1,1,1,98,258,https://www.airbnb.com/rooms/959221
970087,79,Old Town,3,1,1,1,94,127,https://www.airbnb.com/rooms/970087
970323,130,Leith,2,1,1,1,100,1,https://www.airbnb.com/rooms/970323
972639,120,NA,7,1,2,4,96,41,https://www.airbnb.com/rooms/972639
979098,120,Leith,6,1,2,4,90,72,https://www.airbnb.com/rooms/979098
983259,95,Old Town,4,1,1,2,99,20,https://www.airbnb.com/rooms/983259
984764,145,Old Town,4,1,2,4,97,216,https://www.airbnb.com/rooms/984764
987075,220,New Town,5,2,3,4,97,53,https://www.airbnb.com/rooms/987075
994272,130,Old Town,4,2,2,3,98,37,https://www.airbnb.com/rooms/994272
996902,35,NA,2,NA,1,NA,100,22,https://www.airbnb.com/rooms/996902
997879,56,Newington,2,NA,1,1,NA,1,https://www.airbnb.com/rooms/997879
998663,39,Morningside,2,2,1,1,99,50,https://www.airbnb.com/rooms/998663
1003820,25,Leith,2,1,1,1,96,53,https://www.airbnb.com/rooms/1003820
1005982,68,Leith,2,1,1,1,98,60,https://www.airbnb.com/rooms/1005982
1010577,66,Leith,2,1,1,2,76,12,https://www.airbnb.com/rooms/1010577
1021112,63,Leith,2,1,1,1,97,183,https://www.airbnb.com/rooms/1021112
1034322,35,Morningside,5,1.5,3,3,98,388,https://www.airbnb.com/rooms/1034322
1036668,155,Haymarket,6,1,2,2,98,32,https://www.airbnb.com/rooms/1036668
1037544,40,NA,2,2,1,1,99,234,https://www.airbnb.com/rooms/1037544
1042581,49,Leith,4,1,1,2,97,38,https://www.airbnb.com/rooms/1042581
1052246,50,Leith,4,1.5,2,2,92,22,https://www.airbnb.com/rooms/1052246
1054693,120,Leith,6,1,3,3,98,12,https://www.airbnb.com/rooms/1054693
1062976,49,Stockbridge,2,1.5,1,1,97,20,https://www.airbnb.com/rooms/1062976
1063926,100,Old Town,2,1,0,1,97,144,https://www.airbnb.com/rooms/1063926
1064939,125,Old Town,4,2,2,3,96,205,https://www.airbnb.com/rooms/1064939
1075867,60,New Town,2,1,1,1,96,48,https://www.airbnb.com/rooms/1075867
1076718,100,Stockbridge,2,2,1,1,90,3,https://www.airbnb.com/rooms/1076718
1081177,150,New Town,2,1,1,1,100,10,https://www.airbnb.com/rooms/1081177
1086477,60,NA,4,1,2,3,89,28,https://www.airbnb.com/rooms/1086477
1089242,178,NA,6,2,2,5,NA,1,https://www.airbnb.com/rooms/1089242
1094121,143,Old Town,6,1,3,4,91,49,https://www.airbnb.com/rooms/1094121
1095832,150,NA,5,1,3,4,95,24,https://www.airbnb.com/rooms/1095832
1096500,195,Tollcross,6,2.5,3,3,98,12,https://www.airbnb.com/rooms/1096500
1100923,203,Newington,10,2,4,7,95,209,https://www.airbnb.com/rooms/1100923
1101018,60,Marchmont,6,1,4,4,60,2,https://www.airbnb.com/rooms/1101018
1102389,99,Tollcross,3,1,3,4,97,12,https://www.airbnb.com/rooms/1102389
1105255,90,Leith,5,1,3,4,92,114,https://www.airbnb.com/rooms/1105255
1113934,75,NA,4,1,1,2,98,99,https://www.airbnb.com/rooms/1113934
1119198,70,Leith,5,1,2,2,96,102,https://www.airbnb.com/rooms/1119198
1125890,65,New Town,2,1,1,1,95,326,https://www.airbnb.com/rooms/1125890
1132825,100,Newington,9,1,3,9,80,6,https://www.airbnb.com/rooms/1132825
1134029,105,Haymarket,7,1,3,3,98,42,https://www.airbnb.com/rooms/1134029
1134608,35,Leith,2,1.5,1,1,97,88,https://www.airbnb.com/rooms/1134608
1136639,175,Marchmont,9,1,3,4,98,9,https://www.airbnb.com/rooms/1136639
1141728,101,New Town,4,1.5,2,3,97,340,https://www.airbnb.com/rooms/1141728
1143110,130,Haymarket,8,1.5,3,NA,88,34,https://www.airbnb.com/rooms/1143110
1144993,200,New Town,10,2,3,7,97,75,https://www.airbnb.com/rooms/1144993
1146913,250,Leith,14,2.5,4,13,96,66,https://www.airbnb.com/rooms/1146913
1179472,75,New Town,2,1,1,1,94,169,https://www.airbnb.com/rooms/1179472
1186205,75,Tollcross,4,1,3,4,98,62,https://www.airbnb.com/rooms/1186205
1186679,95,Leith,6,NA,2,NA,95,133,https://www.airbnb.com/rooms/1186679
1194366,140,Old Town,4,1,2,3,98,73,https://www.airbnb.com/rooms/1194366
1197834,125,New Town,2,1,1,2,96,50,https://www.airbnb.com/rooms/1197834
1202178,120,Tollcross,6,1,3,4,97,305,https://www.airbnb.com/rooms/1202178
1218282,60,Leith,2,1,1,1,99,47,https://www.airbnb.com/rooms/1218282
1225230,48,NA,2,1,1,2,98,172,https://www.airbnb.com/rooms/1225230
1226054,71,Old Town,4,1,1,1,98,525,https://www.airbnb.com/rooms/1226054
1229055,99,Leith,6,1,2,4,88,179,https://www.airbnb.com/rooms/1229055
1232851,150,Cannonmills,6,2,3,5,99,53,https://www.airbnb.com/rooms/1232851
1234586,390,West End,6,2,1,3,NA,0,https://www.airbnb.com/rooms/1234586
1237714,360,New Town,8,3.5,3,8,92,44,https://www.airbnb.com/rooms/1237714
1263821,23,NA,2,1.5,1,1,94,34,https://www.airbnb.com/rooms/1263821
1267642,49,NA,2,1,1,2,97,22,https://www.airbnb.com/rooms/1267642
1268676,89,NA,4,1,2,3,93,17,https://www.airbnb.com/rooms/1268676
1270267,119,Leith,4,1,3,3,90,3,https://www.airbnb.com/rooms/1270267
1270408,34,Morningside,2,1,1,1,91,64,https://www.airbnb.com/rooms/1270408
1278202,55,Leith,3,1,1,2,97,329,https://www.airbnb.com/rooms/1278202
1278718,49,Southside,2,1,1,1,98,153,https://www.airbnb.com/rooms/1278718
1279171,80,Leith,4,1,1,2,88,83,https://www.airbnb.com/rooms/1279171
1280402,45,NA,2,1,1,1,93,26,https://www.airbnb.com/rooms/1280402
1283816,65,Cannonmills,2,1,1,1,96,90,https://www.airbnb.com/rooms/1283816
1286603,161,Haymarket,6,1,3,4,98,13,https://www.airbnb.com/rooms/1286603
1291854,50,West End,2,1,1,2,96,207,https://www.airbnb.com/rooms/1291854
1291878,40,Leith,4,1,1,1,92,296,https://www.airbnb.com/rooms/1291878
1293370,55,New Town,2,1.5,1,1,93,701,https://www.airbnb.com/rooms/1293370
