name,country,parent,total,dems,repubs,year
DaimlerChrysler (DaimlerChrysler),Germany,DaimlerChrysler AG,450100,166650,283450,2000
Deutsche Bank North America,Germany,Deutsche Bank AG,144000,67000,77000,2000
Equitable Companies,France,AXA,133000,62000,71000,2000
Equitable of Iowa Companies (ING Americas),Netherlands,ING Group,8200,3700,4500,2000
Essroc Corp,Italy,Italcementi Group,2500,0,2500,2000
Farmers Group (Zurich Financial Services),Switzerland,Zurich Financial Services Group,52594,4000,48594,2000
Fireman's Fund Insurance (Allianz),Germany,Allianz AG Holding,63900,17050,46850,2000
Food Lion,Belgium,Delhaize Group,25000,13750,11250,2000
Fortis Inc,Belgium,Fortis AG,8500,2500,6000,2000
GEC-Marconi Electronic Systems (BAE Systems North America),UK,BAE Systems,0,0,0,2000
Genentech Inc (Roche Group),Switzerland,Roche Group,123250,62750,60500,2000
Gilman Paper,Mexico,Grupo Industrial Durango,12412,0,12412,2000
GKN Corp,UK,GKN PLC,4775,0,4775,2000
GlaxoSmithKline (GlaxoSmithKline),UK,GlaxoSmithKline,604759,109998,494761,2000
GlaxoSmithKline (GlaxoSmithKline),UK,GlaxoSmithKline,135500,35750,99750,2000
Grand Trunk Western-Illinois Central RR,Canada,Canadian National Railway,12065,7315,4750,2000
Great-West Life & Annuity Insurance,Canada,Power Financial Corp,46000,5000,41000,2000
Greyhound Lines,Canada,Laidlaw,36500,20000,16500,2000
Guinness/UDV North America,UK,Diageo PLC,97500,48500,49000,2000
Heublein Distributors,UK,Diageo PLC,1500,500,1000,2000
Hill & Knowlton (WPP Group),UK,WPP Group,42500,21000,21500,2000
Hoffmann-La Roche (Roche Group),Switzerland,Roche Group,143249,48000,95249,2000
Holnam Inc,Switzerland,Holderbank Financiere Glaris,52250,12000,40250,2000
HSBC USA,UK,HSBC Holdings,7160,3500,3660,2000
ING Americas (ING Group),Netherlands,ING Group,86500,25000,61500,2000
Instinet Corp,UK,Reuters Group,47800,17250,30550,2000
Jackson National Life Insurance,UK,Prudential PLC,77100,19500,57600,2000
Joseph E Seagram & Sons (Vivendi Universal),France,Vivendi Universal,117822,50000,67822,2000
Kennecott Holdings,UK,Rio Tinto PLC,71045,12000,59045,2000
LaFarge Corp,France,Lafarge SA,21550,10100,11450,2000
LaSalle National Corp (ABN AMRO),Netherlands,ABN Amro Holding,23075,12375,10700,2000
Learjet Inc,Canada,Bombardier Inc,13500,2000,11500,2000
Lehigh Portland Cement,Germany,Heidelberger Zement,11500,3000,8500,2000
Loral Space & Communications,UK,Loral Space & Communications,107000,86000,21000,2000
Louisville Gas & Electric,UK,PowerGen,5000,0,5000,2000
Maersk Inc (AP Moller-Maersk),Denmark,AP Moller,37000,7500,29500,2000
Mallinckrodt Pharmaceuticals (Tyco International),Ireland,Tyco International,149400,55500,93900,2000
Massachusetts Financial Services,Canada,Sun Life Financial Services,21000,11500,9500,2000
Master Builders Inc,Germany,E.ON AG,2000,0,2000,2000
Michigan National Bank,Australia,National Australia Bank,16500,1000,15500,2000
National Steel Corp,Japan,NKK Corp,0,0,0,2000
Nestle USA (Nestle SA),Switzerland,Nestle,52000,13000,37500,2000
News America Publishing,Australia,News Corp,82500,31000,51500,2000
Novartis Corp (Novartis AG),Switzerland,Novartis AG,157969,33733,124236,2000
Oldcastle Materials,Ireland,CRH PLC,81841,28000,53841,2000
ONDEO Nalco,France,Suez Lyonnaise des Eaux,35750,4750,31000,2000
Organon Inc,Netherlands,Akzo Nobel,2250,250,2000,2000
PacifiCorp,UK,Scottish Power,11500,4250,7250,2000
PaineWebber,Switzerland,UBS AG,85950,29950,56000,2000
Perrier Group of America (Nestle SA),Switzerland,Nestle,10000,4500,5300,2000
Peter Pan Seafoods,Japan,Nichiro Corp,1700,0,1700,2000
Philips Electronics North America,Netherlands,Philips Electronics,55700,6500,49200,2000
Pilkington North America,UK,Pilkington PLC,13500,1000,12500,2000
Pillsbury Co,UK,Diageo PLC,33000,8500,24500,2000
Pinkerton Tobacco,Sweden,Swedish Match AB,49750,8000,40750,2000
Reed Elsevier Inc,UK,Reed Elsevier Group,10250,4250,6000,2000
Reliastar Financial (ING Americas),Netherlands,ING Group,54096,21715,32381,2000
Rolls-Royce North America (Rolls-Royce PLC),UK,Rolls-Royce International,54629,15218,39411,2000
Sagem Morpho Inc,France,Sagem SA,2000,2000,0,2000
"Schroder, Salomon et al (Citigroup Inc)",UK,Schroders PLC,0,0,0,2000
Security Life of Denver (ING Americas),Netherlands,ING Group,13600,4100,9500,2000
Serono Inc,Switzerland,Serono SA,7000,5000,2000,2000
Shaklee Corp (Shaklee Corp),Japan,Yamanouchi Pharmaceutical,0,0,0,2000
Shell Oil (Shell Oil),Netherlands,Royal Dutch-Shell Group,118600,29500,89100,2000
Siemens Corp (Siemens AG),Germany,Siemans AG,10000,4000,6000,2000
Siemens ElectroCom (Siemens AG),Germany,Siemens AG,4500,1000,3500,2000
Sony Pictures Entertainment (Sony Corp of America),Japan,Sony Corp,78750,50000,28750,2000
Standard Federal Bank (ABN AMRO),Netherlands,ABN Amro Holding,2750,0,2750,2000
Syngenta Corp,Switzerland,Syngenta AG,0,0,0,2000
Syntex (USA) Inc,Switzerland,Roche Holdings,8750,6250,2500,2000
Tate & Lyle North American Sugars (Tate & Lyle),UK,Tate & Lyle,2100,2100,0,2000
Tractebel Power,France,Suez,2000,0,2000,2000
TransAmerica (AEGON USA),Netherlands,Aegon NV,31000,8000,23000,2000
Tyco Electronics (Tyco International),Ireland,Tyco International,17750,1250,16500,2000
UnionBanCal Corp,Japan,Bank of Tokyo,9750,7750,2000,2000
United Water Resources,France,SUEZ SA,9035,7450,1585,2000
Universal Studios (Vivendi Universal),France,Vivendi Universal,148750,65500,83250,2000
US Surgical Corp (Tyco International),Ireland,Tyco International,7100,0,7100,2000
USFilter Corp,France,Vivendi Universal,17250,15000,2250,2000
Vodafone Group,UK,Vodafone Group,49850,14600,35250,2000
Westfield Corp,Australia,Westfield Group of Australia,29850,19350,10500,2000
Westinghouse Electric (BNFL Inc),UK,British Nuclear Fuels PLC,27000,8000,19000,2000
Westinghouse Electric (BNFL Inc),UK,British Nuclear Fuels PLC,250,250,0,2000
Wexler Group (WPP Group),UK,WPP Group,121093,53000,68093,2000
Zenith Electronics,South Korea,LG Electronics,0,0,0,2000
Zurich Insurance (Zurich Financial Services),Switzerland,Zurich Financial Services Group,80787,25250,55537,2000
7-Eleven,Japan,Ito-Yokado,7070,2528,4542,2002
ABB Group,Switzerland,Asea Brown Boveri,34500,18750,15750,2002
Accenture,Bermuda,Accenture plc,220947,94242,126705,2002
ACE INA,UK,ACE Group,77250,31500,45750,2002
Acuson Corp (Siemens AG),Germany,Siemens AG,0,0,0,2002
AE Staley Manufacturing (Tate & Lyle),UK,Tate & Lyle,28500,12500,16000,2002
AEGON USA (AEGON USA),Netherlands,Aegon NV,164500,73500,91000,2002
AIM Management Group,UK,AMVESCAP,24500,8500,16000,2002
Air Liquide America,France,L'Air Liquide SA,2650,2000,650,2002
Alcatel USA,France,Alcatel,13750,4500,9250,2002
Alcon Laboratories (Nestle SA),Switzerland,Nestle,2000,1000,1000,2002
Allfirst Financial,Ireland,Allied Irish Banks,6320,3820,2500,2002
Allianz of America (Allianz),Germany,Allianz AG Holding,60750,19100,41650,2002
Allied Domecq Spirits & Wine,UK,Allied Domecq,32250,6000,26250,2002
Anglogold Ltd,UK,Anglo American PLC,11850,3000,8850,2002
APL Ltd,Singapore,Neptune Orient Lines Ltd,15360,5250,10110,2002
Aqua-Chem Inc,France,Lyonnaise des Eaux-Dumez Group,0,0,0,2002
ASARCO LLC,Mexico,Nueva Grupo Mexico,2000,0,2000,2002
AstraZeneca Pharmaceuticals (AstraZeneca Pharmaceuticals),UK,AstraZeneca,125800,38050,87750,2002
ATOFINA Chemicals (TOTAL FINA ELF),France,TOTAL FINA ELF,26600,7100,19500,2002
ATOFINA Petrochemicals (TOTAL FINA ELF),France,TOTAL FINA ELF,2500,1000,1500,2002
Aventis Pasteur USA (Aventis),France,Aventis,137040,75790,61250,2002
Aventis Pharmaceuticals (Aventis),France,Aventis,116000,24500,91500,2002
Aventis Pharmaceuticals Products (Aventis),France,Aventis,15267,0,15267,2002
Babcock & Wilcox (McDermott International),Panama,McDermott International,30500,10000,20500,2002
Bacardi USA,UK,Bacardi Ltd,0,0,0,2002
BAE Systems North America (BAE Systems),UK,BAE Systems,391276,149028,242248,2002
Barrick Goldstrike Mines,Canada,Barrick Gold Corp,75000,33500,41500,2002
BASF Corp,Germany,BASF Group,204500,41500,163000,2002
Bayer Corp (Bayer Corp),Germany,Bayer AG,260500,73000,187500,2002
Bayer CropScience (Bayer Corp),Germany,Bayer AG,36000,15500,20500,2002
Bear Creek Corp (Shaklee Corp),Japan,Yamanouchi Pharmaceutical,10150,5050,5100,2002
BHP Holdings,Australia,BHP Limited,1023,400,623,2002
Bird-Johnson Co (Rolls-Royce North America),UK,Rolls-Royce International,3000,500,2500,2002
Blue Circle America,UK,Blue Circle Industries,8500,1000,7500,2002
BOC Group,UK,BOC Group,0,0,0,2002
Bombardier Transportation USA,Canada,Bombardier Inc,24000,10500,13500,2002
BP,UK,BP PLC,175000,65750,109250,2002
Bridgestone Americas,Japan,Bridgestone Corp,60200,24200,36000,2002
Brown & Williamson Tobacco,UK,BAT Industries,242324,44000,198324,2002
Budd Co,Germany,ThyssenKrupp Steel,1000,1000,0,2002
Burson-Marsteller (WPP Group),UK,WPP Group,91540,38040,52500,2002
BWX Technologies (McDermott International),Panama,McDermott International,38650,10050,28600,2002
Cable & Wireless USA,UK,Cable & Wireless PLC,52100,24000,28100,2002
Case New Holland,Italy,Fiat SPA,46500,4500,42000,2002
Celanese Americas Corp,Germany,Celanese AG,74500,22500,52000,2002
Central Soya Co,France,Cereol,11300,2000,9300,2002
CGU Corp,UK,CGNU PLC,0,0,0,2002
Ciba Specialty Chemicals,Switzerland,Ciba Specialty Chemicals Holding,29500,7500,22000,2002
CIBC Oppenheimer,Canada,Canadian Imperial Bank of Commerce,0,0,0,2002
Cooper Industries,Ireland,Cooper Industries Ltd,187500,0,187500,2002
Credit Suisse First Boston (Credit Suisse Group),Switzerland,Credit Suisse Group,298312,135812,162500,2002
Credit Suisse First Boston (USA) (Credit Suisse First Boston),Switzerland,Credit Suisse Group,0,0,0,2002
DaimlerChrysler (DaimlerChrysler),Germany,DaimlerChrysler AG,483090,196590,286500,2002
Diageo North America,UK,Diageo PLC,61000,24000,37000,2002
Eon US,Germany,Eon AG,4850,500,4350,2002
Equitable Companies,France,AXA,104500,39500,65000,2002
Essroc Corp,Italy,Italcementi Group,2600,1500,1100,2002
Farmers Group (Zurich Financial Services),Switzerland,Zurich Financial Services Group,36650,7300,29350,2002
Food Lion,Belgium,Delhaize Group,37750,10000,27750,2002
Fortis Inc,Belgium,Fortis AG,79000,21000,58000,2002
Foster Wheeler,Switzerland,Foster Wheeler PLC,8800,1000,7800,2002
Genentech Inc (Roche Group),Switzerland,Roche Group,146750,83000,63750,2002
GKN Corp,UK,GKN PLC,630,0,630,2002
GlaxoSmithKline (GlaxoSmithKline),UK,GlaxoSmithKline,-4000,-500,-3500,2002
GlaxoSmithKline (GlaxoSmithKline),UK,GlaxoSmithKline,772042,193923,578119,2002
Grand Trunk Western-Illinois Central RR,Canada,Canadian National Railway,21825,12675,9150,2002
Great-West Life & Annuity Insurance,Canada,Power Financial Corp,35550,4050,31500,2002
Greyhound Lines,Canada,Laidlaw,39500,24500,15000,2002
Heineken USA,Netherlands,Heineken NV,12000,8000,4000,2002
Hill & Knowlton (WPP Group),UK,WPP Group,30000,17500,12500,2002
Hoffmann-La Roche (Roche Group),Switzerland,Roche Group,101800,60300,41500,2002
Holcim US,Switzerland,Holcim Ltd,71838,24213,47625,2002
HSBC USA,UK,HSBC Holdings,5330,3000,2330,2002
ING Americas (ING Group),Netherlands,ING Group,149395,52000,97395,2002
Instinet Corp,UK,Reuters Group,67500,23500,44000,2002
International Securities Exchange,Germany,Deutsche Boerse,0,0,0,2002
Jackson National Life Insurance,UK,Prudential PLC,71821,21000,50821,2002
Joseph E Seagram & Sons (Diageo PLC),UK,Diageo PLC,26300,10300,16000,2002
Kennecott Holdings,UK,Rio Tinto PLC,85246,21000,64246,2002
LaFarge North America,France,Lafarge SA,42500,15000,27500,2002
LaSalle Bank (ABN AMRO),Netherlands,ABN Amro Holding,32250,18000,14250,2002
Learjet Inc,Canada,Bombardier Inc,1000,500,500,2002
Lehigh Cement,Germany,Heidelberger Zement,16250,3500,12750,2002
Loral Space & Communications,UK,Loral Space & Communications,96600,74600,22000,2002
Maersk Inc (AP Moller-Maersk),Denmark,AP Moller,53500,16500,37000,2002
Mallinckrodt Pharmaceuticals (Tyco International),Ireland,Tyco International,24000,9000,15000,2002
Massachusetts Financial Services,Canada,Sun Life Financial Services,1000,1000,0,2002
Master Builders Inc,Germany,E.ON AG,0,0,0,2002
McDermott International (McDermott International),Panama,McDermott International,20500,4500,16000,2002
Michigan National Bank,Australia,National Australia Bank,500,0,500,2002
Miller Brewing (SABMiller),UK,SABMiller PLC,4000,4000,0,2002
National Steel Corp,Japan,NKK Corp,0,0,0,2002
Nestle Purina PetCare (Nestle SA),Switzerland,Nestle,26500,5500,21000,2002
Nestle USA (Nestle SA),Switzerland,Nestle,49250,15000,34250,2002
News America Publishing (News Corporation),Australia,News Corp,87710,48000,39710,2002
Novartis Corp (Novartis AG),Switzerland,Novartis AG,175555,43250,132305,2002
Oldcastle Materials,Ireland,CRH PLC,109600,57300,52300,2002
ONDEO Nalco,France,Suez Lyonnaise des Eaux,13100,3000,10100,2002
Organon Inc,Netherlands,Akzo Nobel,0,0,0,2002
PacifiCorp,UK,Scottish Power,10000,2500,7500,2002
Perrier Group of America (Nestle SA),Switzerland,Nestle,7900,3000,4900,2002
Peter Pan Seafoods,Japan,Nichiro Corp,3850,350,3500,2002
Philips Electronics North America,Netherlands,Philips Electronics,69858,10100,59758,2002
Pilkington North America,UK,Pilkington PLC,2500,1000,1500,2002
Pinkerton Tobacco,Sweden,Swedish Match AB,40495,6500,33995,2002
RBC Centura Banks,Canada,Royal Bank of Canada,13500,5750,7750,2002
Reed Elsevier Inc,UK,Reed Elsevier Group,34500,14500,20000,2002
Rolls-Royce North America (Rolls-Royce PLC),UK,Rolls-Royce International,125449,42750,82699,2002
Sagem Morpho Inc,France,Sagem SA,7500,7500,0,2002
SAP America,Germany,SAP Aktiengesellschaft,20100,9000,11100,2002
"Schroder, Salomon et al (Citigroup Inc)",UK,Schroders PLC,0,0,0,2002
Sensormatic Electronics (Tyco International),Ireland,Tyco International,2328,0,2328,2002
Serono Inc,Switzerland,Serono SA,7000,2000,5000,2002
SES Americom,Luxembourg,SES Global,5500,3000,2500,2002
Shaklee Corp (Shaklee Corp),Japan,Yamanouchi Pharmaceutical,1000,1000,0,2002
Shell Oil (Shell Oil),Netherlands,Royal Dutch-Shell Group,127790,31290,96500,2002
Siemens Corp (Siemens AG),Germany,Siemans AG,116998,31999,84999,2002
Siemens Dematic Postal Automation (Siemens AG),Germany,Siemens AG,2500,1500,1000,2002
Smith & Nephew,UK,Smith & Nephew Plc,19000,9000,10000,2002
Sodexho Inc,France,Sodexho Alliance,3350,2250,1100,2002
Solvay Pharmaceuticals,Belgium,Solvay SA,0,0,0,2002
Sony Pictures Entertainment (Sony Corp of America),Japan,Sony Corp,129000,74000,55000,2002
Standard Federal Bank (ABN AMRO),Netherlands,ABN Amro Holding,13100,3250,9850,2002
Syngenta Corp,Switzerland,Syngenta AG,34500,14000,20500,2002
Syntex (USA) Inc,Switzerland,Roche Holdings,10000,8000,2000,2002
T-Mobile USA,Germany,Deutsche Telekom AG,87000,50000,37000,2002
Tractebel North America,France,SUEZ SA,1000,0,1000,2002
Tractebel Power,France,Suez,0,0,0,2002
TransAmerica (AEGON USA),Netherlands,Aegon NV,0,0,0,2002
Tyco Electronics (Tyco International),Ireland,Tyco International,0,0,0,2002
UBS Americas,Switzerland,UBS AG,111400,58400,52000,2002
UnionBanCal Corp,Japan,Bank of Tokyo,13500,3500,10000,2002
United Water Resources,France,SUEZ SA,18150,14650,3500,2002
Universal Studios (Vivendi Universal),France,Vivendi Universal,136500,65500,71000,2002
