address,city,state,zip,longitude,latitude
5720 S. Frontage Rd.,"
Billings",MT,59101,-108.560494,45.747138
957 Cedar Lake Rd,"
Biloxi",MS,39532,-88.935659,30.445751
581 Harry L. Dr,"
Johnson City",NY,13790,-75.97092,42.124717
513 Cahaba Park Circle,"
Birmingham",AL,35242,-86.708318,33.430991
60 State Farm Pkwy,"
Homewood",AL,35209,-86.81964,33.455237
120 Riverchase Pkwy East,"
Birmingham",AL,35244,-86.783656,33.353175
2240 North 12th Street,"
Bismarck",ND,58501,-100.77363,46.829646
3402 North West Jefferson St,"
Blue Springs",MO,64015,-94.304078,39.035186
2613 S. Vista Ave.,"
Boise",ID,83705,-116.214351,43.57857
7965 W. Emerald Street,"
Boise",ID,83704,-116.281134,43.610716
28600 Trails Edge Blvd,"
Bonita Springs",FL,34134,-81.806759,26.320198
165 Hwy 105 Extension,"
Boone",NC,28607,-81.668812,36.215502
309 Preston Blvd,"
Bossier City",LA,71111,-93.712905,32.518181
23 Cummings St,"
Somerville",MA,02145,-71.08477,42.394494
14221 Highway 90,"
Boutte",LA,70039,-90.412395,29.889892
1953 Mel Browning St,"
Bowling Green",KY,42104,-86.418253000000007,36.930559
620 Nikles Dr,"
Bozeman",MT,59715,-111.045599,45.698645
215 Dande Rd,"
Brandon",MS,39042,-90.035571,32.276105
2950 Wood Ridge Blvd,"
Brenham",TX,77833,-96.395518,30.137301
108 Texas Ave,"
Bridge City",TX,77611,-93.849335,30.017066
2000 10th St,"
Bridgeport",TX,76426,-97.756935,33.221609
451 W Albany St,"
Broken Arrow",OK,74012,-95.795626,36.074951
1229 Atlantic Ave.,"
Brooklyn",NY,11216,-73.950257,40.678809
533 3rd Ave,"
Brooklyn",NY,11215,-73.99303,40.669041
1412 Pitkin Ave,"
Brooklyn",NY,11233,-73.921544,40.668313
721 FM 1489,"
Brookshire",TX,77423,-95.966842,29.777448
104 Sweetland Avenue,"
Broussard",LA,70518,-91.948915,30.143272
5051 North Expressway,"
Brownsville",TX,78520,-97.519053,25.979766
103 Market Place Blvd,"
Brownwood",TX,76801,-98.978984,31.730065
165 Warren Mason Blvd,"
Brunswick",GA,31520,-81.523385,31.217181
3 Centerpointe Dr,"
La Palma",CA,90623,-118.031399,33.860411
6619 Transit Rd,"
Williamsville",NY,14221,-78.69662,42.9479
225 East Alsbury Blvd,"
Burleson",TX,76028,-97.316203,32.563868
1 Holiday Park Drive,"
Butte",MT,59701,-112.502603,45.98376
901 Specht Ave,"
Caldwell",ID,83605,-116.6616,43.661903
150 Cracker Barrel Dr,"
Calhoun",GA,30701,-84.915397,34.470756
Av. Tulum Mza. 14 S.M. 4 Lote 2 ,"
Cancun",QR,77500,-86.824616,21.151911
152 Soldiers Colony Rd,"
Canton",MS,39046,-90.068155,32.601797
5335 Broadmoor Circle Northwest,"
Canton",OH,44709,-81.417823,40.857813
55 Hampton Park Blvd,"
Capitol Heights",MD,20743,-76.853506,38.888787
4020 National Parks Highway,"
Carlsbad",NM,88220,-104.231304,32.372932
400 West F St,"
Casper",WY,82601,-106.33081,42.857451
884 Park St.,"
Castle Rock",CO,80109,-104.865564,39.379098
Ejercito Nacional 8211," Col
Partido Iglesias
Juarez",CH,32528,-106.410146,31.69713
1377 South Main Street,"
Cedar City",UT,84720,-113.078844,37.653952
1419 N.US Hwy 67,"
Cedar Hill",TX,75104,-96.91822,32.616565
1220 Park Place NE,"
Cedar Rapids",IA,52402,-91.653626,42.030827
1777 LaRue Dr.,"
Central Point",OR,97502,-122.901017,42.377109
199 Walker Rd,"
Chambersburg",PA,17201,-77.633376,39.932577
1900 Center Dr,"
Champaign",IL,61820,-88.244699,40.138506
11 Ashley Pointe Dr,"
Charleston",SC,29407,-79.962519,32.776676
3127 Sloan Dr,"
Charlotte",NC,28208,-80.920878,35.240873
4900 South Tryon St,"
Charlotte",NC,28217,-80.891167,35.178952
1803 Emmet St N,"
Charlottesville",VA,22901,-78.494269,38.060571
6650 Ringgold Rd.,"
East Ridge",TN,37412,-85.200638,34.989669
7017 Shallowford Rd,"
Chattanooga",TN,37421,-85.158114,35.044501
311 Browns Ferry Rd.,"
Chattanooga",TN,37419,-85.362667,35.030106
5000 New Country Drive,"
Hixson",TN,37343,-85.240859,35.120277
7051 McCutcheon Rd.,"
Chattanooga",TN,37421,-85.15515,35.046216
2410 West Lincolnway,"
Cheyenne",WY,82009,-104.847583,41.120203
One South Franklin,"
Chicago",IL,60606,-87.635308,41.881555
5688 Northridge Dr,"
Gurnee",IL,60031,-87.944161,42.377958
4900A S. Lake Shore Drive,"
Chicago",IL,60615,-87.585842,41.806149
2000 South Lakeside Dr,"
Bannockburn",IL,60015,-87.884592,42.196657
1900 East Oakton St,"
Elk Grove Village",IL,60007,-87.958449,42.022537
1 South 666 Midwest Rd,"
Oakbrook Terrace",IL,60181,-87.973575,41.847782
7255 West 183rd St,"
Tinley Park",IL,60477,-87.794183,41.557432
855 79th St,"
Willowbrook",IL,60527,-87.943136,41.745026
350 Meijer Dr,"
Florence",KY,41042,-84.635646,39.01189
12150 Springfield Pike,"
Springdale",OH,45246,-84.484772,39.300295
9918 Escort Dr,"
Mason",OH,45040,-84.317231,39.294134
11029 Dowlin Dr,"
Cincinnati",OH,45241,-84.438924,39.272016
774 S Lynn Riggs Blvd,"
Claremore",OK,74017,-95.623071,36.302921
251 Holiday Drive,"
Clarksville",TN,37040,-87.280687,36.595634
520 West Bay Area Blvd,"
Webster",TX,77598,-95.133855,29.545224
3301 Ulmerton Rd,"
Clearwater",FL,33762,-82.678522,27.894745
21338 US Hwy 19 North,"
Clearwater",FL,33765,-82.731203,27.966329000000002
5000 Lake Blvd,"
Clearwater",FL,33760,-82.702368,27.866735
107 East Kilpatrick Ave,"
Cleburne",TX,76031,-97.394941,32.370162
4222 West 150 St,"
Cleveland",OH,44135,-81.804382,41.440044
25105 Country Club Blvd,"
North Olmsted",OH,44070,-81.905163,41.414013
6161 Quarry Ln,"
Independence",OH,44131,-81.649205,41.394121
268 East Highland Rd,"
Macedonia",OH,44056,-81.51709,41.299033
130 Interstate Dr. NW,"
Cleveland",TN,37312,-84.89023,35.19401
1004 Hwy 59 South,"
Cleveland",TX,77327,-95.09886,30.331694
1749 Route 9,"
Clifton Park",NY,12065,-73.772059,42.870927
265 Rte 3 East,"
Clifton",NJ,07014,-74.13415,40.827397
2715 Chapman Road,"
Clinton",OK,73601,-98.992745,35.494229
4521 North Prince St,"
Clovis",NM,88101,-103.196299,34.443976
1126 South Hwy 332 West,"
Clute",TX,77531,-95.412173,29.010345
1 Hendry Ave,"
Cocoa Beach",FL,32931,-80.603058,28.368703
1275 North Atlantic Ave,"
Cocoa Beach",FL,32931,-80.610777,28.333593
333 W Ironwood Dr.,"
Coeur d Alene",ID,83814,-116.790947,47.696874
1838 Graham Road,"
College Station",TX,77845,-96.283495,30.579473
607 Texas Ave,"
College Station",TX,77840,-96.333332,30.627416
6 Gateway Drive,"
Collinsville",IL,62234,-90.016968,38.682857
880 East I-20,"
Colorado City",TX,79512,-100.84643,32.409952
4385 Sinton Rd,"
Colorado Springs",CO,80907,-104.829652,38.895653
8155 N Academy Blvd,"
Colorado Springs",CO,80920,-104.803975,38.950545
2750 Geyser Dr,"
Colorado Springs",CO,80906,-104.798017,38.792243
7300 Crestmount Rd,"
Jessup",MD,20794,-76.788753,39.171241
1538 Horseshoe Dr,"
Columbia",SC,29223,-80.946795,34.076073
7333 Garners Ferry Rd,"
Columbia",SC,29209,-80.950136,33.969967
2500 Interstate 70 Dr Southwest,"
Columbia",MO,65203,-92.37588,38.96832
2447 Brice Rd,"
Reynoldsburg",OH,43068,-82.83178,39.936288
6145 Parkcenter Cir ,"
Dublin",OH,43017,-83.133174,40.077369
101 Carrie Lane,"
Columbus",IN,47201,-85.960945,39.198966
1711 Rollins Way,"
Columbus",GA,31904,-84.971236,32.536073
3201 Macon Rd Suite A,"
Columbus",GA,31906,-84.941343,32.483085
2919 Warm Springs Rd,"
Columbus",GA,31909,-84.948231,32.505224
5510 Trabue Rd,"
Columbus",OH,43228,-83.146319,39.980607
2427 Hwy 71 South,"
Columbus",TX,78934,-96.538698,29.690313
4006 Sprayberry Ln,"
Conroe",TX,77303,-95.48315,30.367483
2350 Sanders Road,"
Conway",AR,72032,-92.437121,35.111584
1131 South Jefferson Ave,"
Cookeville",TN,38501,-85.50473,36.133118
3701 University Dr,"
Coral Springs",FL,33065,-80.249797,26.274424
546 South Padre Island Dr,"
Corpus Christi",TX,78405,-97.460103,27.756736
14430 South Padre Island Drive,"
Corpus Christi",TX,78418,-97.221232,27.620967
5155 I-37 North,"
Corpus Christi",TX,78408,-97.45181,27.80309
10446 IH37 Access Rd,"
Corpus Christi",TX,78410,-97.571619,27.8477
201 Buddy Ganem Drive,"
Portland",TX,78374,-97.310534,27.898401
6225 South Padre Island Dr,"
Corpus Christi",TX,78412,-97.358856,27.701641
2020 Regal Dr,"
Corsicana",TX,75109,-96.440311,32.100185
677 N. Baylor Ave.,"
Cotulla",TX,78014,-99.244899,28.444643
4 Universal Blvd,"
Coventry",RI,02816,-71.549986,41.662895
9159 Access Rd NW ,"
Covington",GA,30014,-83.883751,33.608474
2054 St. Joseph Drive,"
Cullman",AL,35058,-86.8737453,34.2094288
27130 Hwy 290,"
Cypress",TX,77429,-95.720083,29.981833
801 Liberal Street,"
Dalhart",TX,79022,-102.514407,36.069353
4001 Scots Legacy Dr,"
Arlington",TX,76015,-97.123011,32.678811
13175 North Central Expressway,"
Dallas",TX,75243,-96.763272,32.92832
4850 West John Carpenter Frwy,"
Irving",TX,75063,-97.015725,32.917773
302 S. Houston St.,"
Dallas",TX,75202,-96.807075,32.777244
380 E Palace Parkway,"
Grand Prairie",TX,75050,-97.006275,32.7613
2131 West I-20,"
Grand Prairie",TX,75052,-97.032093,32.675316
1000 Dowdy Ferry Rd,"
Hutchins",TX,75141,-96.705499,32.649274
2421 Walnut Hill Lane,"
Dallas",TX,75229,-96.896675,32.882208
4225 North MacArthur Blvd,"
Irving",TX,75038,-96.959806,32.865663
8300 John W. Carpenter Fwy.,"
Dallas",TX,75247,-96.876888,32.822708
118 East US Hwy 80,"
Mesquite",TX,75149,-96.59466,32.78878
10001 North Central Expressway,"
Dallas",TX,75231,-96.770662,32.883259
1310 Marketplace Dr.,"
Garland",TX,75041,-96.647886,32.85924
4800 West Plano Pkwy,"
Plano",TX,75093,-96.792346,33.015717
4440 North Central Expressway,"
Dallas",TX,75206,-96.786536,32.819817
715 College Dr,"
Dalton",GA,30720,-85.002815,34.768674
116 Newtown Rd,"
Danbury",CT,06810,-73.407007,41.415971
3330 East Kimberly Rd,"
Davenport",IA,52807,-90.52328,41.55219
1771 Research Park Dr,"
Davis",CA,95618,-121.731177,38.540847
19 Weller Dr,"
Tipp City",OH,45371,-84.191801,39.962593
2725 W. International Speedway Blvd,"
Daytona Beach",FL,32114,-81.081998,29.173332
918 Beltline Rd Southwest,"
Decatur",AL,35601,-87.002116,34.56093
1405 South Hwy 287,"
Decatur",TX,76234,-97.58883,33.22082
1400 East Blvd,"
Deer Park",TX,77536,-95.099553,29.699042
351 West Hillsboro Blvd,"
Deerfield Beach",FL,33441,-80.109547,26.319618
100 Southwest 12th Ave,"
Deerfield Beach",FL,33442,-80.11924,26.31657
2005 Veterans Blvd,"
Del Rio",TX,78840,-100.905443,29.383947
4300 East Pine St,"
Deming",NM,88030,-107.71328,32.2716
801 US Highway 75 North,"
Denison",TX,75020,-96.58695,33.76482
4465 North I-35,"
Denton",TX,76207,-97.176624,33.236448
6801 Tower Rd,"
Denver",CO,80249,-104.772169,39.820158
1011 South Abilene St,"
Aurora",CO,80012,-104.826631,39.69831
902 West Dillon Rd,"
Louisville",CO,80027,-105.162113,39.958948
3500 Park Ave West,"
Denver",CO,80216,-104.994244,39.766273
1975 South Colorado Blvd,"
Denver",CO,80222,-104.940977,39.680346
9009 East Arapahoe Rd,"
Greenwood Village",CO,80112,-104.884464,39.596035
4460 Peoria Street,"
Denver",CO,80239,-104.845888,39.776908
3301 Youngfield Service Rd,"
Golden",CO,80401,-105.144802,39.76366
345 West 120th Ave,"
Westminster",CO,80234,-104.991338,39.914681
7190 West Hampden Ave,"
Lakewood",CO,80227,-105.076236,39.65237
7077 South Clinton St,"
Greenwood Village",CO,80112,-104.878801,39.588303
8701 Turnpike Dr,"
Westminster",CO,80030,-105.051831,39.852979
1390 Northwest 118th St,"
Clive",IA,50325,-93.77979,41.602503
641 North I-35 East,"
DeSoto",TX,75115,-96.824712,32.601089
41211 Ford Rd,"
Canton",MI,48187,-83.446988,42.321593
30847 Flynn Dr,"
Romulus",MI,48174,-83.341765,42.243165
12888 Reeck Rd,"
Southgate",MI,48195,-83.226277,42.213395
45311 Park Ave,"
Utica",MI,48315,-83.010265,42.628264
4105 West Airport Fwy,"
Irving",TX,75062,-97.00747,32.837684
1809 Hwy 121,"
Bedford",TX,76021,-97.122387,32.839528
431 Airport Fwy,"
Euless",TX,76040,-97.089123,32.836208
552 12th Street West,"
Dickinson",ND,58601,-102.79322,46.894962
2400 West Wyatt Earp Blvd,"
Dodge City",KS,67801,-100.047327,37.754532
3593 Ross Clark Circle,"
Dothan",AL,36303,-85.426361,31.248682
6275 Dublin Blvd,"
Dublin",CA,94568,-121.907895,37.706195
101 Travel Center Blvd,"
Dublin",GA,31021,-82.93876,32.48694
1805 Maple Grove Road,"
Duluth",MN,55811,-92.164386,46.810138
1912 South Dumas Ave,"
Dumas",TX,79029,-101.975216,35.842221
125 Mercury Village Dr,"
Durango",CO,81303,-107.869085,37.239903
417 Criswell Blvd,"
Durant",OK,74701,-96.405721,34.001634
4414 Durham Chapel Hill Blvd,"
Durham",NC,27707,-78.972184,35.964604
1910 Westpark Dr,"
Durham",NC,27713,-78.891445,35.907959
2525 E. Main St,"
Eagle Pass",TX,78852,-100.475012,28.709991
10150 IH 20,"
Eastland",TX,76448,-98.791702,32.4005
2112B Emmorton Park Rd,"
Edgewood",MD,21040,-76.309775,39.453739
200 Meline Dr.,"
Edmond",OK,73034,-97.4283,35.65176
1103 Avenue of Mid America,"
Effingham",IL,62401,-88.560206,39.139006
2303 Junction City Rd,"
El Dorado",AR,71730,-92.640297,33.197247
6140 Gateway Blvd E,"
El Paso",TX,79905,-106.40824,31.780982
7620 North Mesa,"
El Paso",TX,79912,-106.567476,31.838966
9125 Gateway West,"
El Paso",TX,79925,-106.366363,31.766203
7944 Gateway East,"
El Paso",TX,79915,-106.346905,31.751991
11033 Gateway Blvd West,"
El Paso",TX,79935,-106.333346,31.745869
7550 Remcon Circle,"
El Paso",TX,79912,-106.567593,31.837635
210 Commerce Dr,"
Elizabethtown",KY,42701,-85.832856,37.709165
2611 E Hwy 66,"
Elk City",OK,73644,-99.37393,35.422829
101 Crossing Shopping Mall,"
Elkview",WV,25071,-81.500492,38.456907
540 Saw Mill River Rd,"
Elmsford",NY,10523,-73.817392,41.07352
1591 Great Basin Blvd,"
Ely",NV,89301,-114.87072,39.2466
2930 Eaglecrest Drive,"
Emporia",KS,66801,-96.218974,38.421794
4914 W. Owen K Garriott Rd,"
Enid",OK,73703,-97.938471,36.391411
110 South Sonoma Trail,"
Ennis",TX,75119,-96.614224,32.336097
7820 Perry Hwy,"
Erie",PA,16509,-80.041027,42.070789
155 Day Island Rd,"
Eugene",OR,97401,-123.080698,44.05829
8015 East Division St,"
Evansville",IN,47715,-87.454931,37.978519
12619 4th Ave West,"
Everett",WA,98204,-122.23404,47.88329
4920 Dale Rd,"
Fairbanks",AK,99709,-147.865998,64.824256
2540 University Blvd.,"
Fairborn",OH,45324,-84.064157,39.774836
316 Pittman Road,"
Fairfield",CA,94534,-122.127576,38.219468
38 Two Bridges Rd,"
Fairfield",NJ,07004,-74.2733,40.89288
1010 West Commerce St,"
Fairfield",TX,75840,-96.177374,31.726433
4317 Rockaway Beach Blvd.,"
Far Rockaway",NY,11692,-73.775194,40.593548
2355 46th St South,"
Fargo",ND,58104,-96.863968,46.842647
675 Scott Ave,"
Farmington",NM,87401,-108.191533,36.729928
720 E. Millsap Rd,"
Fayetteville",AR,72703,-94.147177,36.115165
1001 Veterans Blvd,"
Festus",MO,63028,-90.403732,38.214334
"2015 South Beulah
Blvd","
Flagstaff",AZ,86001,-111.663615,35.180382
2123 West Lucas Street,"
Florence",SC,29501,-79.804776,34.234608
1910 10th Street,"
Floresville",TX,78114,-98.145322,29.134948
400 Russell Parkway,"
Forsyth",GA,31029,-83.940985,33.044017
3709 East Mulberry St,"
Fort Collins",CO,80524,-105.008447,40.580898
5070 North State Rd 7,"
Fort Lauderdale",FL,33319,-80.202869,26.188224
9521 Market Pl Rd,"
Fort Myers",FL,33912,-81.79743,26.54926
4850 South Cleveland Ave,"
Fort Myers",FL,33907,-81.8722,26.59
6700 Boston St,"
Fort Smith",AR,72903,-94.359042,35.354308
1537 North Hwy 285,"
Fort Stockton",TX,79735,-102.908379,30.898494
3 Miracle Strip Pkwy SW,"
Fort Walton Beach",FL,32548,-86.613645,30.404151
8250 Anderson Blvd,"
Fort Worth",TX,76120,-97.174065,32.761208
5800 Quebec St,"
Fort Worth",TX,76135,-97.424719,32.802729
653 N.E. Loop 820,"
Hurst",TX,76053,-97.207912,32.82124
4700 North Fwy,"
Fort Worth",TX,76137,-97.31149,32.826286
4900 Bryant Irvin Rd,"
Fort Worth",TX,76132,-97.416347,32.678391
7310 Calmont Avenue,"
Fort Worth",TX,76116,-97.442961,32.734523
190 N. 10th Street,"
Fowler",CA,93625,-119.683948,36.627923
2150 W Holiday Rd,"
Frankfort",IN,46041,-86.545326,40.277811
1465 East Main St,"
Fredericksburg",TX,78624,-98.849192,30.253999
46200 Landing Pkwy,"
Fremont",CA,94538,-121.944883,37.488862
5077 North Cornelia Ave,"
Fresno",CA,93722,-119.880572,36.809946
330 East Fir Ave,"
Fresno",CA,93720,-119.7833294999,36.8394719
2926 Tulare,"
Fresno",CA,93721,-119.780076,36.740459
570 Raptor Rd,"
Fruita",CO,81521,-108.739489,39.153285
2620 North 26th Ave,"
Hollywood",FL,33020,-80.160383,26.036387
999 West Cypress Creek Rd,"
Fort Lauderdale",FL,33309,-80.157355,26.203442
5727 North Federal Hwy,"
Fort Lauderdale",FL,33308,-80.11096,26.19822
8101 Peters Rd,"
Plantation",FL,33324,-80.255596,26.106215
3800 West Commercial Blvd,"
Fort Lauderdale",FL,33309,-80.200029,26.186181
20091 Summerlin Rd,"
Fort Myers",FL,33908,-81.968744,26.493299
2655 Crossroads Pkwy,"
Fort Pierce",FL,34945,-80.396533,27.417443
2902 East Dupont Rd,"
Fort Wayne",IN,46825,-85.105537,41.178818
3346 Forest Hill Circle,"
Ft. Worth",TX,76140,-97.27201,32.659996
1207 Boots Blvd,"
Fultondale",AL,35068,-86.800624,33.611033
920 Northwest 69th Terrace,"
Gainesville",FL,32605,-82.416679,29.661696
4201 North I-35,"
Gainesville",TX,76240,-97.15279,33.6741
3880 East Hwy 66,"
Gallup",NM,87301,-108.665584,35.531371
1402 Seawall Blvd,"
Galveston",TX,77550,-94.77983,29.296808
821 Stewart Ave,"
Garden City",NY,11530,-73.603514,40.733909
375 E. I-30,"
Garland",TX,75043,-96.573204,32.849749
450 E Boxelder Rd,"
Gillette",WY,82718,-105.498311,44.27636
101 West BO Gibbs Blvd,"
Glen Rose",TX,76043,-97.757828,32.238341
1717 N Merrill Avenue,"
Glendive",MT,59330,-104.69671,47.12243
1631 Water Street,"
Gonzales",TX,78629,-97.462424,29.51254
2816 S. Cabelas,"
Gonzales",LA,70737,-90.950388,30.207711
120 South Cartwright Court,"
Goodlettsville",TN,37072,-86.705931,36.322419
880 Harbor Lakes Dr,"
Granbury",TX,76048,-97.765955,32.435192
4051 Garden View Drive,"
Grand Forks",ND,58201,-97.086338,47.912884
2761 Crossroads Blvd,"
Grand Junction",CO,81506,-108.541096,39.114512
243 Northeast Morgan Ln,"
Grants Pass",OR,97526,-123.319409,42.461893
600 River Dr South,"
Great Falls",MT,59405,-111.307029,47.499039
1201 Lanada Rd,"
Greensboro",NC,27407,-79.893456,36.053709
65 West Orchard Park Dr,"
Greenville",SC,29615,-82.3380069,34.8582288
1281 South Park Dr.,"
Greenwood",IN,46143,-86.075996,39.615588
3962 Jackpot Rd,"
Grove City",OH,43123,-83.045397,39.881083
210 Heritage Pkwy,"
Gun Barrel City",TX,75156,-96.141529,32.333514
406 Heather Road,"
Guthrie",OK,73044,-97.395373,35.881398
42126 Veterans Avenue,"
Hammond",LA,70403,-90.455997,30.468844
990 Eisenhower Blvd,"
Harrisburg",PA,17111,-76.804667,40.238827
265 N. Hershey Road,"
Harrisburg",PA,17112,-76.713731,40.351908
64 Ella Grasso Turnpike,"
Windsor Locks",CT,06096,-72.672796,41.919471
109 Lundy Lane,"
Hattiesburg",MS,39401,-89.349724,31.327722
701 Washington Street,"
Helena",MT,59601,-112.003261,46.591605
9041 Brighton Road,"
Henderson",CO,80640,-104.91057,39.861104
12000 Mariposa Rd,"
Hesperia",CA,92345,-117.346028,34.468909
1607 Fairgrove Church Rd,"
Conover",NC,28613,-81.261841,35.700266
1513 Old Brandon Rd,"
Hillsboro",TX,76645,-97.098284,32.017628
1740 E. Oglethorpe Hwy,"
Hinesville",GA,31313,-81.567189,31.858523
3312 North Lovington Hwy,"
Hobbs",NM,88240,-103.157503,32.736833
291 Financial Dr,"
Hollister",MO,65672,-93.232148,36.60644
345 Griffin Bell Dr.,"
Hopkinsville",KY,42240,-87.4758,36.824742
721 Southwest Dr,"
Horn Lake",MS,38637,-90.002269,34.961608
4253 Central Avenue,"
Hot Springs",AR,71913,-93.07142,34.45217
189 Synergy Center Blvd,"
Houma",LA,70360,-90.76027,29.6295
5215 I-10 East,"
Baytown",TX,77521,-94.97842,29.805595
15510 John F. Kennedy Blvd,"
Houston",TX,77032,-95.331143,29.942766
18201 Kenswick Dr,"
Humble",TX,77338,-95.295983,29.984473
5520 East Sam Houston Pkwy North,"
Houston",TX,77015,-95.162637,29.800763
