subgroup,date,approval,disapproval
Voters,2020-06-24,41.286854,55.133248
Voters,2020-06-23,41.669989,54.722589
Adults,2020-06-23,39.919344,55.729882
Voters,2020-06-22,41.757222,54.884493
Adults,2020-06-22,39.897809,55.725231
Voters,2020-06-21,42.352375,54.696737
Adults,2020-06-21,39.91204,55.781951
Adults,2020-06-20,39.91204,55.781951
Voters,2020-06-20,42.352375,54.696737
Adults,2020-06-19,39.948969,55.836371
Voters,2020-06-19,42.352375,54.696737
Voters,2020-06-18,42.400976,54.695885
Adults,2020-06-18,39.975879,55.762485
Voters,2020-06-17,41.592103,55.114669
Adults,2020-06-17,39.747179,55.712369
Voters,2020-06-16,41.826764,54.833596
Adults,2020-06-16,39.969497,55.489367
Adults,2020-06-15,39.969497,55.489367
Voters,2020-06-15,41.817059,54.867788
Voters,2020-06-14,41.919534,54.327186
Adults,2020-06-14,40.198758,55.249593
Adults,2020-06-13,40.198758,55.249593
Voters,2020-06-13,41.919534,54.327186
Adults,2020-06-12,40.198758,55.249593
Voters,2020-06-12,41.919534,54.327186
Voters,2020-06-11,41.520222,54.725654
Adults,2020-06-11,40.198758,55.249593
Adults,2020-06-10,40.152325,55.143281
Voters,2020-06-10,41.791798,54.972925
Adults,2020-06-09,40.098825,55.156679
Voters,2020-06-09,41.733794,54.905326
Voters,2020-06-08,41.8713,54.74364
Adults,2020-06-08,40.087201,55.153286
Voters,2020-06-07,42.282863,54.062353
Adults,2020-06-07,40.895963,54.170327
Adults,2020-06-06,40.895963,54.170327
Voters,2020-06-06,42.203073,54.106187
Voters,2020-06-05,42.203073,54.106187
Adults,2020-06-05,40.895963,54.170327
Voters,2020-06-04,42.379172,53.640724
Adults,2020-06-04,41.182024,53.277058
Adults,2020-06-03,42.650641,53.757567
Voters,2020-06-03,42.70874,53.761675
Voters,2020-06-02,42.869312,54.199645
Adults,2020-06-02,42.147774,54.25964
Adults,2020-06-01,42.629471,53.620187
Voters,2020-06-01,43.201541,53.763417
Voters,2020-05-31,43.388398,53.407222
Adults,2020-05-31,43.126314,53.101491
Adults,2020-05-30,42.551211,53.377343
Voters,2020-05-30,42.90888,53.676659
Adults,2020-05-29,42.551211,53.377343
Voters,2020-05-29,42.90888,53.676659
Voters,2020-05-28,42.912593,53.782857
Adults,2020-05-28,42.552145,53.301152
Voters,2020-05-27,42.714451,53.962761
Adults,2020-05-27,42.509956,53.315654
Adults,2020-05-26,42.756754,53.453191
Voters,2020-05-26,42.812703,53.806931
Adults,2020-05-25,42.730804,53.364728
Voters,2020-05-25,42.800166,53.727529
Voters,2020-05-24,43.037367,53.606342
Adults,2020-05-24,42.730804,53.364728
Voters,2020-05-23,43.037367,53.606342
Adults,2020-05-23,42.730804,53.364728
Adults,2020-05-22,42.730804,53.364728
Voters,2020-05-22,43.037367,53.606342
Voters,2020-05-21,43.228182,53.413231
Adults,2020-05-21,42.606297,53.321552
Adults,2020-05-20,43.364133,52.308899
Voters,2020-05-20,43.800054,52.490543
Adults,2020-05-19,43.587932,52.286891
Voters,2020-05-19,43.702583,52.647876
Voters,2020-05-18,44.102952,52.172594
Adults,2020-05-18,43.789593000000004,51.785875
Adults,2020-05-17,43.868388,51.63984
Voters,2020-05-17,44.221837,52.075628
Adults,2020-05-16,43.868388,51.63984
Voters,2020-05-16,44.221837,52.075628
Voters,2020-05-15,44.288291,51.999665
Adults,2020-05-15,43.868388,51.63984
Voters,2020-05-14,44.292958,51.981953
Adults,2020-05-14,43.279756,51.975325
Adults,2020-05-13,43.266949,51.878251
Voters,2020-05-13,44.297034,51.855194
Voters,2020-05-12,44.654207,51.547828
Adults,2020-05-12,43.339985,51.667014
Adults,2020-05-11,43.461749,50.849891
Voters,2020-05-11,44.176054,52.019713
Voters,2020-05-10,44.22521,51.896437
Adults,2020-05-10,43.322878,50.617221
Adults,2020-05-09,43.322878,50.617221
Voters,2020-05-09,44.22521,51.896437
Adults,2020-05-08,43.322878,50.617221
Voters,2020-05-08,44.105623,51.994272
Voters,2020-05-07,44.056065,52.005635
Adults,2020-05-07,43.415405,50.477516
Adults,2020-05-06,43.556467,50.233739
Voters,2020-05-06,44.069444,52.062152
Adults,2020-05-05,43.46774,50.196977
Voters,2020-05-05,43.621702,52.24917
Voters,2020-05-04,43.3071,52.535393
Adults,2020-05-04,44.031378,49.523166
Voters,2020-05-03,43.145933,52.42157
Adults,2020-05-03,43.984782,49.336269
Adults,2020-05-02,43.984782,49.336269
Voters,2020-05-02,43.145933,52.42157
Voters,2020-05-01,43.035872,52.504502
Adults,2020-05-01,43.984782,49.336269
Voters,2020-04-30,42.842148,52.644868
Adults,2020-04-30,43.659526,51.651923
Voters,2020-04-29,42.723025,52.614647
Adults,2020-04-29,43.021307,52.159112
Adults,2020-04-28,43.156577,51.925153
Voters,2020-04-28,42.691683,52.710678
Adults,2020-04-27,43.134294,52.092446
Voters,2020-04-27,43.652574,52.622846
Voters,2020-04-26,43.815235,52.459453
Adults,2020-04-26,43.256444,51.904479
Adults,2020-04-25,43.256444,51.904479
Voters,2020-04-25,43.815235,52.459453
Adults,2020-04-24,43.256444,51.904479
Voters,2020-04-24,43.816765,52.398494
Voters,2020-04-23,43.776987,52.476629
Adults,2020-04-23,43.278319,52.127499
Voters,2020-04-22,43.933659,52.284721
Adults,2020-04-22,43.21908,52.138887
Adults,2020-04-21,43.219237,51.955577
Voters,2020-04-21,44.238495,52.15145
Voters,2020-04-20,44.318684,52.271036
Adults,2020-04-20,43.788779,51.854119
Adults,2020-04-19,43.729986,51.718706
Voters,2020-04-19,44.455582,52.019311
Voters,2020-04-18,44.452591,52.070581
Adults,2020-04-18,43.729986,51.718706
Adults,2020-04-17,43.729986,51.718706
Voters,2020-04-17,44.390624,52.183793
Adults,2020-04-16,43.729986,51.718706
Voters,2020-04-16,44.477315,52.129322
Voters,2020-04-15,44.7615,51.533103
Adults,2020-04-15,43.994962,50.842083
Voters,2020-04-14,44.645348,51.774275
Adults,2020-04-14,43.764737,50.748517
Voters,2020-04-13,44.732763,51.747912
Adults,2020-04-13,43.65151,50.741525
Adults,2020-04-12,43.737121,50.141861
Voters,2020-04-12,44.941647,51.472969
Adults,2020-04-11,43.753236,50.112176
Voters,2020-04-11,45.002785,51.426613
Voters,2020-04-10,44.938443,51.52164
Adults,2020-04-10,43.746099,50.114895
Adults,2020-04-09,43.731399,49.90412
Voters,2020-04-09,45.358204,51.098136
Voters,2020-04-08,45.186756,51.312115
Adults,2020-04-08,43.928068,49.688209
Adults,2020-04-07,45.098854,49.136128
Voters,2020-04-07,45.51366,51.073382
Adults,2020-04-06,45.098854,49.136128
Voters,2020-04-06,45.482457,51.026615
Voters,2020-04-05,45.621096,50.911909
Adults,2020-04-05,45.945921,49.325406
Adults,2020-04-04,46.012938,49.088854
Voters,2020-04-04,45.701958,50.797167
Adults,2020-04-03,46.012938,49.088854
Voters,2020-04-03,45.777346,50.77266
Voters,2020-04-02,46.014258,50.636093
Adults,2020-04-02,45.585115,49.406728
Voters,2020-04-01,46.334424,50.251812
Adults,2020-04-01,45.816386,49.103169
Adults,2020-03-31,45.555048,49.565887
Voters,2020-03-31,45.908538,50.54636
Voters,2020-03-30,45.855167,50.533752
Adults,2020-03-30,45.668993,49.322072
Adults,2020-03-29,46.006565,49.016739
Voters,2020-03-29,46.196054,50.245697
Voters,2020-03-28,46.260866,50.176574
Adults,2020-03-28,46.098665,48.888298
Adults,2020-03-27,46.098665,48.888298
Voters,2020-03-27,46.242087,50.181704
Adults,2020-03-26,45.272299,50.288112
Voters,2020-03-26,45.500942,50.890813
Voters,2020-03-25,45.042247,50.735027
Adults,2020-03-25,44.688531,51.064189
Adults,2020-03-24,44.613072,51.045832
Voters,2020-03-24,44.969927,50.739752
Voters,2020-03-23,44.286483,51.395058
Adults,2020-03-23,43.500766,52.271777
Adults,2020-03-22,42.521573,53.357601
Voters,2020-03-22,43.338067,52.074268000000004
Adults,2020-03-21,42.521573,53.357601
Voters,2020-03-21,43.338067,52.074268000000004
Voters,2020-03-20,43.338067,52.074268000000004
Adults,2020-03-20,42.521573,53.357601
Voters,2020-03-19,43.942604,52.093956
Adults,2020-03-19,43.707569,52.129788
Voters,2020-03-18,43.723324,52.180998
Adults,2020-03-18,42.283724,52.827204
Voters,2020-03-17,43.849942,52.093898
Adults,2020-03-17,42.197986,52.755507
Adults,2020-03-16,41.669307,53.476684
Voters,2020-03-16,43.855668,52.44601
Voters,2020-03-15,43.699202,52.350399
Adults,2020-03-15,41.706265,53.407293
Adults,2020-03-14,41.706265,53.407293
Voters,2020-03-14,43.348265,52.652942
Adults,2020-03-13,41.706265,53.407293
Voters,2020-03-13,43.348265,52.652942
Adults,2020-03-12,41.851013,53.233543
Voters,2020-03-12,43.264426,52.706389
Voters,2020-03-11,43.243008,52.786369
Adults,2020-03-11,41.873565,53.246121
Voters,2020-03-10,43.615096,52.728709
Adults,2020-03-10,42.103436,53.180746
Adults,2020-03-09,42.164667,53.136179
Voters,2020-03-09,43.648825,52.740924
Voters,2020-03-08,43.325293,53.030179
Adults,2020-03-08,41.915659,53.164789
Voters,2020-03-07,43.325293,53.030179
Adults,2020-03-07,41.915659,53.164789
Voters,2020-03-06,43.325293,53.030179
Adults,2020-03-06,41.915659,53.164789
Adults,2020-03-05,41.950918,53.138018
Voters,2020-03-05,43.439084,52.878107
Adults,2020-03-04,41.869315,53.042271
Voters,2020-03-04,43.830943,52.462662
Voters,2020-03-03,43.757786,52.716857
Adults,2020-03-03,41.90245,53.296993
Voters,2020-03-02,43.730251,52.792261
Adults,2020-03-02,41.470269,53.507357
Voters,2020-03-01,44.032557,52.464612
Adults,2020-03-01,41.424187,53.557556
Adults,2020-02-29,41.424187,53.557556
Voters,2020-02-29,44.032557,52.464612
Adults,2020-02-28,41.526025,53.488407
Voters,2020-02-28,44.17519,52.292412
Voters,2020-02-27,44.094298,51.985257
Adults,2020-02-27,41.526025,53.488407
Voters,2020-02-26,44.015076,52.071253
Adults,2020-02-26,41.526025,53.488407
Voters,2020-02-25,44.219495,51.813526
Adults,2020-02-25,41.436174,53.655948
Adults,2020-02-24,41.621152,53.405953
Voters,2020-02-24,44.033721,52.019836
Voters,2020-02-23,44.09074,51.927147
Adults,2020-02-23,41.621266,53.405936
Adults,2020-02-22,41.621266,53.405936
Voters,2020-02-22,44.09074,51.927147
Voters,2020-02-21,44.09074,51.927147
Adults,2020-02-21,41.621266,53.405936
Voters,2020-02-20,45.210504,50.713952
Adults,2020-02-20,42.453035,52.483543
Adults,2020-02-19,42.397958,52.329106
Voters,2020-02-19,45.79354,50.131318
Adults,2020-02-18,42.353427,52.498854
Voters,2020-02-18,45.648356,50.012939
Voters,2020-02-17,44.682075,51.658793
Adults,2020-02-17,42.353427,52.498854
Voters,2020-02-16,44.050822,52.114048
Adults,2020-02-16,42.316982,52.473988
Adults,2020-02-15,42.316982,52.473988
Voters,2020-02-15,43.980874,52.153646
Adults,2020-02-14,42.316982,52.473988
Voters,2020-02-14,43.980874,52.153646
Adults,2020-02-13,42.316982,52.473988
Voters,2020-02-13,44.016157,52.204223
Voters,2020-02-12,44.320303,51.789249
Adults,2020-02-12,42.316982,52.473988
Voters,2020-02-11,44.241162,51.938022
Adults,2020-02-11,42.569932,52.389968
Voters,2020-02-10,44.475435,51.739699
Adults,2020-02-10,42.738857,52.258416
Voters,2020-02-09,44.315428,51.771871
Adults,2020-02-09,42.908631,52.066139
Adults,2020-02-08,42.908631,52.066139
Voters,2020-02-08,44.315428,51.771871
Voters,2020-02-07,44.315394,51.772042
Adults,2020-02-07,42.908619,52.06628
Adults,2020-02-06,42.999762,51.983416
Voters,2020-02-06,44.143581,52.065025
Voters,2020-02-05,43.785319,52.297462
Adults,2020-02-05,42.521909,52.336885
Adults,2020-02-04,42.562989,52.257319
Voters,2020-02-04,44.067537,52.228955
Adults,2020-02-03,42.180371,52.525175
Voters,2020-02-03,44.076662,52.194396
Voters,2020-02-02,44.322535,51.896759
Adults,2020-02-02,42.378287,52.30828
Adults,2020-02-01,42.378287,52.30828
Voters,2020-02-01,44.233143,52.02111
Adults,2020-01-31,42.378287,52.30828
Voters,2020-01-31,44.343219,51.875146
Voters,2020-01-30,44.26148,51.964505
Adults,2020-01-30,41.221578,53.762664
Voters,2020-01-29,44.330772,51.885109
Adults,2020-01-29,41.365332,53.442971
Adults,2020-01-28,41.620321,53.447527
Voters,2020-01-28,44.760909,51.559897
Voters,2020-01-27,44.87548,51.692546
Adults,2020-01-27,41.599768,53.470903
Adults,2020-01-26,41.860138,53.263666
Voters,2020-01-26,44.825867,51.755869
Voters,2020-01-25,44.827291,51.485976
Adults,2020-01-25,41.824998,53.240979
Adults,2020-01-24,41.824998,53.240979
Voters,2020-01-24,44.827291,51.485976
Adults,2020-01-23,41.050393,54.390733
Voters,2020-01-23,43.952599,52.281616
Voters,2020-01-22,42.908049,53.233921
Adults,2020-01-22,41.008391,54.43823
Adults,2020-01-21,41.171095,54.15958
Voters,2020-01-21,42.893962,53.216538
Voters,2020-01-20,43.86012,52.139452
Adults,2020-01-20,41.591385,53.454896
Adults,2020-01-19,40.825079,53.895235
Voters,2020-01-19,43.459467,52.611509
Adults,2020-01-18,40.825079,53.895235
Voters,2020-01-18,43.459467,52.611509
Voters,2020-01-17,43.459467,52.611509
Adults,2020-01-17,40.825079,53.895235
Voters,2020-01-16,43.60321,52.372832
Adults,2020-01-16,40.850083,53.846841
Voters,2020-01-15,43.199324,52.646051
Adults,2020-01-15,40.882533,53.823655
Voters,2020-01-14,43.465981,52.381235
Adults,2020-01-14,41.013822,53.657616
Adults,2020-01-13,41.034345,53.614264
Voters,2020-01-13,43.423036,52.363178
Voters,2020-01-12,42.874007,53.024374
Adults,2020-01-12,40.571997,54.203202
Adults,2020-01-11,40.571997,54.203202
Voters,2020-01-11,42.874007,53.024374
Adults,2020-01-10,40.571997,54.203202
Voters,2020-01-10,42.874007,53.024374
Adults,2020-01-09,40.669623,54.091122
Voters,2020-01-09,42.830361,53.062583
Voters,2020-01-08,42.731808,53.184104
Adults,2020-01-08,40.718772,54.024778
Voters,2020-01-07,42.948346,53.066605
Adults,2020-01-07,40.752624,53.972635
Adults,2020-01-06,41.166023,53.827337
Voters,2020-01-06,43.461466,52.580852
Voters,2020-01-05,43.630267,52.48222
Adults,2020-01-05,41.151553,53.735925
Voters,2020-01-04,43.630267,52.48222
Adults,2020-01-04,41.151553,53.735925
Voters,2020-01-03,43.630267,52.48222
Adults,2020-01-03,41.151553,53.735925
Adults,2020-01-02,41.143823,53.753895
Voters,2020-01-02,43.439696,52.745274
Adults,2020-01-01,41.501866,53.287316
Voters,2020-01-01,43.439696,52.745274
Voters,2019-12-31,43.433428,52.754957
Adults,2019-12-31,41.502059,53.331658
Voters,2019-12-30,43.295235,52.850635
Adults,2019-12-30,41.532126,53.309184
Voters,2019-12-29,43.334989,52.791836000000004
Adults,2019-12-29,41.529158,53.254199
Adults,2019-12-28,41.529158,53.254199
Voters,2019-12-28,43.342017,52.785872
Adults,2019-12-27,41.529158,53.254199
Voters,2019-12-27,43.342017,52.785872
Voters,2019-12-26,43.464971,52.704941
Adults,2019-12-26,41.529158,53.254199
Voters,2019-12-25,43.460102,52.69767
Adults,2019-12-25,41.529158,53.254199
Voters,2019-12-24,43.505776,52.677392
Adults,2019-12-24,41.562748,53.21824
Adults,2019-12-23,41.562748,53.21824
Voters,2019-12-23,43.481986,52.719654
Voters,2019-12-22,44.393803,51.817597
Adults,2019-12-22,42.154385,52.533356
Adults,2019-12-21,42.154385,52.533356
Voters,2019-12-21,44.393803,51.817597
Voters,2019-12-20,44.393803,51.817597
Adults,2019-12-20,42.154385,52.533356
Voters,2019-12-19,44.591513,51.638629
Adults,2019-12-19,42.171758,52.462082
Adults,2019-12-18,42.167197,52.623452
Voters,2019-12-18,44.589122,51.686727
Adults,2019-12-17,42.30916,52.799462
Voters,2019-12-17,44.845494,51.48896
Voters,2019-12-16,44.436099,51.862087
Adults,2019-12-16,41.621896,53.228121
Adults,2019-12-15,40.528909,53.867039
Voters,2019-12-15,44.128887,52.228644
Voters,2019-12-14,43.054161,52.653766
Adults,2019-12-14,40.528909,53.867039
Adults,2019-12-13,40.54998,53.836946
Voters,2019-12-13,43.093035,52.650159
Adults,2019-12-12,40.544206,53.83368
Voters,2019-12-12,43.089496,52.636876
Voters,2019-12-11,43.134108,52.424121
Adults,2019-12-11,40.542021,53.856836
Voters,2019-12-10,43.40313,52.392756
Adults,2019-12-10,40.009531,54.732548
Voters,2019-12-09,43.288615,52.288382
Adults,2019-12-09,39.972315,54.69142
Voters,2019-12-08,43.098758,52.473208
Adults,2019-12-08,40.060856,54.59712
Adults,2019-12-07,40.060856,54.59712
Voters,2019-12-07,43.098758,52.473208
Voters,2019-12-06,43.098758,52.473208
Adults,2019-12-06,40.060856,54.59712
Adults,2019-12-05,40.074008,54.565128
Voters,2019-12-05,43.126379,52.4413
Voters,2019-12-04,42.877311,52.700177
Adults,2019-12-04,40.192389,54.496548
Adults,2019-12-03,40.244571,54.627215
Voters,2019-12-03,42.754576,52.896839
Adults,2019-12-02,40.295641,54.503279
Voters,2019-12-02,42.606101,53.144127
Voters,2019-12-01,42.688961,52.948363
Adults,2019-12-01,40.400857,54.428965
Adults,2019-11-30,40.400857,54.428965
Voters,2019-11-30,42.688961,52.948363
Voters,2019-11-29,42.68882,52.948572
Adults,2019-11-29,40.401472,54.428485
Adults,2019-11-28,40.408849,54.595
Voters,2019-11-28,42.68882,52.948572
Voters,2019-11-27,42.68882,52.948572
Adults,2019-11-27,40.408849,54.595
Adults,2019-11-26,40.416361,54.693738
Voters,2019-11-26,42.613189,53.079696
Voters,2019-11-25,42.79208,53.320564
Adults,2019-11-25,40.214607,54.758157
Voters,2019-11-24,43.032958,53.099428
Adults,2019-11-24,40.22211,54.750549
Adults,2019-11-23,40.22211,54.750549
Voters,2019-11-23,43.032958,53.099428
Adults,2019-11-22,40.22211,54.750549
Voters,2019-11-22,43.032958,53.099428
Adults,2019-11-21,40.083582,54.852014
Voters,2019-11-21,43.036843,53.14239
Voters,2019-11-20,42.566135,53.521917
Adults,2019-11-20,40.502583,54.266835
Adults,2019-11-19,40.568658,54.062424
Voters,2019-11-19,42.631384,53.590235
Voters,2019-11-18,42.14946,54.154347
Adults,2019-11-18,40.436648,54.631685
Adults,2019-11-17,40.384323,54.633742
Voters,2019-11-17,42.166843,54.192609
Adults,2019-11-16,40.384323,54.633742
Voters,2019-11-16,42.166843,54.192609
Voters,2019-11-15,42.166843,54.192609
Adults,2019-11-15,40.384323,54.633742
Voters,2019-11-14,42.158859,54.268196
Adults,2019-11-14,40.273318,54.84848
Voters,2019-11-13,41.921124,54.464671
Adults,2019-11-13,40.31404,54.812785
Voters,2019-11-12,42.00399,54.314966
Adults,2019-11-12,40.720077,54.501473
Adults,2019-11-11,40.888467,54.354874
Voters,2019-11-11,42.422535,53.942433
Voters,2019-11-10,42.345681,54.145162
Adults,2019-11-10,40.888467,54.354874
Adults,2019-11-09,40.888462,54.356111
Voters,2019-11-09,42.345681,54.145162
Adults,2019-11-08,40.888462,54.356111
Voters,2019-11-08,42.345681,54.145162
